,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.10217372732716,0.405934228785827,0.0284084852640075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265434140520189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140356548087403,0,0,0,0,0.00781978886328205,-0.0306977246696791,0,0.0711949898300393,0.0748042863907207,0,0.0301019343316996,0,-0.0712215640508869,0
X601318.CH.EQUITY,0,0,0.00407871307224286,0.155031995599337,0,0,0,0,0.152474419897867,0,0,0,0.0392573611354024,0,0.0341267394211239,0,0,0,0,0.181551378565812,0,0,0,0,0,0,0,0,0.0744391454127311,0,0,0.117308570457583,0,0,0,0,0,0.0731461793666951,0,0,0,0,0,0,0,0,0,0,0.049342004066777,0,0,-0.0923472530840585
X601939.CH.EQUITY,0,0,0,0,0.0537976676187274,0,-0.0212262314831754,0,0,0,0,0.121574764902264,0.0146570090136387,0,0,0,0,0,0,0,0,-0.0117516874690889,0.668275954980674,0,0,0.144561436683273,0,0,0.0743214159730759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.148231357431027,0,0,0,0,0.197048793462781,0,0,0,0,0,0.206120654841185,0,0,0.150778593062215,0,0,0.0232933310480037,0,0,0,0.166333439837013,0,0.228533370487375,0,0,0,0,0.0216207715601734,0,0,0,0,0,0,0,0,0.0078859573258322,0.122392081841221,0.0134552063545797,0,0,0,0,0,0,0,0,0,-0.0881405197295297,0
X601288.CH.EQUITY,0.140965259962122,0,0.160435118460563,0,0,0.0609235328880184,0,0.383129945344555,0,0,0,0,0,0,0,-0.000483269744143762,0.0327550978632473,0,0,0,0,0,0,0,0,0,0.0716887857382566,0.124055763194152,0,0,0,0,0,0,0,0,0,-0.101823746611157,-0.000279792273324057,0,0,0,0.0166216693297287,0,0,0,0,0.110192291135374,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171895465844988,0,0,0.0615674271310538,0,0,0.165948893140135,0,0,-0.130751139462088,0,0,0,0,0,0,0,0,0.604256376817593,0.0808968081020393,-0.0488347263422293,0,0,0,0,0,0,0.0933079037895029,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.193588805448707,0.0704728283932047,0,0,0,0,0,0,0.199994106770459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995181352041017,0,0,0,0,0,0.102388044516595,0,0,0,0,0,0,0.0857789843311982,0.0963950521230951,0,0.125534520368178,0.27458955524706,0.086573373455038,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,8.67361737988404e-19,0.202429852310785,0.70026202087748,0,0,0,0,0,0,0,0.029927257073486,0,0,0,0.0341408576483946,0.0460760531154285,0,0,0.0645763088766258,0,0,0,0.0927334051510321,0,0,0,0,0,-0.12729975006316,0.0946052453300789,0.0265939685247282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0736401919272087,0,0,0,0,0.0437313158193636,0,0,-0.0920097948806471,0,0,0,0,0,0.170420867434518,0,0,0,0.093397463721396,0,0,0.181716953184584,0,0.0126285335202932,0,0,0,0,0,0,0,0,0.0127524175489044,0,0.309421844820198,0,0,0,0.211966523880562,0,0,0,0,0.116537780283647,0,0,0
X601166.CH.EQUITY,0,0,0.0565752682476574,0.153821677830806,0,0,-0.00782987885942204,0,0,0,0,0.0621951412518453,0.102666642779867,0,0,0.0378622796496777,0,0,0,0,0,0,0,0,0.15569084364011,0,0,0.337539211306911,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19
