,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.0572643148010329,0,0.139715063877325,0.178334341295245,0,0.351064325656787,0,0,0,0.000611894742092787,0,0.133058980900063,0,0,0,0,0,0,0,0,0,0.0119659294366464,0,0,0,0,0,0.104103451370278,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.149720044927387,0,0,0,0,0.0429738471129237,0,0,0.215295101690951,0,0,0,0,0,0.0534108702105941,0.100621611377251,0,0.0708517704229423,0.167909285194037,0,0,0,0,0,0,0,0,0,0,-0.102188709838803,0.102413573881728,0,0,0,0,0,0.136335047858259,0,0.0631743621923683,0,0,0,0,0,0,0,0,0,0.0258600329290153,0,0,0
X601939.CH.EQUITY,0.255395109369566,0,0,0,0,0,0,0,0,0,0,0,0,0.415749785457685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201768437455641,0.102965928091048,0,0,0,0.0188575871252308,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.343970162050159,0,0.0265486014099137,0,0,0.487892364510827,0,0,0,0,0,0.00729180878075522,0,0,0.035656948883983,0,0,0.00911174320886435,-0.02559423304183,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100397416168289,0,0,0
X5.HK.EQUITY,0,0,0,-0.0698006531309525,0,0,0,0.0747195961406426,0,0,0,0,0.0246450577976479,0,0,0,0,0,0,0,0,0.0683281100631064,0.657967738960108,-6.93889390390723e-18,0,0,0.221873022581782,0,0,0,0,0,0,0.181139578856448,0,0,0,0,0,0,0,0,-0.120521991999158,0,-0.0885866729288116,0,0,0,0,0,0,-0.0641971196290297
X601988.CH.EQUITY,0,0.0592158526365906,0,0,0,0,0,0,0,0,0.107910380765042,0,0,0,0,0.219815088916875,0,0.0739892050199952,0,0,0,0,0,0.220222170580232,0,0,0,0,0,0,0,0.103788496568966,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136893290016269,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.117636210041392,0,0,0,0.267543576601326,0,0,0,0.166832843304878,0,0,0,0,0,0,0,0,0,0,0.0482798063058699,0,0,0,0.161331933983337,0,0.150334972627419,0,0,0,0,0.0358544196269164,0,0,0,0,0,0,0,0,0,0.0241657513831931,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.119854150846929,0,-8.67361737988404e-19,0.141537450657992,-8.67361737988404e-19,0,0.278535441775711,0,0,0,0.0933546034998853,0,0,0,0,0,0,0.00846823661453527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.399131910320248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109545229180076,0,0,-2.77555756156289e-17,0.116284618113533,0,0,0,0.140628943744302,-0.0362346391475232,0,0,0,0.0130138030191042,0.258808099909977,0,0,0,0,0.116153107106721,0,-0.0463643248364948,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257598058744873,0,0,-0.116843966252281,0,0,0,0,0,-0.0115134997890779,0.0787818640031203,-0.289825144096864,0.760578370499395,0,0,0,0,0,0.261701817425417,-0.504773306843737,0,0,-0.269529264883045
