,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X000001.CH.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.207621040745485,0,0.0339726055378929,0,0,0.389577604455456,0,0,0,0,0,0,0.0101254716205425,0,0,0,0,0,0,0,0,0,0,0.251623434133185,0,0.0409116841228584,0,0.00257133331632293,0,0,0,0.0869911512070532,0,0,0,0.0532954456992863,0,0,0,0,0,0,0,0,0,0,-0.0903822347374018,0,0,0
X601318.CH.EQUITY,0,0,0.158289902041501,0,0,0,0,0,0.161850111190194,0,0,0,0,0.199783529538291,0.0849912516435567,0,0,0,0,0.12366776911291,0,0.0828844840737083,0,0,0,0,0,0,0.174406953473313,0,0,0.0213121712052398,0,0,0,0,0,0,0,0.0720957436795073,0,0,0,0,0.0252686673854158,0,-0.127861756662916,0,0,0,0.0755641160554676,-0.094717539090708
X601939.CH.EQUITY,0.282485666855086,0.23081126786763,0,0,0,0,0,0.492440538685174,0.0808172365902009,0,0,0,0,0,0,0,0,0,0.0295700660715502,0,0,0,0,0,0,0,0,0,0,-0.0213079874749698,0,0,0,0.0598361475404576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181452758822255,0
X600036.CH.EQUITY,0,0,0,0,0,0.15772627830952,0,0,0.0740559349584314,-0.11905352518585,0.0316425141214995,0.13837677083397,-0.0994413356254339,0,0,0.185778125717234,0,0,0,0.15612850499142,0,0,0,0,0,0,0.378926773050058,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0134897570962468,0,0,0,-0.0539685627486126,0,0,0,0,0,0,0,0,0,-0.0279735957555363,-0.0280704398108015
X601288.CH.EQUITY,0,0,0.0343251920407984,0,0,0,0,0.484086231119501,0,-0.0447954696581247,0,0,0.0371148494150978,0,0,0,0,0,0,0.109861004301608,0,0,0,0.0870813904284985,0,0.0781160918917647,0,0,0.0834810170586295,0,0,0,0,0.0256292544002692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392571454431863,0.0193784694878739,0.0838873014019178,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0974581503670185,0,0.217599166654263,0,-0.0255677571623038,-0.0290411919540661,0,0,0,0,0,0,0,0,0,0,0.184793322858258,0,0,0,0,-0.00119986896822248,0,0,0,0,0.143811056046672,0,0,0,0.0628307127035577,0,0.165976258119907,0,0,0,0.181081526829764,0,0,0,0,0.211754705550815,0,-0.0880738944369395,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.072929623037639,0.155195550345033,-8.67361737988404e-19,0,0,-0.0102815247294991,0,-0.138301875022063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436243763131127,0,0,0,0,0,0,0,0,0,0,0.00336232872023732,0,0,0.00362057605543498,0
X601988.CH.EQUITY,0,0,3.46944695195361e-18,0,0.468664883869077,0,0,0,0,0,0,0,0,0,0,0,0,0.13100094839631,0.380042658911851,0.0322738365244463,0,0,0,0,0,0,0,0.0715385886926073,0,0,0,0,0,-0.00537248296333548,0,0,0,0,0,0,0,0,0,0,0.0337656661289597,0,-0.0630975883243596,0,0,0,-0.0496304624494289,0
X5.HK.EQUITY,0,0.0425262108476226,0.0630658192027314,0,0,0,0,0,0,-0.027242168955245,0.141481604290851,0,0,0,0,0,0,0,0,0,0,0,0,0.142042004510729,0.0321924922739186,0,0,0,0,0,0,0,0,0.166133202077734,0,0,0,0.01583744719816,0,0,0.33473888369072,0,0,0.131227460320545,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.154831921321924,0,0.434621530636449,0,0,0,0,0,0,-0.0114166489375428,0,0,0,0,0,0,0,-0.142286778113087,0,0,0,0,0,0,0,0,0,0,0,0,-0.243858804566891,0,0,0,0,0.0965119342656135,0,0,0,0.0304161867358668,0,0.259539529510984,0,0,0,0,0,0.186560796978341,0.0205048473387617
