,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.100337672296944,0,0,0.361173441773663,0,0,0,0,0,0.200629526245475,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197714008738711,0,0,-0.157545697385205,0.0620058843444395,0,0,0,0,0.12550643874859,0,0.0538688719556306,0,0,0,0,-0.132605991228929,0,0,0,-0.0256634120053327,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.149468774108396,0,-6.93889390390723e-18,0,0.0420054002139295,0,0,0.195660657375471,0.0588941935368992,0,0,0,0,0,0,0,0,0.00276996291297277,0,0,0,0,0.0484773051412901,0,0,0,0,0,0,0,0,0,0,0.506279916328503,-0.0399711057963338,0,0,0.00767233254547583,0,0.0618244127964643,0,0,0,0,-0.0540264164027228
X601939.CH.EQUITY,0.26891823995778,0,0,0,0,0,0,0,0.031403971876054,0.0987946748309604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348836605379992,0,0,0,0,0,0,0.0132972533758911,0,0,0,0,0,0.0491880329875305,0,0.0624379265953755
X601288.CH.EQUITY,0.0350222676262418,0,0,0,0,0.260049481713324,0.0459599197268634,0,0,0,0.00173291911479362,0,0.000341732134545887,0,0,0,0,0,0,0,0,0,0,0,0,0.138998570833793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353280477819453,0,0,0,0,0,0,0,0.0563291996125038,0,0,0.104483423382492
X5.HK.EQUITY,0,-0.0835085636792274,0,0.133537643984267,0,0,0,0,0,0,0,0,0,0,0,0.303849801270168,0,0.127294707677478,0,0.055139496468618,0,0,0,-0.0746157406422421,0.399724173112234,0,0,0,-0.34344310804048,0,0,0,-0.0338502683305275,0,0,0,0,0,0,0,0,0,0,0.13567079769777,0,-0.0607049792328433,0,-0.145602636748844,0,0.0559023463630366,0.113838773722307
X601988.CH.EQUITY,0.36619582397394,0,0,0.491917965492236,0,0,0,0,0,0.0601200318516271,0,-0.0689677752675094,0.0591994618475717,0,0,-0.0670020433421546,0,0,0,0,0,0,0,0,0,-0.0517446576215373,-0.069764781987059,0.206246462570205,0.0813522531644865,0.0572797182034542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159745105932678,0.00227875820188544
X600036.CH.EQUITY,0,0.595842363662852,0,0,0,0,0,0,-0.0699916148439193,0,0,0,-0.0406466282872097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121784897328227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162519096371869,0,0,0,0,0,0,-0.144177455910305
X1299.HK.EQUITY,0,0,0.00726950858116271,0,0,0,0,0,0,-0.0731744963328641,0,0,0,-0.0237398431107459,0,0,0.0459393495679727,0.224787504230476,0.0354888992508971,0,0,0,0,0,0.306154687310347,0,0.276637398001234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145234891953183
X601628.CH.EQUITY,0,0.142917354425602,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0141194922750824,0,0.299652006928618,0,0,0,0,0,0,0,0,0.137263001647529,0,0,0,0,-0.0414380084095745,0,0,0,0,0,0,0,0,0.149253301891749,0,0.0908681502166826,0,0,0,0,0,0,0,0,0.124076424655561,0,0.0155033802970692
X601166.CH.EQUITY,0,0,0,0,0,0.298076990763615,0.132326515092404,0,0.162953694047962,0,0,0,0,0,0.223746509310506,0,0,0,0,0,0,0,0,0,0,0,0,0.0492534189561772,0,0,0.164713952713846,0,0,0,0,0.214647477035445,0,0,0,0,0,0,-0.0482720455623792,0,0,0,0,-0.143842281347602,0,0,0.151593927265302
X601328.CH.EQUITY,0.0317297374331813,0,0.0293158390875634,0.30063249150902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173947736912794,0.165508005270303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0819125870097983,0,0,0,0,0,0.233251155659222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264932763694777,0,0,0,0,0.225762867361575,0,0,0,0,0,0,0,0,0.160629356792565,0,0,0.109813879749773,0,0,0,0,0,0,0,0,0,0.0615837355273387,0,0
X601319.CH.EQUITY,0,0.00493484781848557,0,0,0,0,0,0,0.333158051793982,0,0,0,0,0,0,0,0,0,0,0.147738371282371,0,0,0,0,0,0,0.0429846881363154,0,0,0,0,0.0701489173609553,0,0.0338462326135303,0,0,0,0,0,0,0,0,0,0,0.254466697360416,0,0,0,0,-0.0629898674680001,0
X000001.CH.EQUITY,0,0.162617016999901,0.0627946074766261,0,0,0,0,0,0,0.0435873936172361,0,0,0.0642570166756106,0,0,0,0,0,0,0,0.0265984794677609,0,0,0,0,0,-0.198012927623057,-0.0310275996785381,0,0.112158249268426,0,0,0.147243753207649,0,0,0.145008022938204,0,0,0.306259155028909,0,0,0,0,0,0,0,0,0,0,0,-0.0685133288468107
X601601.CH.EQUITY,0,0,0,0,0,-0.212288547064782,0.10494822202625,0,0.402688737254626,0,0,0,0,0.228782340436568,0,0.205212758435126,0,0,0,0,0,0,0,0,0,0.123669289907482,0.116847083773712,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.260624183447284,0,0,0,0,0,-0.0277171857622008,-0.00619259243220459
X000002.CH.EQUITY,0,0,0,0,0.0702347408208782,0,0,0,0,0,0,0,0,0.173338361744731,0.336197594876275,0,0,0,0,0,0,0,0,0,0,0,0,0.387342563640027,0.240079907476843,0,0,-0.0825919085686301,0,0,-0.359224243381295,0,0,0,0,0,-0.0463394340241822,0,0,0.162875062644071,0,0,0,0,0,0.0882782984797478,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.228554313702198,0,-0.0339784596914922,0,0,0,0,0,0,0,0.0802444498465966,0,1.73472347597681e-18,0.0476322969268848,0,0,0,0,0,0.103838090389706,8.67361737988404e-19,0,0.146495540164166,0,0,0.0188264054030646,0,0.109089563843417,0,0,0,0,0,0.401605252901426,0,0,0,0,0,0,0,0.110568277591005,0,0.101620405776357
