,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.115538415584261,0,0.62626597564706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113256760459704,0,-0.0101839640489424,0,0.0143892835662528,0,0,0,0,0,0,0.0767042263631796,-0.0224124601734843,-0.00408755105497817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138812414144236,0,0,0,0,0,0.473505712413736,0,0,0,0,0,0,0,0,0,0,0,0.0354847035164617,0,0,0,0.000319169265470579,0,0.0874561286627398,0,0,0,0,0,0.0690968825911118,0,0,0,0,0.00387672837680097,0,0,-0.112496171244796
X601939.CH.EQUITY,0,0,0,0,0.322454100275169,0,0.000408965684948186,0,0,0.113557601070784,0.181342966157623,0,0,0.0710257581162324,-0.0445587950703874,0.184372562210366,0,0,0.0700145098964701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153878965212642,0,0,0,0,0,0,0,0,0,0,0,0,0.0531701069735734
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0186970576654148,0,0,0.252983369864324,0,0,0,0,0.165639747669315,0,0,0,0.23247096466368,0,0,0,0,0,0,0,0,0,0.0247749690517991,0,0,0,0.192822456642684,0,-3.46944695195361e-18,0,0,0,0,0,0.0862783056617275,0,0,0.104486263667103,0,0,0,0,0
X601288.CH.EQUITY,0.434763704951508,0,0,0,0,0,0,0,0,0,0,0,0,0.0469981326057148,0,0,0.0799119689960939,0,0,0,0,0,0,0,0,0,0,0,0.107120146120299,0,0,0,-0.0450219647229216,0,0,0,0,0,0,0,0.0182487478986336,0.0526843522830976,-0.0491921091904468,0,0,0,0,0,0,0.309553416481834,-0.0202026756304887,0
X600036.CH.EQUITY,0.0113750252049153,0.205203740409628,0,0,0,0,0,0,0,0,0,0,0,0.276444831324621,0,0,0,0,0.100034674942646,0,0,0,0,0,0.00780887779885845,0.24871757671167,0,0.0873975753656615,0,0.0733102979224221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.205068825792594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712006336759608,0,0,0,0,0,0,0,0,0,0,0,-0.0423214586868899,0,0,-0.144620503809711,0,0,0,0,0,0,0,0,-0.0333972646506907,0,0.0156769593330848,-0.0372172729984248,0.946931600138267,0,-0.0695780218225052,0
X1299.HK.EQUITY,0,0,-0.0958170254530714,0,-0.0843387542702103,0,0,0,0,0.323758101810233,0.00271382124282087,0,0,0,0.0567642055133336,0,0,0,0,0,-0.0708460067756414,0,0,0,0.104889379000894,0,0.320832510231503,0.0139548359340715,0,0,0,0,0,0,0,0,0.0530539123433355,0,0,0,0,0.0738930759454032,0,0,0.179382097575296,0,0,0.0550285604713205,0,0,0,-0.156145350678802
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.229914515841721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543494185125051,0,0,0.356213292547202,0.137001890802444,0,0,0,0,0,0,0.0677693333481071,0,0,0,0,0.167099198294564,0,0.34127126877861,0,0,0,0,-0.0659999877460662,0,0
X388.HK.EQUITY,0,0.0703592108359323,0,0.130525146005175,0,0,0,0.0287953972974205,0,0,0,0,0,0,0,0,0,0,0,0,0.060533840153335,0.0502917228958973,0,0,0,0,0,0,0,0,0.151973437388743,0,0,0,0,0,0.0607576760668171,0.134116638066518,0.244150382503076,0,-0.234864549072705,0,0,0,0.0176882830823591,0,0.316812041308633,0,0,0,0,0
