,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.345435498406773,0.0736740834531657,0.0686828354105627,0.0482151443982135,0,0,0,0,0,0.239688625227666,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,-0.00364396446785913,0,-0.0308196121175083,0,0.0311430687236105,0,0,0,0.00350622833886095,0,0,0,0,0,0,0,0,0,0,0,-0.00589178150580359,0,0.0427205981751083,0,0,0,0,0,0,0.155548968174407,0
X601939.CH.EQUITY,0.455167892451511,0,0,0.0736870834292035,0,0,0,0,0,0,0,0,0,0.190086151084552,-0.131437070879364,0,0,0,0,0,0,0,0,0,0,0.272956808419805,0,0,0,0,-0.049323321532301,0,0,0,0,0,-0.0232352298119457,0,0,0,0,0,0,0,0,0,0,0.163921284884449,-6.93889390390723e-18,0,-0.0542769339654967,0
X601318.CH.EQUITY,0,0,0,0,0.196097716818266,0.241084146899272,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146829793517214,0,0,0,0,0.0687578452425491,0,0.0254609687085,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.296161595558518,0.095437785278202,0,0,0.174307403578668,0,0,0,0,0,0,0,0,0.189629092795101,0,0,0,0,0,0.0454246916206739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120898033677675,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0965122868817065,0.456602377976867,0,0,0,0,0,0.321862457711707,0,0,0,0,0,0.156479491919589,0,0.085655773014215,0,0,0,0.0967042063816138,0,0,0,0,0,0.0924106748811007,0,0,0,0,0,0,0,0,-0.597300762025462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218227788020393
X600036.CH.EQUITY,0,0.0258778717498037,0,0,0,0,0,0,0.0530675126462277,0,0,0,0.14634777050803,0,0,0,0,0.0512132495871642,0,0.0276873407881125,0,0,0.153372499510402,0,0,0,0,0,0,0,0,0.357236412962221,0,0,0,0,0,0,0,0,0.0580936051212795,0,0.040739342798407,0.187021308452556,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0889708743428705,0,0.149547628889709,0,0,0.150096568981599,0,0,0.241805603802521,0,0,0,0,0.225893676032303,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.143424597419357,0,0,0,0,0,0,0,0,0,0,0,0.0548969166985279,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445256237212894,0,0,-0.0396931486828932,0,0,0,-0.382211601030398,0,0.612718687002676,0,0.0469919455718354,0.691209813806716,0,0,0.018226310898759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148817513032191,0,0.288577026191082,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0962358609713925,0,0,0,0,0,-0.0804724974342985,0,0,0,0,0,0,0,0,0,0,0.27940394723249,0.151654475438928,0,0,0,0,0,0,0,0,0.063782571427394,0,0,0,0,0,0,0,0.204216558763692,0,0,0,0,0,0,0,0,0,0.155986137003054,-0.0382380177054814
X601658.CH.Equity,0,0,0,0.0229286271732144,0.125241184633616,0,0,0,0,0,0,-0.126015450668655,0,0.207560000458192,0,0,0,0.22590954734347,0,0,0.0878196621257509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271072312045958,0.122907256824914,0,0,0,0,-0.0367633046413592,0,0,0,0,0,0,0,0,0,0
