,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.0978425773279784,0,0,0,0,0,-0.0304374375259505,0,0,0,0,0,0,0,0,0,0,-0.0774304181389208,0,0.461953401279641,0.439823828103107,0.0620763191253056,0,0.1763711358587,0,-0.223878860504943,0,-0.0478151675363384,0,0,-0.073937819229338,0,0,0,0,0,0,0,0,0,0.0543532920813668,0,0,0,0,0,0,0,-0.0345439126651137
X601318.CH.EQUITY,0,0,0,0,0,0.199656885177607,0,0,0,-0.0655155309266439,0,0,0.104289286659686,0,0,0,0,0,0.0491429340649837,0,0,0,0,0,0,0,0,0,0,0.19569992222339,0,0,0.0218001450386428,0,0,0,0.25209308802538,0,0.045289210732277,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0
X601939.CH.EQUITY,0,0.0642883022546685,0,0.814589954098333,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.0308727451814806,0.0140192013776501,0,0,0.0778868854361621,0.043072644854978,0.0213906670039943,0,0,0,0,0,0,0.0177649192346008,0.0271180420670161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240574460991501,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.912747624263813,0,-0.0828829113458029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139739060769429,0,0,0,0,0,0,0.0665436364382744,0,0,0,0,0,0,0,0,0,0,0,0,-0.0171409293765352,0,0.00385554745471044,-0.0732802942422403,0,0,0,0,0,0,0,0,-0.0531193227149921,0
X601628.CH.EQUITY,0,0,0,-0.0346576175911365,0,0,0,0,0,0.149065268241985,-0.106042161307884,0.3983882323301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042522342683608,0,0,0.665130781361225,0,0,0,0,0,0,0,0,0.225004964511393,0.0337923169388046,0,0,0,0.0637763445564759,-0.0330122538923051
X600036.CH.EQUITY,0,0,0.408636345709189,0,0,0,0,0,0.0223462850893089,-0.00517109251957152,0,0,0,0,0,0,0.105591495316444,0,0,0.00634911702042417,0.0126624904609482,0,0,0,0,0.188886253871676,0.12002247300822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.148232848923442,0.0923516959197933,0,0.0431016417318164,0,0,0,-0.0128652946651576,0,0,0,0,0,0,0,0,-0.0745550402940545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10754278216404,0,0.00763741047362631,0,0,0,0,1.04722025299023,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.157269882568021,0,0,0,0,0.12804347998636,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205874252148661,0,0.417838035790744,0,0,0.0890940744566273,0.385135060865131,0.164599594511787,0.0943049632385928,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.176598867288982,0,0,0,0,0,0.0893966547458152,0
X5.HK.EQUITY,0,0,0,0,-0.0263103300331908,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0586980402152863,0,0,0,0,0,0,0.277095923596609,0,0.462334286748835,-0.155877213320317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043679248773193,0,0,0,0,0.126007782015128,0.0711177925202203,0.00813374882762311
X388.HK.EQUITY,0,0,0,0,0.188532041236052,0,0,0,0.0679273948377954,0,0,0,0,0,0,0,0,-0.239960735977908,0,0,0,0,0,0,0.364584633511439,0,0,0,0.0846645007779638,0,0.0932440145374118,0.0449996726164305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248690880575509,0.0466982938030801,0,0,-0.199920120645865,-0.00352793783655344,0
