,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.516546051941173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0194221255901985,0,0,0,0,0,0,0,0,0,0.440160581207287,0,0,0.13311161196518,0,0,0,0,0,-0.142477064901106,0,0,0,0,0,0,0,0.0907993574214462,0,0,0,0.0145495420327581,-0.107043609041256,0,0,0
X601939.CH.EQUITY,0.100616309663602,0,0,0.335948126465141,0,0,0,0,0,0,0,0,0,0.17162530043398,-0.0465879180902543,0,0,0,0,0,0,0,0,0,-0.0944664560911883,0.322486711076341,0,0,0,2.77555756156289e-17,-0.0951933199057436,0,0,0,0,0,0,0,-0.0375876270317864,0,0,-0.0369625845969962,0,0,0,0,0,0.145978721626455,0,0.0603848330824241,-0.0209044954262385,0
X601318.CH.EQUITY,0,0,0,0,0.210763032473334,0.101777747966829,0,0,0.0494301441704433,0,0,0,0,0,0,0,0,0,0,0.0805106046201919,0,0,0,0.236759931434704,0,0,0.0358923747605534,0,0,0,0,0,0,0,0.0807643064584984,0,0,0,0,0.0479135544687695,0,0,0,0,0,0,0,0,0,0.10685731510158,0,0
X601288.CH.EQUITY,0,0.654512995810808,0,0,0,0,0,0,0,0,0,0,0.102176019651929,0,0,0,0,0,0,0,0.148527351379785,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-0.0238578290735836,0,0,0.0268583993524361,0,-8.67361737988404e-19,0,0,0,0,0
X601988.CH.EQUITY,0,0.036373517032187,0,0.376035041615244,0,0,0,0,0,0.31226874060771,0,0,0,0,0,0.108368285588819,0,0,0.112768089953726,0,0.0516369903430858,0,0,0,0.173845896570203,0,0,0.0443120682127523,0,0,0,0,0,0,0,0,0,0,-0.546758036742193,0,0,0,0,0,0,0,0,0,0,0,0,-0.266016379984266
X600036.CH.EQUITY,0,0.176816990309235,0,0,0,0,0,0,0.0325757647548445,0,0,0,0.041417693111314,0,0,0,0,0,0.110973948486346,0,0,0,0,0.242889791827002,0,0,0,0,0,0,0,0,0,0.362922093305597,0,0,0,0,0,0,0.0763505955870408,0,0,0,0,0,0.0928229671358969,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0655272059564075,0,0,0.0677030689973167,0,0,0.382217657317384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233618124116073,0,0,0,0,0.281926139429914,0,0,0.0316822290697126,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583807056289948,0,0,0,-0.191579898116535,0,0,-0.474253774897458,0.747697598886378,0,0,0.0791374079637533,0.510604836689535,0,0,0.0582813091397582,0,0,0,0,0,0,0,0.086509522522476,0,0,0,0,0,0,0,0,0,0.189617171558803,0.113932607681645,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.304414768787789,0,0,0,0,0,-0.154094622594322,0,0,0,0,0.0889989842498784,0,0,0,0,0.187714269516625,0,0,0,0,0,0,0.115462397673041,0,0,-2.77555756156289e-17,-0.0673916095646548,0,0,0,0,0,0,0,0.0936791676698535,0,0,0,0,0,0,0,0,0,0.1523261000527,-0.0416310918377046
X601658.CH.Equity,0,0.14832382461722,0,0,0.00986590394883719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388294333475483,0,0,0,0,0.0131899970468706,0,0,0,0,0,0,0,0,0,0,0,0.188605646289295,0,0.11302763958906,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.242514456506479,0.204318876316565,0,0,0,0,0,0,0,0,0,0.0883618467151591,0,0.0156551068134814,0.161790938361201,0,0,0,0,0,0,0,0,-0.0447760528357053,0.00158480777948284,0.0598333010219664,0,0,0,0.0105444766689309,0.081990403847613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116554833742886,0,0
X388.HK.EQUITY,0,0,0.295184207088306,0,0,0,0.100032012626795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108571062182166,0,0,0.0330792063759245,0,0,0,0,0,0,0,0,0,0,0,0,0.0192747334297728,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.485112760165751,0,0,0,0.0353370384479494,0.0282794968371578,0,0,0.01193742828908,0,0,0,0,0.0048737149097073,0,0,0,0,0,0,0,0,0,0,0.240400189846699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144247905258812,0,0,0.0110076930195172,0.0704129845889793,0,0.090661557203748,0,0
X600000.CH.EQUITY,0,0,0.0364676048809527,0.157404331326581,0.0834525243482172,0,0,0,0,0,0,0,0.30892261322902,0,0,0,0,0,0,0,0,0,0,0,0,0.0381116988832105,0,0,0.153390127598072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074638801579219,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105360321159354,0,0,0,0.158020305838042,0,0,0,0,0,0,0,0.0767388611245929,1.38777878078145e-17,0,0.249215131053563,0.153273210146602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851471628920672,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0232433309557238,0,0,0,0,0,0,0.0352227826660692,0,0,0,0,0,0.371223715210671,0,0,0,0,0,0.0256593244365274,0,0.298975994829612,0.0322041535232484,0.0241872228000958,0.0890264125137314,0,0,0.0711094014997674,0.0268807857869369,0,0.0363715394101846,0,0,0,0,0,0,0,0,0.0181619099510345,0.0643535902342599
