,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.292860371114819,0,0.330201156954671,0,0.0166413701931387,0,0,0.0910760748691992,0,0.0598963568814092,0,0,0,0,0,0,0,0,0,0,0,0,-0.105990110639269,0,0,0.0464016871979781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0977258523207343,0,0.11773320222241,0
X601939.CH.EQUITY,0.460271583113197,0,0,0.152936433691213,0,0,-0.160600402317012,0,0,0,0,0,0.18894534322593,0,-0.0607836748733929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256021881882543,0,0,-0.0800000163254282,0
X601318.CH.EQUITY,0,0,0,0,0.22293029084622,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.047251481686904,0,0,0,0,0,0,0.196567441164418,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.239102325383929,0,0,0,0,0.212081920345115,0,0,0,0,0,0,0.0760830145673651,0,0
X601288.CH.EQUITY,0.500934118006018,0,0,0,0.198565710344684,0,0,0,0,0,0,0,0.0745930420989825,0,0,0,0,0,0,0.012762048426491,0.116962636484776,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502258479653511,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.50547135577039,0,0,0,0,0,0.216115844444318,0,0,0,0,0,0.327535806046778,0,0.0760418244540983,0,0,0.0173903926245834,0,0,0,0,0,0.0215572062741487,0,0,0,0,0,0,0,0,0,-0.567359834335653,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.300686705191929,0,0,0,0,0,0.0724604689350727,0,0,0,0,0,0.00853626591015676,0,0,0,0,0,0.0441994807917676,0.186446478193822,0,0.0788253616536151,0,0,0,0,0.00294248937629493,0,0,0,0.180418140618874,0,0,0,0,0.111096686992425,0,0.0165711700927363,0,0,0
X1299.HK.EQUITY,0.0764865840627757,0,0,0,0,0,0,0,0.135200645893048,0,0,0,0.101687280455131,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0102397508526227,0,0,0,0,0.226862520254383,0,0,0,0,0,0,0,0.176028686415592,0,0,0,0,0,0,0.0714887547901614,0,0,0,0.10719344944883,0,0,0,0,0
X5.HK.EQUITY,0,-0.0365084972711505,0,-0.17682677927415,0,0,0,0,0,0,0,0,0,0,-0.00546395660084463,0,0,0,0,0,0.0546509794892372,0,-0.583357726068112,1.0678467474923,0,0,-0.0324166491786008,0,0.460527892676176,0,0,0,0,0,0,0,0,0,0.435625382451661,0,0,0,0,-0.130460333960045,0,0,0,0,0,0,0.0983969883247101,0
X601628.CH.EQUITY,0.0140956849086491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142645133399635,0,0,0.0899812493590893,0.178202531197312,0,0,0.00248668564650059,0,0,0.107540739699903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123375944806389,0.0786433437393409,0.0448789446542261,0,0,0,0.104103426063256,0.00786132426161084,0,0.08948637179365,-0.0222184515667541
X601658.CH.Equity,0,0,0,0.0690386301844863,0.0713126578366189,0,0,0,0,0,0,0,0.254136040965303,-0.039008626980619,0,0,0,0,0,0,0.0156547689482225,0,0,0,0,0,0.210734464911946,0.121745463084757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36196716548573,0,0,0,0
X601328.CH.EQUITY,0.122777023487211,0,0,0.299473972520229,0,0,0,-0.0956608514051054,0,0,0,0,0,0.160253787774159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292434756445059,0,0,0,0.16906347758555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688578017173004,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.431298886505753,0,0,0,0,0.0355210860359229,0,0.00710403911925123,0,0,0,0,0.0297179296015999,0,0,0,0,0,0,0,0,0,0,0,0,0.220574325871064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402831316518483,0.0372459469165801,0.10544441449977,0.0471697780498748,0,0,0
X600000.CH.EQUITY,0.193664683660496,0.103987923445782,0,0,0.0941839994913571,0,0.0128469357516175,0,0.0277629238080088,0,0,0,0,0,0,0,0.0448322030828023,0.0858872609874844,0,0.0211051866818343,0,0.105019335050383,0,0,0,0,0,0.0735757165012679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680037445998964,0,0,0,0,-6.93889390390723e-18,0,0,0,0
X388.HK.EQUITY,0,0,0.34744297582263,0,0,0,0,0,0,0,0,0,0.0436500810790054,0,-8.67361737988404e-19,0,0.0942849264916138,0,0.129842346461975,1.40347106488692e-05,0,0,0.0764927825739131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497227517069302,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.0290476850734966,0,0,0,0,0,0,0,0.0574202602029737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563471700013989,0,0,0.34535104023437,0,0.130917418894636,0.0391330635326484,0,0,0.180053811979515,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0
