,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.279470075835718,0,0.257487543752709,0,0,0,0,0.0595766616672126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890891225009827,0,0,0,0,0,0,0,0,0,0.00288929911337762,0,0,0,0.0835947983381528,0,0.0833201043634647,0,0,0,0,0
X601318.CH.EQUITY,0.118976962527232,0,0,0,0,0,0,0,0.182634392035483,0,0,0,0,0,0,0,0.165495754892695,0,0,0,0,0,0,0,0.0752187512438862,0,0,0,0,0,-0.0516990059304147,0.153122575675322,0,0,0.148600440771385,0,-8.67361737988404e-19,0,0,0,0.0457796114638469,0,0,0.027781981204331,0,0,0.0551800958899158,0,0.135259187629652,0,0,0
X601939.CH.EQUITY,0.219542137932134,0,0,0,0,0,0,0,0,0,0,0.0189503851039019,0.265525531166187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423616823805392,0,0.199797555660395,0,0,0,0,0,0,0,0,0.182104349478595,0,0,0,0.0410475982995535,0,0,0,0,0,0
X601288.CH.EQUITY,0.326168080926169,0,0.0782095358746609,0,0,0.258959782899453,0,0,0,0,0,0,0,0,0.038711891022972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187721150613981,0,0,0,0,0,0,0.108945768412388,0.00427189651594902,0,-0.0201378987451891
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.0424224268691107,0,0,0,0,0,0,0,0,0,0,0.384722539509037,0,0.134104357749898,0,0,0,0,-0.0869793843357271,0,0,0,0,0.594054631656785,0,0,0,0,0,0,0,0,0.0508753401606661,0,0,0,0,0,0,0,-0.167314706985323,0,0,0.0365654642556846,0
X601988.CH.EQUITY,0.445100315351949,0,-3.46944695195361e-18,0,0,0,0,0,0.0137727569409346,0,0,0,0,0,0,0,0,0,0.0701406589896302,0,0,0,0.0258450880154398,0,0,0,0,0,0,0,0,0,0.160819186388056,0,0.0234975796385546,0,0,0,0,0,0,0,0,0,0,0,0,0.241702818868514,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.188041708871304,0,0,0.00696522297010156,0,0,0.0797697720270055,0,0,0.527611067305851,0,0,0,0,0,0,0,0,0,0,0.0497359730690405,0,0,0,0,0,0,0.070060084141927,0,0,8.67361737988404e-19,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0461637059726441
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0735990423038589,0,0,0,0.413774136173998,0,0,0,0.115532348290458,0,0.0512221966746944,0,0,0,0,0,0,-0.0336959898221881,0.397769010546361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.219689198620069,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0249905647623287,0,0,0,0,0,0,0,-0.0797757086661397,0,0.0187149868605301,0,0.199302821172708,0,0,0,0,0,0.254502554187618,0,0,0,0,0,0.0567265696134867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821029848715807,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0.0270172744786955,0,0,0,0,0,0.27377487014364,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,-0.042749786150589,0,0,0,0,0,0,0,0,0,0,-0.0610358549873285,0,-0.710948489433288,0.461163124306991,0,0,0.788388549700685,-0.584881434012417,0.402439252413864,0,-0.136709852614858,0,0,-0.41074345712278
