,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.121401492891912,0,0,0,-0.175786435178689,0.255616204254745,0,0,0.0910241619929341,0,0,0,0.277091644356339,0,0,-0.127039721844208,0,0,0,0,-0.136275122089581,0,-0.194178963503233,0,0,0,-0.224261539995593,0,0,0.814967035418712,-0.0516741178349033,0,0,-0.0823577719993781,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0542426522997912,0,0.160008504212681,0,0,0,0,0.0968905290010748,0,0,0,0,0.108242150656281,0.0206605794675059,0.112213813153317,0,0,0,0,0,0,0,0,0,0,0.0413382351439115,0,0.0323924752911166,0.13704736681489,0,0.237365636984205,0,0,0,0,0.00607451943763004,0,0,0,0,0,0,-0.0174500726431763,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.259187428805842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0250437546362687,-0.0688365140520433,-0.255127474340097,0,0,0.197433671181519,0.0282348389178685,0,0.508033617226335,0,-0.0370740266183109,0,0,0,0.0983387718330104,0,0,0,0,-0.134617121216556
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.751930440703783,0.110586776720434,0.0744501507419473,0.306538057071586,0,0,0,0.455656943701666,-0.163908366123427,0.362902873731431,0,0,-0.402340849683773,0,0,0,0,0,0,0,0,0,0,0,0,-0.363005285969806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508627419339347,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.145431109736528,0,0.132476907069306,0,0,0.0692651549926845,0,0,0,0.168517668909289,0,0,0.116980827270993,0.00373131538100417,0,0,0.0468569807720266,0,0,0,0,0,0,0,-0.0127533656436742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095884328371868,0,0,0,0.195685674791829,0,0,0.0054438769711744
X601988.CH.EQUITY,-4.33680868994202e-19,0,0,-0.0217139672555314,0.475285356782198,0,0,0,0,0,0,0,0,0,0.0860878807077781,0,0,0,0,-0.186030294812755,-0.039066861972717,0,0,0.273493451253817,0,0,0,0,0,-0.407749198807211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14604216338138,0,0,0.0443028840679711,0,0
X600036.CH.EQUITY,0,-6.93889390390723e-18,-0.103264851324827,0,0,0,0,0,0,0.332808553185341,0,0.395004416540497,0,0,0,0.0236127762553067,0,0,0,0.112449608583888,-0.00968767295564214,0,0,0,0,0,0,0.0429798698742118,0,0,0,0,0,-0.0868552113882125,0,0,0,0,0,0,0,0.174881303282582,0,0,0,0,0,0,0,0,-0.247967055097629
X1299.HK.EQUITY,0,0,0,0,0.277978426005515,0,0,0,0,0,-0.0386322738595872,-0.0921546956961143,0,0,0,0,0.0131632928844004,0,0,0,0,0,0,0,0,0.0721932967415067,0.170109719324611,0,0.0722475590942564,0,0.107593786348203,0,0,0.0482427820025913,0,0,0,0,0,0,0,-0.116567050548179,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.123085454112455,0,0.0758108472079072,0,0,0,0,0,0,0.0145923803982684,0,0,0.254848140020876,0,0,0,0,0,0,0,0,0,0.147259171749633,0,0,0,0,0,0,0,0,0,0,0,0.119299061078994,0,0,0.0356172957972762,0,0,0.16544038862965,0.241894363584786,3.46944695195361e-18,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.198985004608242,0.0416335368135919,0,0,0.609009310874666,0,0,0,0,0,0,0,0,0,0,0,0,0.237314131511607,0,0,0,0,0,0,0.258654572358492,0,0,0,0,0,0,0,0,0,-0.060531791080094,0,0,0,0,0,0,0,0,-0.452603288561292,0,0,-0.0664138156544841,0,0
