,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.113837442114819,0,0.0858195133236854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412292002970181,0,0.4996407031389,0,0,0.151185004636724,0,0,0,0,-0.148872553869556,0,0,0,0,-0.166669052579249,0,0,0,0,-0.808348606190453,0,0,0,0,0,0,0.0905759870523183,0,0,0
X601939.CH.EQUITY,0,0,0,0.269593699265776,0,0,0,0,0.189487816646202,0,0,0.00595334020029913,0,0.160503395202522,-0.0044407610842408,0,0,0,0,0.0453328395433692,0,-0.0203830822123027,0,0.0154975387230521,0,0,-0.0510671974985433,0,0,0,0,0,0,0,-0.0903081942582562,0,0,-0.0655904896297962,0,0.0494992416854991,0,0,0,0,0,0.450762999028391,0,0,0,0,-0.134124274896652,1.0842021724855e-19
X601318.CH.EQUITY,0,0,0,1.73472347597681e-18,0.0666042971926443,0.295227985586818,0,0,0,0,0,0,0,0,0,0,0,0,0.0494320888387505,0,0.129325706754132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328769269963805,0,0,0,0.026416964607932,0,-8.67361737988404e-19,0.0745015036197217,0,0,0,0
X601288.CH.EQUITY,0,0.615302180332116,0,0,0,0,0,0,0,0.0459011266930629,0,0.0138907247699158,0.125855124259685,0.0479295720920038,0,0,0,0,0,0,0,0.0360706420159249,0.182169231531984,0,0,0,0,0,0,0,0,0,0,-0.102785620378932,0,0,0,0,0,0,0,0,0,-0.0566814413365319,0,0,0,0,0,-0.0727365717998101,0,0
X601988.CH.EQUITY,0,0,0,0.38867191643396,0,0,0,0,0,0,0.230013025370016,0,0,0,0,0,0.224304175317481,0,0,0.137462599570273,0,0,0,0,0,0.0656480448576809,0,0,0,0,0,0,0,0,0,0,0,-0.542423653917018,0,0,0,0,0,0.0881488031472375,0,0,0,0,0,0,0,-0.292141040463758
X600036.CH.EQUITY,0,0.123296573985855,0.00872551209330111,0,0,0,0,0.121188765197957,0,0,0,0,0.0787772698955768,0,0,0,0,0,0.0359250902522515,0.0418392644476165,0.0842806905418194,0,0,0,0,0,0,0,0,0,0,0,0,0.361216901483567,0.103569519252295,0,0,0,0,0,0,0,0,-0.0613289755012194,0.0450990983513691,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0222636173054918,0,0,0,0,0,0,0,0,0,0.153295778413846,0,0,0.118441349442884,0,0,0,0.302344442569368,0,0,0,0,-0.114745524127948,0.0467247599868561,0,0,0,0,0.0397041830229237,0,0,0,0,0.049343342839762,0,0,0,0,0.0261660319771476,0,0,0,0,0.337760969200461,0.0360929643718944,0,0,0,0.0345396477760755,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.339586617052824,0,0,0,-0.161410214137757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0339328882020955,0,0,0,0,0,0,0,0,0.0678669243507686,0.168503411828539,0,0.0973728774040024,0,0.130085921906768,0.0707587616479733,0,0,0,0.138541259522991,0,0,0,-0.0605993284530193,0,0,-0.00439727614340878
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457167454585801,0,0,0,0,0,0,0.0419240768252546,0.536720626458908,-0.338878858549084,0,0.593087968182925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469973886401992,0,0.213745736460152,0,0
X388.HK.EQUITY,0,0,0.273865672492205,0.0279716784258656,0,0,0,0,-0.0291790734524848,0,0,0.0103743085396877,0,0,0,0,0,0,0,0,0,0.196090472255013,0,0,0,0,0,0,0,0,0,0,0,0,0.14221831717378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.057199182506825,0.00515675245243451,0,0,0,0,0,0,0,0,0,0,0,0,0.259908847320978,-0.22314462878603,0.188138263164547,0,-0.0373130727415169,0.00211688314478618,0,0,0,-0.0932369106763865,0,0,0,0,0,0,0,0,0,0,0.0161227182512728,0.498683805535202,0,0,0,0,0,0,0,0,0,0,0,0,0
