,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.254111682982485,0,0,0,0,0,0,0.127074888458166,0,0,0,0,-0.169649723845321,0,0,0,0,0.367898417801338,0,0,0,0,0,0,0.233214993171378,0,0.0815891997723314,0,0.105645153313025,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.0575823899922321,0,-0.0552885996819868,0
X601318.CH.EQUITY,0,0,0,0,0,0.0260389500244494,0,0,0.243247806580376,0,0,0.267185939394797,0,0,0,0.0985849112379385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108924424442622,0,0,0,0,0,0,-0.254695234573115,0.0954705859212846,0,0,0.177915998496524,0,0,0,0,0.101708075312161,0,0,0
X601939.CH.EQUITY,0.43950228654407,0,0,0,0,0.190456699134384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569565494624237,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360538636887076,0,-0.153163586791042,0,0.0862888152833325,0,0,-0.0110081420814573,0,0,0,0,0
X601288.CH.EQUITY,0.508100644394346,0.0158757691208585,0.133645266995687,0,0.122268201165786,0.0656694361588805,0,0,0.0345143541581528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752113603306477,0,0,0,0,0,0,0.0534069501960232,0,0,0,0.0780420439298661,0.185437975428091,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-6.93889390390723e-18,0.222081490667196,0.0307179397114044,0,0,0,-0.11434645410649,0,0,0.0173638272235491,0.232671469298857,0,0,0,0,0,0.747128117285114,0,0,-0.0916232595336462,0,0,0.00498886648470042,0,0,-0.136163136886815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205156267498238,0,0,0,0,-0.0189629740906096
X601988.CH.EQUITY,0.0875056901410007,0.0230810732799019,0.143757155122096,0.204992484836359,0,0,0,-0.0224989031608663,0.144387886712404,0.0964827940568595,0.175529312370584,0,-0.350145278906706,0,0,0,0,0,0,0,0,0,0.138843330214675,0,0,0,0.0678407959125357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335998642229831,0,0,0,0,0.0425891839205807,0
X600036.CH.EQUITY,0,0.412469254831248,0,0,0,0,0,0.0138908675339731,-0.0280126316552439,0,0,0.0324706625236902,0,0.204567494745938,0,-3.46944695195361e-18,0.0481490985131069,0,0,0,0,0,0,0.0714584149391198,0,0,0,0,0,0,0,0.127903860549323,0,-0.0236508935632632,0,0,0,0,0,0,0.184428844323255,0.131816677550349,0,0,0,0,0.0474375899140904,0,0,0,0.0406811557643677
X1299.HK.EQUITY,0,0,0,0,0,0,0.161049761703154,0,0,0,0,-0.048857396433279,0,-0.0494400929417049,0,0,0.274049166388179,0.273018742447489,0,0,0.143438739648424,0,0,0,0,0,0.0955149473221721,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0710648200283604,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.180313727262295,0.346326961989641,0,0.11574785510414,0,-0.0402144992232899,0,0,0,0,0,0,0,0,0,0,0,-0.0322102023395379,0,0.0216426467284063,0,0,0,0,0,0,0,0,0,0,0,0,-0.250442233525384,0.0159408753557336,0,0,0,0,0,0,0,0,0,0,0,0.181801900114666,0,0,0.18953223671702,0.140275033912293,0.146731045533762
X601166.CH.EQUITY,0.178339813362158,0,0,0,0,0.0901233695246545,0.220547667999468,0,0,0,0,0,0,0.13841023281004,0,0.323430610890401,0,0,0,0,0,0,0,0,0,0,0.0480685542305668,0.0767552731718977,0,0,0,0,0,0.0154413393945519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127550147280343
