,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.365985213301435,0,0.0364247844839262,0,0,-0.00883618975147242,0,0,0.0611183021974854,0,0,0,0.109190238152534,0,0.1592569529116,0,0,0,0,0,0,0,0.116381874806244,0,0,0,0,0,0,0.0592539132335128,0,0,0,0,0,0,0,0,0,0,0,0,0.000414857291797819,0,0,0,-0.14599196545537,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14202131204688,0,0,0,0.471528902483872,0,0,0,0,0,0,0,0,0,0,0.0421687064153563,0,0.00680001659692748,0,1.73472347597681e-18,0.0511722105079974,0,0.0762788436252664,0,0,0,0,0,0,0.0634519064264163,0,0,0,0,0,0,-0.124069054765203
X601939.CH.EQUITY,0,0,0,0,0.6750425905738,0,0,0,0,0,0,0.235505480484666,0,-0.0214190001160272,0.0998402923229998,0,0,0,0,0.0495584360417304,0,0,0,0.0240409435171248,0,0,0.00196427056123919,0,0,0,0,0,0,0,0,0.0051824645411559,0,0,0,0,0,0.0678204603552565,0,0,0,0,0,0,0,0,0,0.0313459574397615
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.131026031725528,0.165298288873917,0,0,0,0,0,0,0.300785631068468,0,0,0,0,0.18052194089302,0.0934606733186955,0,0,0,0,0,0,0,0,0.118649783165826,0.0182219242088681,0.0715227518606283,0,0,0,0,0,0,0,0,0,0,0,0.13913312157305,0,0,0,0,0
X601288.CH.EQUITY,0.170865751547602,0,0.834331940365298,0,0,0,0,-0.079553005455646,0,0,0,0,0,0,0,0,0.0206566721395859,0,0,0,0.0238748315163102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070674531412083,0,0,0,-0.0119234065211491,0.00951870838983142,-0.172997269638055,0,0,0,0,0,0,0,0,0,-0.00525824744323076,0
X600036.CH.EQUITY,0,0.211329738686615,0.0796343317781334,0,0.155352308029562,0,0,0.0957211108749415,0,0,0,0,0,0,0,0.26415696830864,0,0,0.0864313775632897,0,0,0,0,0,0,0.212830893306376,0,0,0.0588398008480848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.14248306170648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105202200543695,0.00191977678323173,0,0,0,0,0,0,-0.00833598800853777,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0311456741124419,-0.0593927623171872,0,0,0,-0.0932469559049243,0.908893378203572,0,-0.0903195945417118,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.175139137751739,0,0,0,0.0201132697464387,0,0,0,0,0,0,0,0.25175762765023,0,0,0,0.0991598948332665,0,0,0,-0.0806506783699237,0,0,0,0,0,0,0.0536359754504086,0.0664565694575073,0,0,0,0,0.11300750768332,0.131875465536531,0,0,0,0.0411226650630453,0,0,0,-0.0988225675247715
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.251891820009764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637588805325712,0.365416674154955,0.0234413403153343,0.11289188249613,0,0,0,0,-0.0650850530421862,0,0,0.0846767858929549,0,0,0,0,0.147028451877867,0.323229680031258,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0.117041167360027,0,0.163533164516853,0,0,0,0.0310647341334352,0,0,0,0,0,0,0,0,0,0,0,0,0.125396266447121,0.233600184861508,0.0283877316263453,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.118555394571704,0.287587568892516,0,-0.309170993157564,0,0,0.0212234509162321,0,0,0.156097169576076,0,0,0,0,0
