,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600918.CH.Equity,X600837.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0358404140694867,0,0.0946471423743895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0953704636577734,0.453025942586184,0,0.68458417668643,-0.0684367804480304,0,0.151996206282787,0,0,0,0,0,0,0.0173442703935387,-0.250845850141864,0,0,0,0,0,0,0,0,0,0,-0.282920986183713,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.106317976872097,0.00899791201157825,0.098176788338724,0,0,0.047230500726304,0,0,0,0,0,0,0,0,0,0.267693146627556,0,0,0,0,0,0,0,0,0.140733449031376,0.037215145526778,0,0,0,0,0,0,0,0,0,0.197635306553529,0,0,0,0,0,0,0.0524293418339303,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.841505585040898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008589019037698,0.0690965242891886,0,0,0,0,0.0934461361239857,0,-0.00978388342557344,0,0,0,0,0,0,0.056227241891348,0,0.0273459966324933,0,0,0,-0.0582561031132594,0,0,0,0,0,0,0,-0.063946785115893
X601288.CH.EQUITY,0,0,0.881527992160412,0,-0.074603909476951,0,0,0,0,0,0,0,0,0,0.0206435857398919,0,0.063669256504704,0.118200756253667,0,0,0,0,0,0,0,0,-0.0312900062857365,0.0527400884521487,0,0,0,0,0,-0.0176047192266354,0,0,0,0,0,0,-0.109325329687812,0,0,0,0,0,0,0,0,0,-0.0356502133869949,0
X601628.CH.EQUITY,0,0.0437500013494387,1.73472347597681e-18,0,0,0,0.290315439320308,0,0,-0.0125667326361485,0,0,0,0,0,0,0,0,0,0,0,0,0.0213778817548092,0,0,0,0,0.0227836345616047,0,0,0,0,0,0,0,0,0,0.161641789781228,0,0.17094539332696,0,0,0,-0.0261002697159601,0,0.0796544340299994,0,0.118371712592071,0,0.0778871158550864,0.102358530661275,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19677040409721,0,0,0,0,0,-0.237455057860868,-0.203667439660233,0,0,0.027556577156968,0,0,0,0,0,-0.06186739130956,0,0,0,-0.06825379285238,0,0,0,0,0,0,0,0,0,0,0.0347304152316814,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.391014743671847,0,0,0,0.0641585310035116,0.0336894591857435,-0.0147779005801211,0,0,0,0,0,0.0730837984113736,0,0,0,0.0237029860852574,0,0,0,0,0,0,0,0.134098948129316,0,0,0,0,0,0.249691214599485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481453472103308,0,0,0.0533759004799091,0.0503028475648285
X1299.HK.EQUITY,0,0,0,0,0.104387197808483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151009411209814,0,0,-0.0542502522561035,0,0,0,0,0,0,0.169472948165319,0,0,0,0,0,0.111237951626549,0.0852441717731675,0.0705654675307789,0,0,0,0.122506185986851,0,0,0,0,0.378739913857872,0,0,0.0780483636147818,0
X5.HK.EQUITY,0,0,0,0,-0.0711161524944168,0,0,0,0,0.0361758810119228,0,0,0,0,0,0,0.198204253641794,0,0,0,0,0.266929386959582,0,0,0,0.212134924255691,0,0.131386374066084,0,0,0,0,0,0,0,0,0,-0.0218938783353584,0,0,0,0,0,0.182552738948228,0.035177192037113,0,0,0,0,0,0.196267083828881,0.187753612873553
X388.HK.EQUITY,0,0.30637755744866,0,0,0,0,0,0,0,0,0,0,0,0,0.0283157475332632,0,0,0,0,0,0.549374902394879,0.245165721693715,0,0,0,0,0,0.222628052394438,0,-0.19424050764354,0,0,0,0,0,0,0.00351429189074239,0,0,0,0.0337171617463891,0,-0.505266009832093,-0.0040467264700715,-0.144549302218032,0,0.0225753640105757,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.232976871771905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224879712636981,0.0490281221960588,0,-0.110406832275172,0,0,0,0,0,-0.131661163862188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387447017434434,0,0,0.0634906041789715,0,0,0,0.00233805680753122,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.00514069004488155,0,0,0,0,0.236401543668395,0,0.065565079806946,0,0,0,0,0,0,0,0,0,0.0494096178074019,-0.00395684625929772,0,0,0,0,0,0,0.340925519400178,0,0,0.0604671519205347,0,0,0,0.0658408677908347,0,0,0,0,0,0.0036947340820547,0.0929828726412309,0,1.38777878078145e-17,0,0.0150472396114585,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.0491939703954788,0,0,0.421248160278606,0,0,0,0,0,0,0,-0.0343752799697736,0,0,0,0,0.233930596879695,0,0,0,0,0,0,0,0,-0.0427151928410799,0,0.196612709025941,0.0233537901987943,0,0,0,0,0,0,0.010288373201732,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.00524904411575688,0,0,0,0.57756102624707,0.00909492187558218,0,0,0,0.0457814651506796,0,0,0,0,0.0934298467213942,0.0760984892132511,0,0,0,0,0,0.0263564528393742,0,0,0,0.0370232514283957,0,0,0,0,0,0,0.0877264216811648,0,0,0,-0.0294890020774556,0,0,0,0,0,0,0,0,0,0,0,0.0270203394849671,0,0
X601328.CH.EQUITY,0.198024193032289,0,0,0.134365529967003,0,0.0242104938158324,0,0,0,0,0,0,0,0,0,0.0802927503688798,0,0,0,0,0,0,0.242472742357284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
