,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.360929101408469,0,0.308945195204986,0,0,0,0,0,0.0476979925819472,0,0,0,0,0.0514703925557721,0,0,0,0,-0.0444621333511623,0,0,0,0,0,0,0,0.0431104531859973,0,0,0,0,0,0,0,0,0,0,0,0,0.0900620877367293,0,0,0,0,0,0.0588010353453774,-6.93889390390723e-18,0,0,0,0
X601318.CH.EQUITY,0.128382853700654,0,0,0,0,0,0,0,0.169240174554718,0,0,0,0,0,0,0,0.18586350187977,0.0151352239836586,0,0,0,0,0,0,0.070534730814151,0,0,0,0,0,-0.0407606425738618,0.12923959506694,0,0,0,8.67361737988404e-19,0.141950670994136,0,0,0,0,0,0.0422902653747934,0,0.0710670269338854,0,0,0,0.130391485530613,0,0,0
X601939.CH.EQUITY,0,0,0,0.283393871705479,0,0.0676942546359506,0,0,0,0,0,0,0,0.45918628349398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732397980958582,0,0,0.0127546659734627,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.355190330665662,0,0.00690258803750501,0,0,0.502556352062509,0.0229719915068684,0,0,0,0,0,0,0,0.033229322994016,0,0,0,0,0,0,-0.0349915088955984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125654210302234,0,0,0,0,0.0922034963145893,0,0.00296623859216054,0.00679895995637121,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0844784902712652,0,0,0,0,0,0,0,0,0,0.131456763107229,0,0,0,0,0,0,0,0,0,0.0797549534398357,0.267018755230739,0,0,0.37429582375971,0,0,0.0199760139498161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714339809760238,0,0
X601988.CH.EQUITY,0.408407948815208,0,0.0659439722605242,0,0,0,0,0,0.0417251647653581,0,0,0,0,0,0,0,0,0.0874715084818477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161200927699924,0,0,0,0.0309766854059614,0,0,0,0,0,0,0,0,0,0,0.202620608973537,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.231929647886533,0,0,-1.73472347597681e-18,0.268677637638361,0.0808225444466623,0,0,0,0.173834074182703,0,0,0,0,0,0,0,0,0,0,0,0,0.0831033646840976,0,0.047706060553462,0,0,0,0,0.00792356463865622,0,0,0,0,0,0,0,0,0,0,0,0,0.00795194417844776,6.93889390390723e-18,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.101057823942525,0,0,0,0,0,0,0,0.425040779799044,0,0,0.133199022590222,0,0.131529193363163,0,0,0,0,0,0,0,0,0.241858869558558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.192209221943608,0,0,0,0,0.15748458834198,0,0,0,0,0,0.0192299547698194,0,0,0,0,0,-0.0163164026240617,0,0.208760197283832,0,0,0,0,0,0,0,0,0,0.0768988612599753,0,0,0,0,0,0,0.0464060674491263,0,0.0570165927284734,0,0,0,0,0,0,0,0,0,0.112227663608955,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.298419261238358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0700012193015636,0,0,0,0,0,0,0,0,0.0416595618730814,0,-0.00310311134690114,0,-0.813426901778772,0.367091829363534,0,0,0.535279767006949,0.710580047462641,-0.491053545057457,0,-0.174299951082884,-0.0193019300988712,0,-0.458926591634248
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621436946809076,0,0,0,0,0,0,0,0,0,0.0424958043917127,0,0,0,0,0,0,0,0.0253117214588744,0,0,0,0,0,0,0,0,0,0.204646875189566,0.038768434253075,0,0,0,0,0.0430618346304129,0,0,0,0
X601166.CH.EQUITY,0,0,8.67361737988404e-19,0,0,0,0.321075086510229,0,0,0,0,0,0,0,0,0,0.142143642070695,0,0,0,0,0,0,0.0286362844433709,1.73472347597681e-18,0.141264732549562,0,0,6.93889390390723e-18,0.251964763968206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107825724764844,0,0,0,0,0,0
