,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.52835950729077,0,0.0929457557569719,0.0261865951798056,0.0809658556915927,0.0664873990438961,0,0,0,0,0,0,0,0.036100770382625,0,0,0.0221075245811144,0.0640819067920039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761222784286895,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.405181288890219,0,0,0.0794435304725629,0.00250845760992548,0.100392708098759,0,0,0,0.0886768822861627,0.0845545389988781,0,0,0,0,0,0,0,0,0,0,0,0.022069311674624,0,0,0.0451712090091606,-8.67361737988404e-19,0,0,0,8.67361737988404e-19,0,0,0,0.00539439709638565,0,0,0.0409361055790619,0,0.031748667930879,0.0663841059127611,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.152632677581394,0,0,0.00355614085755265,0,0,0,0,0,0,0,0.134604266556436,0,0,0,0,0,0,0,0,0.0248047721662078,0,0,0,0,0,0.253992543508383,0,0,0,0,0,0,0.256824506184884,0,0,0,0.0864982307462765,0,0.0602046574036521,0,0,0,0,0
X601288.CH.EQUITY,0.118618131968212,0.171081675271105,0,0,0,0.0835453322860602,0,-0.00743082789305152,0,0.120645959918087,0,0,0,0,0,0,0,0.2600970017204,0.145409761589487,0,0,0,0,0,0,0,0,0,0.0623814215112088,0,0.00488800985441669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0873888126379313
X5.HK.EQUITY,0,0,0,0,0,0.371710546985929,0,0,0,0,0,0,0,0.153538021625792,0,0,0.214249151057169,0,-0.444783610670076,0,0,0,0.182914988132235,0,0,0,0,0,0,0.384460306089872,0,0,0.115284078777548,0,0,0,-0.127051932767409,0,0,0,0,0,0,0,0,-0.0210950117884113,0,0,0,0.145096948476793,0
X601988.CH.EQUITY,0,0,0,0.0111996470769089,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.352462067553208,0,0.00331760008038495,0,0,0,0,0,0,0,0.0367468062826926,0,0,0,0,0,0,0,0,0,0.403936596792191,0,0,0,0,0.0700592584355393,0,0,0,0
X600036.CH.EQUITY,0,0,0.231315959703953,0,0,0,0,0,0.0829054326863607,0,0.019933710038194,0,0.230084489531756,-0.0513325228465692,0,0,-0.0501149008486724,0,0.0472741167403986,0,0,0,0,0,0.389683951392336,0,0,0,0,0.142058810116642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042528132121765,0,0,0,-0.0495739407831773,0,-0.00287741390346066
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101232166135333,0,-0.0650772838600032,0,0,0,0.238726316664761,0,0,0.0859479028686118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324121784967912,0,0,0,0
X601628.CH.EQUITY,0,0,0.038913292271465,0,0.0682361792798246,0,0,0,0,0,0,0.0170316672885372,0.198136205773955,0,0,0,0.0251389711926854,0,0,-0.110516223346636,0,0,0,0,0,0,0.154902862121456,0,0,0,0,0.2364079258586,0,0,0,0,0,0,-0.0281818837004109,0,0.0925912736296981,0.172892639662939,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.101863646807787,0,0,0,0.0500376042892162,0.00820943710143597,0,0,0,0,0.0771969682282649,0,0,0,0,0,0,0.0236922345195596,0.208363739585067,8.67361737988404e-19,0,0,0.00466881869583332,0,0,0,0,0,0.0884829605546215,0,0,0,0,0,0,0,0,0.169595106099019,0.258457581997881,0,0,0,0,0,0,0,0,0,0
