,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.723736836280289,0,0,0.00485206140093583,0,0,0,0,0.0480171815337476,0,0,0.0664653837310209,0,0,0,0,0.0110140783893536,0.00611815573654299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631217523426667,0,0,0,0,-0.027678392447508,-0.0024946800035895,0,0,0,0,0,0
X601939.CH.EQUITY,0.149863506639431,0,0,0.279336501543394,0,0.32571268844847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736386113175439,0,0,0,0,0,0.0917915788746861,0,0,0,0,0,0,0.0368180630118366,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0334353712428434
X601318.CH.EQUITY,0,0.0847444978031466,0,0,0,0,0,0,0.00711795825500158,0.0593731783162211,0,0,0,0,0,0,0,0.0257046114540393,0.113073831275197,0,0,0,0,0,0,0,0,0,0,0,0,0.0893405585834042,0,0.167220539360066,0.0317481677467219,0,0,0,0.11028207446834,0,0,0,0,0.223106193031601,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.232766515607028,0.080545926758095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571641262335156,0,0,0.14747885949971,0,0,0.0759508895074006,0,0,0.00621616842093003,0,0.0484271927331102,0,0,0,0,0,0,0,0,0.0133801792619128,0,0,0,0,0.234958720350092,0,0,0,0,0,0,-0.0727192290575376
X5.HK.EQUITY,0,0,0,0,0,0,0.326413527773457,0,0,0.213574272340249,0,0,0,0,0.238869759093913,1.38777878078145e-17,0,0,-0.117115033076799,0,0,0,0,0,0.0682961663962598,0,0,0,0,0.105548252606834,0,0,0,0,0,-0.0987986350981402,0,0,0,0,0,0,0,0,-0.664550172177591,0,1.38777878078145e-17,0,0,0.262357688902973,0
X601988.CH.EQUITY,0.0510771033909596,0.00439314580711924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686298982155037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00779479411985885,0,0,0,0,0,0,0,0,0,0.135185661079863,0.0807773079203972,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.0525124043946607,0,0,0.278790035311209,0,0,0,0.0856041880548944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169383901202735,0,0,0,0,0,0,0,0,0.112799466347628,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250429741256065,0.000775117816919061,0,0,0,0,0,0,0.775033741955309,0,0,0,0.104333289930819,0.00419517326406815,0,0.000700083101345981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.135489769084596,0.0672951729455786,0,0,0,0,0,0,0,0,0,0,0,0.0295797350570121,0.00342443050933403,0,0,0,0,0,0,0,0,0.0702691830709777,0,0,0,0,0,0,0,0,0,0,0.319929762895587,0,0,0,0,0,0.209956922559832,0.0698264983399759,-0.0271537025227017,0,0,0,0,0,0
X601328.CH.EQUITY,0.0016210739934692,0,0,0,0,0,0,0.170599041546345,0,0,0.0379790169167552,0.14745178030669,0,0,0,0,0,0,0,0,0,0.251183582416796,0,0,0,0,0.0313510849707849,0,0,0,0,0,-0.00875580093469697,0.0403754982532248,0,0,0.000780672356313184,0,0.252481315887847,0.0685615413744404,0,0.0396107774956541,0,0,0,0,0,0,0,0,0
