,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.428439309560343,0,0,0,0,0,0.00289614282766262,0,0,0,0,0.361306057963146,0,0,0,0,-0.0451887383925955,0,0,0,0,0,0,0,0,0.0745363427697665,0,0,0,0,0,0,0,0.00135406125367116,0,0,0,0,0,0,0,0,0.00536701762736209,0,0.114163756701865,0,0,0,0
X601939.CH.EQUITY,0.319972596168794,0,0,0,0,0,0,0,0,0,0,0,0,0.504588924472326,0.0502372296374013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733195948350853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202613272080246,0.0631117013630804,0,0,0,0,0,0,0.0292572198437394,0,0,0,0.00452298071987942,0.00860177736763848,0,0,0,0,0,0.0242130967761248,0,0,0,0,0,0,0,0.499215330276858,0,0,0,0,0,0,0,0,0.0432353289832013,0,0
X601288.CH.EQUITY,0.357461625371676,0.0412536803971742,0,0,0.353044016917314,0,0,0,0,0,0.109379323511077,-1.73472347597681e-18,0,0,0.0414206556223227,0.0561851175551617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0341952227616155
X601988.CH.EQUITY,0,0,0,0.177783680134896,0,0,0,0,0,0,0.240415499807877,0,0,0.0938095403498016,0,0,0,0,0,0,0,0.0235732808945943,0,0,0,0.102403966823253,0,0,0,0.074710671247233,0,0,0,0,0.102872258151169,0,0,0,0,0,0,0.0654435683054828,0,0,0,0.0494650943596603,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.341895757849759,0,0,0.111845806182532,0,0,0,0.568973621094827,0,0,0,0,0.0804258432046734,0.661313212225773,0,-0.592634523416607,0,0,0,0,0,0,0,0,-0.0684206878023842,0,0,0,0,0,0.128773258350684,0,0,0,0,0,0,0,0.155066012963541,0
X600036.CH.EQUITY,0,0,0,0.00375370901851381,0,0,0,0,0,0,0,0.221229977481683,0,0,0.0546663184258599,0,0,0,0,0,0.164939747317619,0,0,0,0,0,0,0,0,0,0,0.0859273759380062,0,0,0,0.0889539940201546,0,0,0,0,0,0,0,0,0,0,0.0669792103142358,0,0,0.135342340959754,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0122426667291874,0,0,0,0,0,0,0,0,0.176397826573964,0,0,0,0.205630939179068,0,0,0.117244714775183,0,0,0,0,0,0,0.247221963094303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342106396348045,0,0
X601628.CH.EQUITY,0.160257962772423,0.154921782647509,0,0,0,0,0,0.0384759003011724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228538412936936,0,0,0,0,0,0,0,0,0.0151875423366209,0,0,0,0,0,0,0,0,0,0,0.0258484701427008,0,0.216316381391716,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.224738704329145,0,0,0,-0.0728088081853467,0,0,0,0,0,0,0,0,0,0,0,0.0172133211691859,0,0,0,0,0.190730637725241,0,-0.0703095681499928,0,0,0,0,0.416166383864448,-0.169059662461603,0,0,0,0,1.16540555989138,0,0,-0.51178975744287,0,-0.104891911938125
