,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0642542056454947,0,0.454084077639294,0.0967021565730411,0.0949951216226289,0,0,0,0,0,0,0,0,0,0,0.148443066736851,0,0,0,-0.0718677739040288,0,0,0,0,0,0.0556229409858796,0,0,0,0,0,0,0.0879078734903273,0,0,0,0,0,0,0,0,0,0,0,0.0702492418609112,0.0581199145013394,0,0.121481985384528,-0.115202152010233,0
X601318.CH.EQUITY,0,0,0,0.27305426106839,0,0,0,0,0.188304480725706,0,0,0.0132192606731736,0,0,0,0,0,0.0676667135318813,0,0,0.0666994446171301,0,0,0,0,0,0,0,0,0.0139551141201444,0.0634088409816644,0,0,0,0.00696636260940217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113124933548076
X601939.CH.EQUITY,0,0,0,0,0.153141733170598,0,0,0,0,0,0,0.122255497975359,0,0.0658377377135606,0,0,0,0,0.0211952075096745,0.000591041519114683,0,0,-0.0370923141567622,-0.0870368990198492,0.572892159725057,0,0.175901446775968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050811615488798
X600036.CH.EQUITY,-3.46944695195361e-18,0.193897289350439,0,0,0,0,0.103301310147938,0.109680526414299,0,0,0,0,0.174469017176779,0.0708835080722766,0,0,0,0,0,0,0,0,0,0,0,0.255928783174878,0,0.060855097851275,0,0.0146661924433357,0,0,0,0,0,0,0,0,0,0.0344061462111606,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.18950153218783,0,0.113964592465557,0,0,0.0203927356269963,0,0.199362075974368,0,0,0,0.125107808280037,0,-0.0346088166136653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103253669842995,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.232553787417976,0,0,0.0626477315670015,0,0,0,0
X601628.CH.EQUITY,0.168926315797974,0,0,-0.0750855342849791,0,0,0,0,0,0.0610620061579849,0,0,0,-0.0881829471121041,0,0,-0.0130675473221282,0,0.0442502577201956,-0.091228401260763,0,0,0,0.138808432579471,0,-0.0326355293389541,0,0,0,0,0,0,0,0,0,0.676804958086756,0,0,0,0,0,0,0,0,0,0,0,0.14401055949673,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.145263075546504,0,0,0,0,0,0,0,0,0,0,0,0,0.103742553128355,0,0,0,0,0,-0.267780972773564,0,0,0.0012584327437631,0,0,0,0,0,0,0.0780142634480087,0.301272064842696,0,0.160630962270662,0.0689686799994073,0.106962418134753,0,0.0521545311808359,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0288724493396618,0.0977421089564811,0.314604730834531,0,0,0,0,0,0,0,0.106543214848918,0,0,0,0,0.232662785419215,0,0.0196068171150989,0,0,0.196092013489259,0,0,0.217388878692709,0,-0.0244540096646684,0,-0.093149512785134,0.255082154303861,0,-0.0899965993128831,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0341271095173696,0,0,0,0.0920827920118638,0,0,0.0402473408913281
X5.HK.EQUITY,0,0,0,0,0,0.0158730020254102,0,0.0406572688660267,0,0.0184221070113634,0,0,0,0,0,0,0,0,0,0,0.203886731346257,0.107841633156379,0.157794596578395,0,0,0,0,0,0,0.0311338663761753,0,0,0,0,0.00374539477342517,0,0,0,0.245034955945895,0,-0.0700309986677273,0,0,0.189359658451114,0,0,0,0.0594172515979623,0,0,0,0
X388.HK.EQUITY,0,0,-4.33680868994202e-19,-0.114111592188511,0,-0.0713561627251027,0.166918969572666,0,0,0,0,0,0,0,0.388934042060329,-0.141892855810956,0,0,8.67361737988404e-19,-0.135579746193819,0,0,0.168319434680858,0.233830514116615,0,0,0,0,0,0.0321049392394772,0,0,0.187957612875919,0,0,0,0,0,0,0,0.00743353803883013,0,0,0,0,0,-0.163869463457027,-0.0373085006161458,0,0,0.158616539508526,-0.0323102314452597
