,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.346078535057803,0.0602496349678117,0.111904074999083,0,0,0,0,0,0,0.209512253538337,0,0,0,0.0168184330170522,0,0,0,0,0,0,0,0.0137745285334697,0,0,-0.0255038426043959,0,0,0,0.0363867746610709,0.00866260073422906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453324055949816,0,0,0,0,0,0.145383901537721,0
X601939.CH.EQUITY,0.45632486027324,0,0,0,0,0,0,0,-0.0176747475029664,0,0.210720950895177,0,0,0.0346753586410041,-0.0151386882606794,0,0,0,0,0,0,0,0.146034951006319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716611647291271,0,-0.049435634935343,0
X601318.CH.EQUITY,0,0,0,0,0.252355845920673,0,0,0,0,0,0,0.115781984042893,0,0,0,0,0,0,0,0,0,0.160068961956668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519153850815075,0,0,0,0.0608567480018397,0,0,0.181117288937941,0,0,0,0,0,0
X601288.CH.EQUITY,0.404247032726,-1.38777878078145e-17,0,0,0.257099357708772,0,0,0,0,0,0,0,0,0.0656709233438194,0,0,0,0.0775555719385258,0.0627209813106345,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0220713584639539,0,0.061383153328967,0,0,0,0.0290882144239962,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.509663192432772,0,0,0,0,0,0.234157523729421,0,0,0,0,0,0.0840162476817977,0.132809222492158,0,0.0670013955125326,0,0,0,0,0,0,0,0.0615864152821009,0,0,0,0,0,0,0,0,-0.562976323762114,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.204761235137628
X600036.CH.EQUITY,0,0.018766935430431,0.0340476206294404,0,0,0,0,0,0,0,0,0.0986999562910124,0,0,0,0,0.00892725078501052,0.0577211950022031,0,0,0,0.270312231490446,0,0,0,0,0,0,0,0,0,0.230521959875755,0,0,0,0,0,0,0,0,0.147247733140347,0,0,0,0.0787484431656765,0,0,0.103964947164952,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0382648918168564,0,0,0.232395216360548,0,0,0,0,0,0,0.457957942494807,0,0,0,0,0.11233724494811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.109655851936372,0,0,0.0428096999977603,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.172707975580923,0,-0.340366862879428,0,0,0,0,0,0.114809975745641,0,-0.351889139700445,0.579683592024749,-0.0901881454179841,0.731034386936225,0,0,0.0755254848703907,0,0,0,0,0,0.342125956663306,0,-0.0178981111188015,0,0,0,0,0,0,-0.101594555858566,0,0.141350467945782,0,0,0,0.131367684661255
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.131607379238669,0,0,0,0,0,0,0,0.0354221179922912,0.365943319508943,0,0,0,0.00411415477789234,0,0,0.0206413335483324,0,0,0,0,0.0118225817404562,0,0,0,0.0683451209325751,0,0,0.271368914240523,0,0,0,0,0,0,0.0233920360432247,0,0,0.141755115546166,-0.0190700779372728
X601658.CH.Equity,0,0,0,0.0939816773170368,0.263735066526531,0,0,0,0,0,0,0,0,0.18001792115287,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.163673481490824,0,0,0,0,0,0,0,0.172216107899422,0,0,0,0,0,0,0,0,0,0,0,0.337438805966341,0,0,0
