,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.314815680732665,0.0542375066163866,0.13018339398897,0.0289374445838218,0,0.0181568321183669,0,0,0,0.246121954387639,0,0,0,0,0,0,0,0,0,0,0.0031484372113705,0.0576248931051419,-0.0461668422645116,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.0243341664625014,0,0,0,0.0449791580055901,0,0,0,0,0,0,0.194055615148384,0
X601939.CH.EQUITY,0.31139473232328,0,0,0.2035099619093,0,0,0,0,-0.0517267382205202,0,0.132687611777533,0,0,0.0710516951592042,-0.0880266967954084,0,0,0,0,0,0,0,0.191770576235285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255721981788941,0,0,0,0.123746623162114,-2.16840434497101e-19,0,0
X601318.CH.EQUITY,0,0,0,-8.67361737988404e-19,0.289110181247179,0.0484112315083218,0,0,0,0,0,0.0412515632722478,0,0,0,0,0,0,0,0,0,0.17520713407149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964311897802177,0,0,0.0731367870784822,0,0.153922647322588,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.360826263724481,0,0,0,0.332920956696925,0,0,0,0,0,0.0231498012596204,0,0,0,0,0,0,0,0,0.0744686919218669,0.0307783013948385,0,0,0,0,0,0,0,0,0,0,0,0.0439856075969266,0,0.0879704261022489,0,0,0,0,0.0418478768761021,0,0,0,0,0,3.46944695195361e-18,0,0,3.46944695195361e-18,0,0,0
X601988.CH.EQUITY,0,0,0,0.500827386376504,0,0,0,0,0,0.236317105582172,0,0,0,0,0,0.225049425647555,0.0664191323875667,0,0,0,0.0441457872855754,0,0,0,0,0,0.0871162514920289,0,0,0,0,0,0,0,0,-0.583427760065461,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0244712743821777,0,0,0,0,0,0,0,0,0,0.208015843706033,-0.0262637056824613,0,0,0,0.109711832136372,0,0,0,0,0.139036759466012,0,0,0,0,0,0,0,0,0,0.26239186742629,0,0,0,0,0,0,0,0,0.126444390003283,0,0.118000676425369,0.116401272382778,0,0,0,0,0,0,-0.0201352743149612,0
X1299.HK.EQUITY,0,0,0,0,0.0349796719324399,0,0,0,0,0,0,0,0,0.157355569035231,0,0,0.0502688136455941,0.502673585766608,0,0,0,0,0,0.135508034271506,0,0,0,0,0,0,0.0884256125631734,-0.025727384056984,0,0,0,0,0,0,0,0,0,0,0.0777327613512131,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117226480442195,0,-0.0963037669046405,0,0,0,0,0,0,0.319859344817795,-0.0311980495060293,0,0,0.615110976488159,0,0,0,0,0,0,0,0,0,0.284398388815421,0,0,0,0,0,0,-0.185170536402675,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.131069614699477,0,0,0,0,0,0,0,0,0.371868099568177,0,0,0,0,0,0,0.000639133898703007,0,0,0,0,0.0337455778321158,0,0,0.0753356412740351,0,0,0,0.249996967902294,0.0401008806954965,0,0,0,0,0,0.0417360245716943,0,0,0.166326787969415,-0.0279265589275316
X601658.CH.Equity,0,0,0,0.163999558945388,0.158017226741187,0,0,0,0,0,0,0,0,0.108817174134082,0,0,0,0,0,0,0,-0.0785886422591369,0,0,0,0,0.0334875751254235,0,0.101095106570964,0,0,0,0,0,0,0,0,0.27206945651738,0,0,0,0,0,0,0,0,0,0,0.425784904092294,0,0,0
