,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.282534923504554,0.0432718192193024,0.0108634277463823,0,0,0.431386741476997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102307106034551,0,0,0,0.048824258982651,0,0,0,0.018467478668234,0,0,0,0,0,0,0.074707909629322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.151754863231303,0,0,0,0,0,0.198757296119239,0,0,0,0.06475020572258,0,0.130913257804974,0,0,0.0630087154660994,0,0.129420156534488,0,0,0,0,0,0,0,0,0.111787922821956,0,0,0,0,0,0,0.0496273299005608,0,0.0294212148178905,0,0,0,0.0137134217774105,-0.036280173978728,0,0.0476412322084066,0,0,0.0490720166113851,0,0,0.0426477282268832,-0.0636617916254681
X601939.CH.EQUITY,0.447056916674161,0.172032796542632,0,0,0,0,0,0.235659530473291,0,0,0,0,0,0,0,0,0.0123713309898967,0,0,0,0,-0.115517449402598,0,0,0,0,0,0,0.143526817829651,0,-0.0413345978580191,0,0.139398831343202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112486684108781,0.126928364236009,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.568175450558998,0,-0.0831718244484562,0,0.0386614293379324,0,0,0,0,0,0,0,0,0,0.0614677529013604,0.105265104081206,0.0758703627553736,0,0,0,0,0.114731147054647,0,0,0,0.0555116814067898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532279223505993,0,0,0.00561817770530303,0
X600036.CH.EQUITY,0,0.143191566274485,0,0,0,0.0256517573544533,0,0.00407619294735548,0,0,0,0,0.121058933279213,0,0,0.0292883955209167,0,0,0,0,0,0,0.0944673336256838,0,0,0,0.0767457517941553,0,0,0,0.0252874211292808,0,0,0,0,0,0,0.0585982322667919,0,0,0.0645302201562388,0,0,0,0,0,0,0,0,0.360602997822853,-0.288854559080568,0
X1299.HK.EQUITY,0,0,-0.16186168409464,0,0,0,0,0,0,0.167492015921586,0,0,0,0,0,0,0,0,0,0,0,0,0.0451233105711483,0.169357728457918,0,0,0,0,0,0,0,0,0.17358494245651,0,0,0.0966515913790282,0,0,0.0891890488821423,0,0,0.0553355610603695,0.311757107795626,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.114505805881818,0,0,0,0,0,0,0,0,0,0,0,-0.0556227881024058,0,0,-0.202329141285148,0,0,0,0,0,0.174172115491109,0,0,0.0149406887912132,0,-0.100585702935388,0,0,0,-0.0156167488056167,0,0,0,0.576803855904401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0791784623719367,0,0.0900686696811485,0.341791827262827,0,0,0,0,0,0,0,0,0.231909315609165,0,0,0,0.112636298528262,0,0,0,0,0,0.0384562048190974,0.0167853866864065,0,0,0,0,0,0.128799028796536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.318295282480208,0,0,0,0,0,0,0,0,0,0,0,-0.223817734701284,0,0,0,0,0,0,0,0,0,0.276302443032341,0,0.135611296653313,0,0.045715555850887,0,0,-0.00546891240642883,0,0,0,0,0,0,0,0,0,0.231207668282293,0,0.140241641463123,0,0,0,0,0.128132212569365,0,0,0.0373379788636916,0
X388.HK.EQUITY,0,0,0,0,-0.123646663294651,0.260218618532591,0,0,0,0,0,0,0.048553812130033,0,-0.0489712740186711,0,0,0,0,0,-0.138279035516364,0.457459017577438,0,0,0,0,0,0.0737690992910979,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.0473111966420015,0.136885363235759,0,-0.0656188827597359,0,0.144176003647184,0,-0.347837627321128,0,0.0237398036930965,0,0,0.179140010790642,0
