,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.521310805924274,0,0,0,0.122276607690011,0,0,0.050980644985132,0.049680137996591,0,0,0.169699350330847,0,0,0,0.0361651537382652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253450669448339,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.138943014845678,0.271639920331559,0,0,0,0.0338802735334347,0,0,0,0,0.315388990188004,0.093074541033296,0,0.0648619181213027,0,0,0,0,0.0463297887424744,0,0,0,-0.0476579162234921,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.067940951269732,0,4.33680868994202e-19,0,0,0,0,0.00142752328182058,0,0,0,-0.000411406015657589
X601939.CH.EQUITY,0.313207793871392,0,0,0.177083195944465,0.140917935098544,0.0455416006913393,0,0,0,0,0,0,0,-0.0702633150823825,0,0,0,0,0,0,0,0,0.131144006360603,0,0,0,0,0.274980102830333,0.0620885963897866,-0.0962761025457716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115269152788935
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.121880281714302,0,0,0.720641949789212,0,0,0,0,0.0081861071280792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857383400096449,0,0,0,0.0137166802953173,0.114363484462074,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101071086779673
X5.HK.EQUITY,0,0,0,0,0,0.286597063342434,0,0.0870564070451709,0,0,0,0.0761001158603988,0,0,0,0,0,0,0.166452797373755,-0.199465102426569,0,0,0,0,0,0.0398039532811652,0,0,-0.0248060616383344,0,0,0.0193679460408103,0,0,0.201131823458939,0,0,0,0,0.387274623805399,0,0,0,0,0,0,0.195667294147572,-0.141030210612847,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.327468804072505,0,0,0,0.0456825168192135,0,0.0306929315648052,0,0,0,0,0,0.0700567620772543,0,0,-0.053890666724932,-0.022388049232534,0,0,0,0.193705048919375,0,0,0,0,-0.214147319237393,0,0,0,0,0,0,0,0,0,0,0,0.151966843780355,0,0,0,0,-0.0229383866673027,0,0,0.136050948464069,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0580773989563249,0,0,0.0849267260104878,0,-0.112126390377832,0,0,0,0,0,0.411685307181591,-0.000911293344936493,0,0.148271471724262,0,0,0.113267639617543,0,0,0,0,0,0.0947999784441391,0,0,0,0,0,0,0.267089684122557,0,0,0.122078704689735,0,0,0,-0.0549854029377225
X1299.HK.EQUITY,0,0,0,0,0.0659264058447977,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.212907413897862,0,0,0,0,0,0,0,0,0.104761440238614,0,0,0.0405159430441162,0,0,0,0,0,0.247312491982768,0,0,0,0,0,0,0,-0.0459750007273148,0,0,0.10552201946055,0,0,0,0,0.126879275666746
X601628.CH.EQUITY,0,0,0,0.0318308759069809,0,0,0,0,0,0,0,0,0.132129946760157,0,0,0,0,0.409296831026614,0,0,0,0,0,0,0.00348441439608599,0,0,0,0,0,0,0,0,0,0,0.0655458755444381,0.182434289859979,0,0,0,0.190282733285172,0,0.0782330134192825,0.049046744045331,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.00558536583425739,0,0.414402472749716,0,0,0,0,0,0,0,0,0.412340715403026,0,0,0,0,0,0,0,0,0,0.0544717046830235,0.0493602659043147,0,0,0,0,0,0,0,0,0,0,0.0136722107580053,0,0,0,0,0,0.0924958385784351,0,0,0,0.229804714195908,0,0,0.062670683084102,0,0,0,0
X601166.CH.EQUITY,0.0737818238964149,0,0.000689294037050847,0.194314635399038,0,0,0,0,0,0,0,0.368698689902054,-0.021117604145424,0,0,0,0,0,0.00535001130028914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427622616961747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12646899875674,0
X600000.CH.EQUITY,0,0,0.448296660776067,0,0.152242813248639,0,0,0,0,0,0.0453209874260835,0,0,0,0,0,0,0,0,0,0.16620169083828,0,0,0,0,0,0.118865381979185,0,0,0,0,0,0,-0.170185148811271,0,0,0,-0.0622248394255813,0,0.231980350551306,0,0,0,0,0,0,0,0,0,0,0
