,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.20009581383103,0,0.206043402305917,0,0,0,-8.67361737988404e-19,0,0,0.143727476946139,0,0,0,0.0657083523887716,0,0,0,0,0,0,0,0,0,0,0.0523707728423122,0,0,0,0.146992482398135,0,0,0,0,0,0,0,0,0,0,-0.0147718627200377,0,0,0,0,0,0,0,0,0,0.217415111785663,0
X601939.CH.EQUITY,0.154264594655167,0,0,0.35175057670864,0,0,0,0,0,0,0,0,0,0.254132525142815,-0.11081080721065,0,0,0,0,0,0,0,0,0,-0.0775611255173441,0.220786525775455,0,0,0,0,-0.0123891676248666,0,0,0,0,0,-0.0205128851767683,0,0,0,-0.0254508912082576,0,0,0,-0.0269732442001353,0,0,0,0.124468823686198,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0937479241439913,0,0,0,0,0,0,0.0897709171609193,0,0,0,0,0.0624435777577071,0.171418838466083,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0360801555918003,0,0.00701027896606203,0,0,0,0,0,0.023740187800215,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.492668384724691,-1.38777878078145e-17,0,0.119370613833816,0,0,0,0,0,0.0996473422030979,0,0.1165272780718,0.0228099937673987,0,0,0,0,0,0.142666301153816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155637705284234,0,0,0,-0.0416553903797301,0,-0.0289275447782017,0,0,0,0,0.0338933100220492,0,-0.0952946247956706,0,0,0,0
X601988.CH.EQUITY,0,0.121976617458099,0,0.382165318076794,0,0,0,0,0,0.279425894760813,0,0,0,0,0,0.242818002635089,0,0.0846914469611114,0,0,0,0,0,0,0.0934917477445822,0,0.0550065891775799,0,0,0,0,0,0,0,0,0,-0.538361663338598,0,0,0,0.04695424366044,0,0,0,0,0,0,0,0,0,0,-0.164450252511916
X600036.CH.EQUITY,0,0.179044216049685,0.0164221143654193,0,0,0,0,0,0.0987608536084003,0,0,-0.0295421305299681,0.124240123538817,0,0,0,0,0.169804227858793,0,0,-0.0217598364626712,0,0,0.131501255021525,0.0295879508130024,0,0,0,0,0,0,0,0.367924048319597,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0310777552095027,0,0,0,0.0615872812106866,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0861041356785226,0,0,0.17546927511311,0,0,0.288849020533544,-6.93889390390723e-18,0,0,0,0.136687936317464,0,0,0,0,0,0,0.0900519931044683,0,0,0,0,0,0,0,0,0,0,0.150651824450928,0,0.0357588749431161,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436568235154326,0,0,-0.0376182563735745,0,0,0,-0.381251570994846,0.61046600717537,0,0,0.0433560676658578,0,0.690244920457752,0,0.0174761920481758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148249777579552,0,0,0.28614409343333,0,0,0,0
X601628.CH.EQUITY,0,0.0388630677136193,0.108715123655818,0,0,0.20000898992506,0,0,0,0,0,-0.137240467901674,0,0,0,0,0,0,0,0,0,0.355205557952611,-3.46944695195361e-18,0.104693974290749,0,0,0,0,0.112890501312497,0,0,0,0,0,0,0,0,0,0,0,0,0.0206645642403531,0,0,-0.0541759502764619,0,0,0,0,0,0.157769613486661,-0.0506475951110165
X601658.CH.Equity,0,0,0,0,0.118490202235164,0,0,0,0,0,0,-0.106913565721963,0,0.114733472066443,0,0,0,0.0967890394367947,0.227113248826714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157176368721919,0.323854618529947,0,-0.147225908142278,-0.135903991374592,0,0,0,0,0.10431607156442,0,0,0,0,0,0
