,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.155317071245075,0,0.0816564204775758,0,0,0,0,0,0,0,0.333795099195694,0.143135781021523,0,0,-0.16801455373046,0,0,0,0,0,0,0,0,0,0,0,0,0.0313845457987696,0,0,0,0,0,0,0,0.153524720578563,0,0,0,0,0,0.136778418010183,0,0,0,0.0520184769077475,0,0,0,0,-0.013765357063566
X601318.CH.EQUITY,0,0,0,0,0,0,0.042120156890983,0,0.130652060309627,0,0.0373790696847778,0,0,-0.149717385843797,0.0761080003552201,0.010790206473777,0,0,0,0,0,-0.0171072895691443,0,0,0,0,0,0,0,0,0,0,0.175052001443306,0,0,0,0,0,0,-0.230762078547362,0,0.373567540716563,0.101982813381004,0.196555516374156,0,0,0,0,0.187615950892918,0,0,0
X601939.CH.EQUITY,0.165868842853946,0,0,0.294795622762468,0,0.13813829900516,0,-0.0570552001104394,-0.0388750126151963,0,0,0,0,0,0.0414707787074348,0,0,0,0,0,-0.013556303486976,0.0855413246208443,0,0,-0.0370213068361984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490280757269198,-0.0710879112222122,0,0,0,0,-0.0222988656679919,0,0,0.0367821704491799,0,0,0
X601288.CH.EQUITY,0.51732459624891,0,0.191317477487764,0,0.0729991218450165,0.161285016584801,0,0,0,0,0,0,0,0,-0.166158397842961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128658661807332,0,0.0836249889500601,0,0,0,0,0.0768647517709533,0,0,0,0,0,0,0,0,0,0.186866442773782,0,0.0781336340823131
X5.HK.EQUITY,0.011747295598519,-0.0559955253963237,0.0876389648627964,0.0601720765254021,0,0.130881682849453,0,-0.0495709662408864,0,0,0,0,0.297338278008725,0,0,0,0,0,0,0.663488207741434,0,0,0,0,0,0,0,-0.187251777226548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798907566355675,0,0,0,0,-4.74134335435757e-05
X601988.CH.EQUITY,0.205757909476004,0,0.0196896674029183,0.0443792074281177,0,0,0,0,0.0479053529459401,0,0.0545874103573377,0.113935405381047,0,-0.401149301938675,0,0,0,0,0,0,0,0,0.51382908744498,0.0338190111917696,0,0,0,0.0292254005808498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053843611676094,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.00756943595371178,0,0,0,0,0,0.111195959463368,0,0,0,0,0,0,0.274614890654337,0.177002114596738,0,0.00420872308411153,0,0.0871523474257719,0,0,0,0,0,0,0,0,0,0,0,0,0.116822483421859,0,-0.00261724426363664,0,0,0,0,0,0,0,0.0939435406805295,0,0,0,0,0.128073640721438,0,0,0.0190893367003439,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0163550949838739,0.0160045586015634,0,0,0,0.21332585705125,0,0,0,-0.151602762562427,0,0,0,0.31178144409485,0.255653647473677,0,0,0,0.0510464294034433,0,0,0,0.119333487146113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314419901441933,0,0.12577780014244,0,0,-0.0231425891065927,0,0
X601628.CH.EQUITY,0.13996131960982,0.359908299662054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138469399713003,0,-0.10686817501611,0,0,0,0,0,0,0,0,0,-0.0918319730164785,0,0,0,0,0.0667126082405125,-0.0448812616217794,-0.148587185518961,0,0,0,0,0,0.319002066727483,0,0,-0.054646970352516,0.00854812092417487,0,0,0,0,0.177259812570414
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
