,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.31375310024163,0,0,0.083565552704826,0,0,0,0,0,0,0,0,0.0291056824993215,0,0,0,0,-0.0815011172080775,0,0,0,0,0,0,0,0,0,-0.0238380348923232,0,0,0,0.161119027559555,0,0,0,0.00344249079719972,0,0,0,0,0,0,0,0,0.260673988362823,0,0,-0.0566408499122653,0
X601318.CH.EQUITY,0,0,0,0,0,0.061684061565288,0,0.0221185248183934,0.148524275124049,0,0.126106498401701,0,0.0396535215714197,0,0,0,0,0,0.14601804257967,0.241319767408868,0,0,0,0,0,0,0,0,0,0,0,0.110767775547258,0,0,0,0,0,0.073074188491211,0,0,0,0,0,0,0.0663754424016231,0,0,0,0,0,0,-0.074521727794681
X601939.CH.EQUITY,0,0,0,0.372850539939184,0,0,0,0,0,-0.0232360665719592,0,0,0,-0.148936625518816,0.00652919896448631,0,0,0,0,0,0,0,0.684062454856725,0,-0.0680636416200191,-0.145569504020429,0,0,0,0,0,0.0450111377626208,0,0,0,0,0,0,0,-0.035963441223692,0,0,0,0,0,0,0,0,0,0,0,0.0578219046374035
X601288.CH.EQUITY,0.178509252218048,0,0.100374405858807,0,0.0671699838913514,0,0.286260848755306,-0.0340969259934843,0,0,0,0,0,0,-0.0141985656568826,0.167995674596782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0773486571634674,0,0,0,0,0,0,0,0.193969409311179,0,0,0,0,0,0.0550260861707442,0
X601628.CH.EQUITY,0.103585748335054,0,0,0,0,0.13264276205828,0,0,0,0,0,0,0,0,0,0,0,0.218325410687636,0,0,0,0.108258694348975,0,0,0.243195420429245,-0.155234380459867,0,0,0,0.0540842669434662,0,0,0,0.32009631199075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00601457721145652,0,0,-0.17172653887502
X600036.CH.EQUITY,0,0.179012978542355,0,0,0.103915831169523,0,0.0780031640458156,0.0431148000959841,0,0,0,0,0.241996396710001,0,0,0,0,0,0,0,0,0,0,0.298270294323512,0,0,0,0,0,0,0.11150379945616,0,0,0,0,0,0,0,0.0912350041135104,0,0,0,0,0.0161149079085374,0,0,0.0490973831949855,0,-0.0509300088712436,0,0,0
X601988.CH.EQUITY,0,0.00194847769447845,0,0,0,0.34286758567564,0,0,0,0,0,0,0,0,0,0.46456381076953,0,0,0,0,0.0341580963411903,0,0,0,0,0,0,0,0,0,0,0.136480862966501,0,-0.088225507026594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203427748104015
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.325371947823192,0,0,0,0,0,0,0.0645787307017142,0,0,0,0,0,0,0,0,0,0.0823105880727122,0.0443443391357638,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.0563009434447049,0,0.14100407991003,0,0.114499863854709,0,-0.042145559953971,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456874702810237,0,0,0,0,0,0.0945524123597937,0,0,0,0,0.595420687673682,0.0500669505755381,0,0,0.0604132300363126,0.0527024892837152,0,0,0,0,0,0,0,0,0.180980064878349,0,-0.106714883722092,0.0978944585448815,0.0519490632810536,0,0,0.120303812283607,0,0.171310779471188,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.153721795937988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00828989041691348,0.468395104776054,0.074258191451071,0,0,0,0,0.124459617835229,0,0,0.218187090054295,0,0,0,0.0885393950839452,0,0.0462439443626727,0,-1.73472347597681e-18,0,-0.207501476571072,0,0.0791277671017691,0.121181646013475,0,0,0,0.0735335140564396,0
