,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.12916395986093,0,0,0,0,0,0,-0.153159206808096,0,0,0,0,0,0,0,0,0,0,-0.108240685027117,0,0.0757715196357163,0.443040576841478,0,0.529603273760089,0,-0.0187567910961613,-0.142110792724092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.226153447113681,0,0,0,-0.0476210137193951,0,0,0,0.00225011713724641,0,0,0.0584863199495954,0,0,0.0315185240435513,0.0514746120906242,0,0,0,0,0,0,0.143113286613134,0,0,0.147294149047346,0,0,0,0,0.181867453965821,0.0963290571305729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0870082306067586,0,0.786733086727427,0,0,0.00177164584901122,0,0,0.0301452031860321,0.0451407448251707,0,0,-0.0495689944496361,0,0,0.0941042545023641,0,0,0,0,0,0,0,0.0386950751701889,0,0,0,0,0,0,0,0,0,0,0,0.0581873255869892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00689031677606105
X601288.CH.EQUITY,0,0,0.964899030799369,0,0,0,0,-0.0737180023006218,0,0,0,0,0,0,0,0,0,0,0.0422862665162597,0,0,0,0,0,0.0744093031297752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0325331658419301,-0.0301163273824985,0,0,0,0,0.0580663205354555,0,0,0,0,-0.0815542443744871,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0115159918007908,0.246849585323048,0,0.347362845379006,0,0,0,0,0,0,0,0.079900589252369,0,0.0159799251875434,0,0,-0.181728989733738,0,0,0,0,0,0,0,0,0,0,0,0.487825372917204,0,0,0,0,0,0,0,0,0.155780062195509,0,0,0,0.00265581057472047,0,0
X600036.CH.EQUITY,0,0,0.125252683302531,0.211412006611054,0,0,0,0,0.0649651320273856,-0.0176114390832877,0,0,0,0,0,0,0,0.166789118027003,0,0.0305453481595334,0,0,0,0,0.0237946533658719,0,0,0.0395451823852943,0,0.177909462602616,0.126193422172795,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0321651475159123,0,0,0.0312379579099143,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0685061183226713,0,0,0,0,-0.0538820346776109,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.071650061099709,0,0,0,0,0.00239897927786349,0,0,0,0,-0.0224767210306422,0,0,0,0,0,0,0,0,0,0,0,-0.133083093721669,0,0.998247098707403,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0254471575765212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27822851861459,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.135958844881967,0,0,0,0,0.16665347924983,0.261756092079028,0,0,0.0291393053923475,0,0.0167342260938954,0,0,0,0,0,0.0235480836436331,0,-0.112510386217565
X5.HK.EQUITY,0,0,0,0,-0.00483152508124865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397338441961767,0,0,0,0,0,0,0,0,-0.301658329274409,0,0,0,0,-0.00264423327478742,0,0,0,0.0432367678911517,0,0,0,0,-0.078954862358205,0.0865652582850993,0.0269210880960793
X388.HK.EQUITY,-0.0931596554208317,0,0,0,0.231692889783383,0,0,0,0,0,0,0,0,0,0,0.114652858254973,-0.249477809360237,0,0,0,0.175673901300451,0,0.29422587548639,0,-0.0338862438460466,0,0,0,0.253214652818416,0.0354145737262275,0,0,0.112724377831636,0,0,0,0,0,0,0,0,0.179696525864517,0,-0.0477011355814414,0,6.93889390390723e-18,0,-0.178376820705724,0,0,0,0
