,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.147722945070395,0,0.0313677479459621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746604190039314,0,0.269509903130556,0,0,0.066447990209585,-0.12784215693473,0,0,0,0,0,0.246699860636081,-0.188420828060334,0,0,0,0,0,0,0,0,0,0,-0.135483183598896,0,0,0,0,0,-0.0145085458627422
X601318.CH.EQUITY,0,0,0,0,0,0.150293271420596,0,0,0,0,0.0850281771025536,0,0.00165126733766193,0,0,0,0,0,0,0.261555869123979,0,0,0,0,0,0,0,0,0.0987213472553526,0.0449944244848337,0,0,0,0,0,0,0,0.240380264497064,0,0,0,0,0,0,0,0,0.016896021590065,0.00970586564308595,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.856938001479389,0,0,0,0,0,0,0,0,0,0.0475214644241131,0,0,0,0,0,0,0,0.0238223557389194,0.00720754581503358,0.0502453957410101,0,0,0,0,0.0736159411199832,0,-0.0975629020346014,0,0,0,0,0,0,0.0251105346175245,0,0,0,0.0593994170385615,0,-0.0495703944414737,0,0,0,0,0.0274167131489158,0,0,-0.0390447544986072
X601288.CH.EQUITY,0.0234365007866297,0,0.866009375439417,0,0,0,-0.0722925453892054,0,0,0,0,0,0.022752391705572,0,0,0.064052767232302,0,0.131240672583448,0,0,0,0,0,0,0,0.0387873997313423,-0.0391490349069475,0,0,0,0.00940067841159301,0,0,-0.0288303086981094,0,0,0,0,-0.124998745903832,0,0,0,0,0,0,0,0,-0.0260920126611873,0,0,-0.0276984263656113,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.0170203030937463,0,0,0.000603110699963476,0,0,0,1.18310435290589,0,0,0,0,0,-0.24257710806718,-0.20527187130259,0,0,0,0,0.0443051550369901,0,0,0,-0.132848383987763,0,0,0,-0.0424558675145971,0,0,0,0,0,0,0,0,0,0.0143396914783978,0.0519254620434259,0,0,0,0,0.0459406044915851,0,0
X600036.CH.EQUITY,0,0,0.21621952048436,0.204136771327924,0,0,0,0,0.110999008354574,0,0,0,0.00388525866718165,0,0,0,0,0,0,0.0164470623812792,0,0,0,0,0,0.00939848835091766,0,0,0,0,0,0,0,0.346858553119351,0,0,0,0,0,0,0,-0.00291361554272974,0,0,0,0,0.111583392196971,0,0,0,0.0585677389343214,0.0387992076435855
X601628.CH.EQUITY,-0.0419942228799157,0,1.73472347597681e-18,0,0,0,0,0,0,-0.00735196364001849,0.0209074583546182,0.658350046995465,0,0,0,0,0,0,0,0,0,0,0.0766311309364755,0,0,0,0,0,0,0.127604791435447,-0.0790400232108884,0,0,0,-0.0833483180126096,0,0,0.31308154480827,0,0,0,0.286134822592087,0,0,-0.161555706370219,0,0,0,0,0,0.0878377182574366,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.186600355761879,0,0,0,0,0,0,0,0,0,0,0,0.152848228102631,0.0707489312153667,0,-0.144560551933799,0,0,0,0,0,0.0262438428514438,0.153418600748911,0,0.182138671564866,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.438644931590586,0,0,0,0.0876828981239781,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.109695599571365,0,0,0,0,-0.0285612390428582,0,0,0,0.26249672777335,0,0,0,0,0,0.236606709257436,0,0,0.239773153878694,0.146368447473374,0.0180366779870841,0,0,0,0,0.045683089061691,0,0,0,0,0,0,0,0,0,-0.0295290803489539,0,0.165958855111974,0,0,0,0,0,0,0.189162112560119,0.174814581703395
X601658.CH.Equity,0,0,0,0.233515511506864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219853023124603,0.0742447970911383,0,-0.145541982721274,0,0,0,0,0,-0.129689068070395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403378526664847,0,0,0.0563312944405781,-5.42101086242752e-20,0,0,0,0,0
