,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.171121711067156,0,0.187751358709955,0,0,0,0,0.22014602558626,0.0141514602219435,1.38777878078145e-17,0,0,0,0,0,0,-0.0229077022325823,0.300081631102985,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616268103777191,0,0,0,0,0
X601939.CH.EQUITY,0.48508257654589,0,0,0,0,0,-0.048950576266351,0,0,0.0162533593059002,0.192039504408492,0,0.229685506494446,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150519004362708,0,0
X601318.CH.EQUITY,0,0,0,0.0321213818926957,0,0,0,0,0,0,0,0.200559640592704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129679713648815,0,0.129161941660656,0,0.126923969560266,0.207894405275204,0,0,0,0,0
X601288.CH.EQUITY,0.385349524857875,0.108957384589621,0.0844774763125516,0,0.130267563092364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554350637718084,0.0290377086648077,0,0,0,0,0,0,0,0,0.0912520246959345,0,0.0219455794246734,0.00619783933117891,0,0,0,0,0,0,0,0.0493761604323329,0.00193567613311052,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.307378373284646,0,0,0,0,0,0,0.295794296969111,0.239044848902424,0,0.048179656130089,0.0668119887865234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208210092201556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281380515183479,0
X600036.CH.EQUITY,0,0,0.0211413813980339,0,0,0,3.46944695195361e-18,0,0,0,0,0.409110836577631,0,0,0,0,0,0,0,0,0,0,0.0525329051901814,0.121981815693567,0,0,0,0,0,0,0,0,0,0,0,0.0842579929057074,0,0,0,0.0583539278655333,0,0,0,0,0,0,0,0,0,0.261039941330605,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0877600594556086,0,0,0,0,0,0,0,0,0,0,0,0.162497098862323,0,0,0,0,0.108839215231967,0,0,0,0,0,0.108000164957437,0,0,0.0772373275500631,0,0,0.221767790917182,0,0,0,0,0,0,0,0,0.00909374701867537,0,0,0,0.17600856883933,0,0,0,0
X5.HK.EQUITY,0,-0.153686925778753,0,-0.15048493589645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24089865460063,3.46944695195361e-18,-0.785153891604781,0,0.471682267694016,-0.0415604660207081,0,0,0,0,0,0,0,0,0,0,0,0,0.424446162577072,0,0,0,0,0,0,0,0,0,0.109238126703701,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0853149289526916,0,0,0,0,0,0,0,-3.46944695195361e-18,0.250385918608451,6.93889390390723e-18,0,0,0,0.348015287026387,0,0,0.0649049708316603,0,0,0,0,0,0,0,0.00769500825442026,0,0,0,0,0,0,0.0144692020444848,0,0,0,0,0,0,0.0723418985741991,0
X601658.CH.Equity,0,0,0,0.271180833013306,0,0,0,0.0912713039389327,0,0,0,0,0,0,-0.23043134120735,0,0,0,0,0,0,0,0,0,0,0,-0.120785220327154,0,0.896206252194181,-0.0867552919764983,0,0,-0.153380025458743,0,0,0,0,0,0,0,-0.14860498929497,0,0,0,0,0.781986690543251,0,0,0,-0.15642331410243,0,0.215617006191884
