,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.30587546947313,0,0.161676564776602,0.0280632926728524,0,0,-0.0614689412973006,0,0,0,0,0,0,0,0.023610776825065,0,0,-0.0458926400195088,0,0,0,1.73472347597681e-18,0,0,0,0.0188515325865957,0,0,0.0671411982015514,0,0,0,0,0,0,0,0,0,0,0,0.00133684568856735,0.32010034834472,-0.0266663544949954,0,0,0,0,-0.0433237652281817,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.00707046807627897,0,0,0,0.0642339368363463,0,0.103665789428163,0,0,0.000426496639402234,0.22037200366085,0,0,0,0,0,0,0,0,0,0,0.0416787990883033,0,0,0,0,0.32056572760843,0,0.0546087774624373,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117578705061593
X601939.CH.EQUITY,0,0,0,0.783207389675408,0,0,0,0,0,0,0.103114532676802,0,0,0,0,0.112943212851309,0,0,0,0,0,0,0,0,0.00968902070759482,0,0,0,0.0703481748373963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588393629620221
X601288.CH.EQUITY,0.188179678478212,0,0.862994255273814,0,0,0,0,-0.0587461603835794,0,0,0,0,0,0,0,0,0.0143489924955851,0,0,0,0.0227922269462806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289869562506004,0,0,0,0,0.0141288246637099,0.00566025675247059,0,-0.131579673351912,0,0,0.0161376165731727,0,0,0,0,-0.0431563546910018,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.219955746934734,0,0,0,0,0,0,0,0,0.277606816543959,0,0,0,0,0,0,0,0,0,-0.012093876190904,0,0,0,0,0,0.124168767033224,0,0,0,0,0,0,0,0,0,0,0.150875472000379,0,0.345158769536615,0,0,0,0
X600036.CH.EQUITY,0.258191657407505,0,0.14876508239242,0.0999314915161858,0,0,0,0,0,-0.0291652308514772,0,0,0,0,0,0.229494801124421,0,0.0215236503106597,0.0178470051323199,0,0,0,0,0,0,0,0,0.220308242373715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594191749239334,0,0,0.0258151639336742,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0877423604017512,0,0,0.162389090286132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00839662234857763,0,0,0,0,0,0,0,0,0,-0.00810141033834125,0,0,0,-0.137526043459423,-0.00638187991773558,0,0.897333391455401,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.117722670850601,0,0,0,0,0,0,0,0,0,0,0,0.29485971081161,0,0,0,0,0,0.0693694334925939,0,-0.105067964844982,0.0321215790125095,0,0,0,0,0,0.123215273290005,0.0517227072183528,0,0,0,0,0,0.207829214398358,0,0,0,0,0,0,0,-0.0927544790547621
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.254637912713706,0,0,0,0,0,-0.106469487335421,0,0,0,0,0,0,0.314753848006305,0,0,0.0645909330423932,0.114145508948115,0,0,0,0,-0.107853531819287,0,0,0.0728219326270447,0,0,0.115859513034111,0,0,0.302418193135649,0.168511045412178,0,0,3.46944695195361e-18,0.0601654046591468,0,0,0
X388.HK.EQUITY,0,0.163530526934372,0,0,0.295444579006398,0,0,0.0318635357874657,0,0,0,0,0,0,0,0,0,0,0,0,0.0562257576455152,0.14225339602748,0,0,0.046483510608198,0,0,0,0,0,0,0,0,0,0,0,0,0.139025312552319,0.0432310211061204,0,0,0,-0.273749037210055,0,0,0.228365843268683,0,0.00279535625866373,0,0,0,0
X601658.CH.Equity,0,0.0542930111046456,0.0841888144772284,0.19227561941142,0,0,0,0,0,0,0,0,0,0,0,0.115968149523438,0,0.0124543933218859,0,0.00389164107298247,0,0,0,0,0,0,0.0613030497153645,0,0,0,0,0.183632050090829,0,0,0,0,0.0316204707482825,0,0,0.0700668302149565,-0.0255290719272843,0,0,0,0,0,0.00938935855173367,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.022571932612155,0,0,0,0,0.0458198634189696,0,0,0,0.436955312664469,0,0,0.00567696881389833,0,0,0.0719415883101016,0,0,0,0,0,0,0,0,0,0,0,0,0.063642336261364,0,0,0,0,0,0.242164108909584,0,0,-0.019699083035872,0,0,0,0,0,0.230814996939527,0,0,0,0
