,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.114872512945952,0,0.400633119549758,0,0,0.0165541581572764,0,0.219331936500458,0.0119274056381352,0,0.143898156502942,0,0,0,0,0,0.0747974665492882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064094491364568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.351759304141141,0,0,0.030472215207353,-1.38777878078145e-17,0,0,-0.0525186761801649,0,0.0236425922704062,0,0,0.550139941665958,0,0,0,0,0,0,0,0,0,0,0,-0.0342488097809558,0,0,-0.014572398590715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323609770384559,0,-0.0755653655798554
X601318.CH.EQUITY,0,0,0,0,0.0324388065721539,0,0,0,0,0,0,0.371883879549605,0,0,0,0,0,0,0,0,0,0.0384685223737831,0,0,0,0,0.000549811522243127,0,0,0,0,0,0,0,0.062347392314614,0,0,0,0.0538207930958597,0.153518852648204,0,0,0,0,0,0.128541084738964,0.0542187151152333,0,0,0,0,0
X601288.CH.EQUITY,0.390673020818155,0.00421772466035694,0,0,0.3470684392524,0,0,0,0,0,0.100358045581143,0,0,0,0,0.0584341680410414,0,0.0620475255156504,0,0,0,0,0,0,0,0,0,0,0,0.0136269015744178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0378491197320194
X601988.CH.EQUITY,0,0.0473819377223325,0,0.321949181570397,0,0,0,0,0,0,0.202933337987902,0.0737562891796734,0,0.100787020916743,0,0,0,0.165604379110898,0,0,0,0,0,3.46944695195361e-18,-0.0259924514629076,0,0,0.0465980258575572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789060562406243,0,0,0,6.93889390390723e-18,0,0,0.0181081867546404,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.11579732843502,0,0,0,0.046175787055418,0,0.146999833762642,0,0,0,0,0.523318550768122,0,0,0,0,-0.333733019955628,0.411493810044698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351145590360216,0,0,0,0,0,0,0,0,-0.161523923253278,0.0951085396981179,0
X600036.CH.EQUITY,0,0,0.0293125464480021,0,0,0.0196766903516543,0,0,0,0,0,0.4487768343876,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0303751558927506,0,0,0,0,0.116587397987178,0,0,0,0,0,0,0,0,0.0899690971090975,0,0.0146921575951583,0,0,0.05011594565573,0,0,0,0,0,0,0,0.240429801668315,-0.0157511129080761,0.0143912469351571
X1299.HK.EQUITY,0.0521840840891643,0,0,0,0,0,0.0563936764622702,0,0.0128481975738395,0,0,0,0,0,0.242279447296813,0.178702006590325,0,0,0,0,0.173626602721267,0,0.075950365584664,0,0,0.127558718508922,0,0,0,0,0,0,0,0,0.064034287307892,0,0,0,0,0,0.0429350870729549,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0684939372187121,0,0,0,0,0,0.104593549224136,0,0,0,0.201124332788944,0,0.355144425914894,0,0,0,0,0.0653782016308964,0,0,0,0,0,0,0.0183720538666255,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0410942804836243,0
X601658.CH.Equity,0,0,0,0.225826772379016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342466785329055,0.619590891362763,0,0,0,0,0,0,0,0,0,0,0,-0.0185203067554593,0,0,0,0,0,0.215822639304903,0,-0.562144666406271,0,0,0
