,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.531994913871022,0.054265049592621,0.0478708966234825,0.0366638505377219,0.0781964614438718,0,0,0,0,0,0,0.0372120418298878,0,0,0,0.000975361966238528,0.0719310560192676,0,0,0,0,0,0.0648911438029728,0,0,0,0,0,0,0,0,0,0,0,0,0.00168487725891202,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0.0836612871915759,0,0,0.0600035450242928,0,0,0,0,0,0,0,0.229952850821648,0,0,0,0,0,0,0.0930813286257414,0,0.030632861821287,0,0,0,0,0,0,0,0,0,0.156517322861871,0,0,0.281909577842062,0,0,0,0.0125716770105174,0,0.0149652630242335,0,0,0,0,0
X601939.CH.EQUITY,0.467800463140572,0,0,0.1837971711301,0,0.11018538181645,1.0842021724855e-19,0,0,0.0170092548924582,0.133465376196669,0,0,0,0,0,0,0,0,0,0,0,0.000810486647275326,0,0,0,0.00121272823811541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441063045529046,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0646764220615636,0,0.421349409343547,0,0,0.0494692230152522,0,-0.0917026454169002,0,0.0533597890006219,0,0,0,0,0,0,0,0.254049515511348,0,0,0.0705617341898635,0,0,0,0,0,0,0,0.0495326849408342,0.0389782597712223,0.00204221815419923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103468562275039
X5.HK.EQUITY,0,0,0,0,0,0.314943154045632,0,0,-0.129742044823565,0,0,0,0,0,0,0,0.729477231483606,-0.142127205058923,-0.0597382763777319,0,0,0,0.213103696343585,-0.0497047883488298,0,0.235750320548566,0,0,0,0,0,0,0,0,-0.018336515870107,0,0.058927383733389,0,0,0,0,0,0,0,0,-0.629454934416235,0,0,0,0.126289155256614,0
X601988.CH.EQUITY,0.093552788116401,0,0.167423414433421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058068399169288,0,0,0,0.34326142529918,0,0.0784991545834785,0,0,0,0,0,0,0,0,0,0,0,0.0148436755339633,0,0,0,0,0,0.219416258327584,0,0,0,0,0,0,0,0.0510742818777761,0
X600036.CH.EQUITY,0.0460342343065045,0.171054965411158,0,0,0,0,0,0,0.0422481501537126,0,0.0684260926914087,0,0.222586606889675,0,0,0,-0.0490412494381914,0,0.0731772856575862,0,0,0,0,0,0.310966523155865,0,0,0,0,0.126190568676897,0,0,0,0,-0.0296964167604094,0,0,0,0,0,0,0,0,0.00653851407049546,0,0,0,0,-0.0423824896654133,0,-0.0268199544371366
X1299.HK.EQUITY,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.102826135454072,0,-0.0641887038914982,0,0,0,0.24453128720622,0,-6.93889390390723e-18,0.0835082927861235,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.321010076318701,0,0,0
X601628.CH.EQUITY,0,0.0305590937093237,0,0,0,0,0,0,0,0,0.0543744693952939,0,0.0878105515726678,0,0,0.0116094839393762,0,0,0,0,0,0,0,0,0.0454246108250981,0,0.107123146902967,0,0,0,0,0.237576621584376,0,0,0,0,0,0,0,0,0.0800220136647429,0.195044705492722,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.067904944486335,0,0,0,0,0.0898705138014626,0.0089256653958763,0,0,0,0,0.0928879603025981,0,0,0.0124104071747948,0,0,0,0,0.167113721987915,0.0251793233238219,0,0,0,0,0,0,0,0,0.0688445085765348,0,0,0,0,0,0.000485760074678075,0,0,0.190279815830553,0.238193504794176,0,0,0,0,0,0,0,0,0,0
