,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.00242955019476454,0,0.22328674505041,1.73472347597681e-18,0,0.110584001950335,0,0.243619097933361,0,0,0,0,0,0.127865881043744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10389877447579,0,0,0,0,0,0,0,0,0,0,0,0,0.0479435578536769,-3.46944695195361e-18,0,0.0771565883029227,0,0
X601318.CH.EQUITY,0.14488887758028,0,0,0,0,0,0,0,0.312096828196625,0,0,0,0,0,0,0,0.338207775354162,0,0.0232245832261007,0,0,0.0171991544391817,0,0,0,0.10597714718413,0,0.0222151895951745,0,0,-0.12334370665208,0,0,0.112874505370425,0.0811417009237243,0,0,0,0,-0.0286734365506738,0.0262884659358548,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.285144601421987,0,0.075465162487572,0,0,0,0,0,0,0,0.423870310855374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562249497261411,0,0,0,0.0735039480476328,0,0,0.00953439401985089,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.33343285285944,0,0.0166396032366431,0,0,0.502893082960582,0,0,0,0,0.0138403636830462,0,0,0,0.0434319426236484,0,0,0,0,0,0,-0.0200722064429754,0,0,0,0,0,-0.0139843676855072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104135690680189,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0953726595216992,0,0,0,0,0,0.0129799271031796,0,0,0,0.402059891060754,0,0,0,0,0.0678905407386011,0.158755549294779,0,0,0.353778628961604,0,0,0,0,0,0,0,0.0171922994845203,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.398470702092173,0,0.00832724919991933,-8.67361737988404e-19,0,0,0,0,0,0,0.0633548242827999,0,0,0,0,0,0,0,0.0390635640918988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152124871163783,0.0102471463168592,0,0,0,0,0,0,0,0,0,0,0.291964903403765,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.220907305310493,0,0,0.264248185852137,-1.38777878078145e-17,0.0676689857404952,0,0,0,0.175109739047409,0,0,0,0,0,0,0,0,0,0,0.00919026287262121,0,0.114961088532274,0,0.0745135257381586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.060191707250523,0,0,0,0.470734187621416,0,0,0,0.124968243367313,0.106208116023973,0,0,0,0,0,0,0,0,0.268544636530624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.265984877246979,0.0413144925196225,0,0,0,0,0,0,0,0,0,0,0,0.0498986056935187,0,0,0,0,0,0.0927136489050136,0,0,0,0,0,0,0,0,0.0802817383544837,0.272937929842222,0,0,0,0,0.0554059124387297,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.310745792964182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285360485443738,0,0,0,0,0,0,0,0.312870138011857,6.93889390390723e-18,0,0,0,-0.81347835979845,0.506239592216392,0,0.366401697633913,0,0,0.391980042758733,-0.599465638282315,0,0,0,-0.445468093113324
