,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.315521796537127,0,0,0.0836056783325949,0,0,0,0,0,0,0,0,0.0291198343271709,0,0,0,0,-0.08230112833428,0,0,0,0,0,0,0,0,0,-0.0238300731502872,0,0,0,0.16306887679354,0,0,0,0.00347220726090678,0,0,0,0,0,0,0,0,0,0.259367524396644,0,-0.0567747846984825,0
X601318.CH.EQUITY,0,0,0,0,0,0.176819928663928,0.0104786797379493,0.0166072421622645,0.0996133352605997,0,0.0879532117171679,0,0.0443090576177643,0,0,0,0,0,0.0702071265873388,0.401599847857253,0,0,0,0,0,0,0,0,0,0,0,0.120676500479631,0,0,0,0,0,0.0155704992228151,0,0,0,0,0,0,0.0717757234868377,0,0,0.0640162327479667,0,0,0,-0.128819237576405
X601939.CH.EQUITY,0,0.0972462834945882,0,0.190075192114668,0,0,0,0,0,-0.0116145189190381,0,0,0,0,0,0,0,0,0,0,0.0347979886707918,0.830429114142802,0.0404156411948577,-0.249904241924021,-0.188032664746803,0,0.00467042895482591,0,0,0,0,0.0401727384184964,-0.0155193573674661,0,0,-0.0216921789558338,0,0,-0.0528924972707858,0,-0.0806303412503107,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0850646532957378
X601288.CH.EQUITY,0.115440549125129,0,0.074000953963461,0,0.0860429798700507,0,0.421787348850569,0,0,0,0,0,0,0,0,0.0486149172027298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192523766834898,0,0,0,0,0,0.10881291802827,0
X601628.CH.EQUITY,0.15822757954181,0,0,0,0,0.0303936565896102,0,0,0,0,0,0,0,0,0,0,0,0.133746151525038,0,0,0,0,0.0438409308762146,0.308963284109486,-0.0725673803987329,0,0,0.00774825343392515,0.0859374820139943,0,0,0,0.320462242858029,0,0.124277586908715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163614161242686
X600036.CH.EQUITY,0,0.179246824985486,0,0,0.10465030739336,0,0.0781728151731816,0.0430697643545067,0,0,0,0,0.242416722013878,0,0,0,0,0,0,0,0,0,0,0,0,0.298840333946804,0,0,0,0,0.111595117474693,0,0,0,0,0,0,0,0.0913957472470252,0,0,0,0,0.0161001100930884,0,0,0.0489503023723864,-0.0520881253858725,0,0,0,0
X601988.CH.EQUITY,0.0673738268629252,0.103531814727613,0.0769195096716656,0.0286232581352266,0,0.447803612534359,0,0,0,0,0,0,0,0,0,0.152793448220145,0,0,0,0,0.0352624542505981,0,0,0,0,0,0,-0.0325043848797481,0,0,0,0,-0.182672558825134,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0881236309679701
X1299.HK.EQUITY,0,0,0,0,0,0.0258169651388564,0,0,0,0.317087116272172,0,0,0,0,0,0,0.0801884921800974,0,0,0,-0.0141640022049379,0,0,0,0,0,0.128376293690911,0.0403129554601909,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0421433546977768,0,0,0.128220933791064,0,0.117870393825293,-0.0794739408639699,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358911338118562,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.574870119304405,0,0.0761159565202826,0,0.0853084905494087,0,0.0855205043383915,0,0,0,0,0,0,0,0,0,0.2300974322948,0.0693076769630691,-0.0811172027695792,0,0,0,0.178104284689653,0.180296549848596,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.165295926851626,0,0,0,0,0,0,0,0,-0.011802158374065,0,0,0,0,0,0,0.155378837142766,0,-0.0836436863120015,0,0,0,0,0.130897947376342,0,0.132631746075584,0,0,0,0,0.220482655502368,0,0,0,0,0,-0.305854415186208,-0.036602278997914,0,0.0913843487419917,0.0719955807391839,0,0.548640493019862,0.181654194730235,0
