,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0350977479804104,0,0.630666862765701,0,0.0726564390641304,0,0,-0.055403543674152,0,0,0,0,0,0,0,0,0.0880255188731303,0,0,0,0,0,0,0,0,0,0,0.0483694131012086,-0.0477282854003339,0,0,0,0,0,0,0,3.3881317890172e-21,0,0,0,-0.0140555076303565,0,0,0,0,0,0.173093719418154,0,-2.16840434497101e-19,0
X601318.CH.EQUITY,0,0,0,0,0,0.00735921672691142,0,0,0.0208674803901149,0,0,0,0,0.160760790521398,0,0,0,0,0,0.457462980907268,0,0,0,0,0,0,0,0,0,0,0,0.0515432074160213,0,0,0,0,0,0.0611098430495281,0,0,0,0,0,0,0.130213284312842,0,0,0,0.00567528893607476,0,0,-0.157434590316177
X601939.CH.EQUITY,0,0,0,0,0.519987245359144,0,0,0,0,0,0.204728492997045,0,-0.0710349874024641,0,0,0,0,0,0,0,0.0244973598993696,0,0,0,0.449670199867675,0,0,0,0,0,0.0197076232169169,0,0,0,0,0,0,0,0,-0.177565604320032,0,0,0,-0.0529141565374645,0,0,0,0,0,0,0,0.0595975363575463
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0385798237185808,0,0,0.231412841226051,0,0,0,0,0.153664004626802,0,0,0,0.206548184750348,0,0,0,0,0,0,0,0,0,0.0220612668687507,0,0,0,0.204659121403521,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0.0890773968756635,0,0.105784870885638,0,0,0
X601288.CH.EQUITY,0.0526236100142623,0,0.106289644819515,0,0,0,0.233423442691257,0,0,0.0489750101257299,0,0,0,0.0596575951068793,0,0,0.0845426897146948,0,0,0,0,0,0,0,0.178489853793536,0,0,0,0,0,0,0,0,0,0,0,0.25285690549458,-0.00101026617199353,0,0,0,0,-0.0835277806512537,0,0,0,0,0,0,-0.0542773051263924,0,0
X600036.CH.EQUITY,0.0111567602604773,0.243255473993252,0,0,0.0804286653258228,0,0,0.128911930923939,0,0,0,0,0,0.280415233398189,0,0,0,0,0.116918261939724,0,0,0,0,0,0,0.254451778168043,0,0.0659477882345942,0,0.0166320704225572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023662426096671,0,0,-0.0231787737883475,0,0
X601988.CH.EQUITY,0,0,0,0,0.260351855316965,0.306922763905575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205525788573318,0,0,-0.0303289861582764,0,0.115529157204636,0,0,0,0,0,0.208865492745426,-0.0547113453763653,0,0,0,0,0,0,0,0,0,-0.0287076817072925,0,0.112781844020095,0,0,0,0,0,0,0.0783422151183356
X1299.HK.EQUITY,0,0,-0.0130234208955929,0,-0.111377835684802,0,0,0,0,0.318025495839868,0,0,0,0,0.0207020694926992,0,0,0,0,0,-0.0724714848933506,0,0,0.105652434605185,0,0,0.328101018486413,0.0742732185975349,0,0,0,0,0,0,0,0,0.0693775063598317,0,0,0,0,0.0709384116069695,0.0773793942828782,0.136041611123382,0,0,0,0,0,0,0,-0.144287271164729
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.17881062390499,0,0,0,0,0,-0.159634533249227,0,0,0,0,0.205590966039756,0,0,0,0.069265638351027,0,0,0.399889702646925,0.0599723209134959,-0.0492568519821071,0,0,0,-0.0386958041305928,0,0,0,0,0,0,0.215333095929155,0.181156693247252,0,0,0,0,0,0.125339432167607,0,0
X388.HK.EQUITY,0,0.0922016416169927,0,0.122408174170064,0,0,0,0.0472642787443211,0,0,0,0,0.010464723589931,0,0,0,0,0,0,0,0.068330094519238,0.135215867891809,0,0.0617628649871194,0,0,0,0,0,0,0.150859807640116,0,0,0,0,0,0.144157179584633,0.092911283286314,0,0,-0.244539539048224,0,0,0.0279745166705526,0,0,0.281664561392424,0,0,0,0,0
