,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.564481248819068,0.0483261051848204,0.0304760944586668,0,0.0660799611877696,0,0,0,0,0,0,0.0467719817344916,0,0,0,0.0179023924017643,0.0615022903597469,0,0,0,0,0,0.0680728932906833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0855347075783434,0,0,0.0574258745268191,0,0,0,0,0,0,0,0.215261535777989,0.0415579263656033,0,0,0,0,0,0,0,0.0938636830415162,0,0,0,0,0,0,0,0,0,0.120524843606442,0,0,0.297964707751152,0,0,0,0.031116826033159,0,0.0325703026662872,0,0,0,0,0
X601939.CH.EQUITY,0.337744970353275,0,0,0.144981768986272,0,0.190229313368879,0.000592002780202131,0,0,0.049094831195712,0.0950133317309752,0,0,0,0,0,0,0,0,0,0,0,0,0.00145993413259544,0,0,0,0,0,0,0,0,0,0,0,0,0.0619882603567724,0,0,0,0.0116640230449985,0,0,0,0,0,0,0,0,8.470329472543e-22,0
X601288.CH.EQUITY,0.0370739032600853,0,0.422126591514285,0,0,0.0526031325629595,0,-0.0830056964322756,0,0.0828143228061157,0,0,0,0,0,0,0,0.25671355880524,0.0102551839986824,0,0.0451483661142709,0,0,0,0,0,0,0,0.0506981699146958,0.0355604798226043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0907588489815263
X5.HK.EQUITY,0,0,0,0,0,0.333356733441256,0,0,-0.0936782132193987,0,0,0,0,0,0,0,0.691843396262283,-0.15427127537378,-0.0553572551237149,0,0,0,-0.0656713717753059,0.228841478226337,0,0.266057782528654,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00350826968564736,-0.650064525955868,0,0,0,0.169753128934382,0
X601988.CH.EQUITY,0.0932134809734137,0,0.167011501003873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580540021284382,0,0,0,0.343648893001824,0.0784072680637011,0,0,0,0,0,0,0,0,0,0,0,0,0.0148572836693348,0,0,0,0,0,0.219486664332795,0,0,0,0,0,0,0,0.0596999230382946,0
X600036.CH.EQUITY,0,0.199737737578923,0,0,0,0,0,0,0.0558081700830745,0,0.073893892946381,0,0.224843878448377,0,0,0,-0.0446454320549817,0,0.0661728031996813,0,0,0,0,0,0.280619367961055,0,0.0322218480898557,0,0,0.130414160553843,0,-1.38777878078145e-17,0,-3.46944695195361e-18,-0.0293260406595485,0,0,-0.00272308222093605,0,0,0,0,0,0,0,0,0,0,-0.0369333341073426,0,-0.0324771867049164
X1299.HK.EQUITY,0,0,0,0,0,0,0.243492588748092,0,0,-0.156298056685824,0,0,0,0.0783783393348041,0,0,0.0336254576422468,0,-0.109796685635991,0,0,0,0,0.229120305728659,0,0.0697932128588518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574612131430491,0.268040581698898,0,0,0,0
X601628.CH.EQUITY,0,0.0635717588656651,0,0,0,0,0,0,0,0,0,0,0.11249550096717,0,0,0.017354554846736,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.15322434319419,0,-0.0366349929487194,0,0,0,0,0.279841250556246,0,0,0,0,-0.00728309356561473,0,0.0299377461563162,0.223568818841047,0,0,0,0,0,0,0,0,-0.0157674700069121
X601328.CH.EQUITY,0,0.107251443734544,0,0,0,0,0.0368523117723424,0.0070847543293464,0,0,0,0,0.161998605271236,0,0,0,0,0,0,0.0114345169735724,0.00899087692846885,0.0427927304810877,0,0.0346102864943833,0,0,0.0524235791381969,0,0,0,0,0.100782094594551,0,0,0,0,0.0153690185248436,-0.036524627755908,0,0.224660571585629,0.209647654820937,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.108946072705758,0.0554892356679669,0,0,0.166670262632406,0.137012005059636,0,0,0,0,0,0,0,0,0.0279110874586116,0,0,0,0,0,0.148294980364427,0,0,0.0779163484107317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106496189021098,0,0,0,0,0.0578924113719146,-0.0221914462113705
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.393979726595832,0,0,0,0,0,0,0.192185756419127,0,0.056630707524279,0,0,0,0,0,0.381130280677049,0,0,0,0.110454756051823,-0.161056290263364,-1.73472347597681e-18,0.0143157243391237,0.549475619180284,0,0.023443983408315,0,0,0,0,0.137746204955689,0,0,0,0,0,0,0,0,0,0,0,0,-0.0280425637842155
X600000.CH.EQUITY,0,0,0,0,0,0,0.157334041683042,0.0269792619588988,0,0.0760821551563742,0,0,0,0,0,0,0,0,0,0,0,0.173789916029706,0,0,0.165589876819247,0,0,0,0,0,0.0188414452111739,0,0,0.0850936184336856,0,0,0,0,0,0.104967364444164,0,0,0,0.00688428415944776,0,0,0.146855843074321,0,0,0,0
