,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.236080812002948,0,0.138060098784942,0,0.0317135075227856,0,0,0.250275405605841,0.0690811542273458,0,0.0952870538699524,0,0,0,0,0,0,0,0.0758080630652284,0,0,-0.0857464978328766,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.0634017347832025,0,0,0,0,0,0,0,0,0,0.0416247207654132,0.0264538944291408,0,0,0,0,0
X601939.CH.EQUITY,0.483666168753746,0,0,0,0,0,-0.0479755805892618,0,0,0.0165586625220999,0.192398081392778,0,0.229682596419462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001484367825843,0,0
X601318.CH.EQUITY,0,0,0,0,0.0805869534163651,0,0,0,0,0,0,0.211831663525676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.113484704146676,0,0,0.156845004583899,0,0.147433256622641,0.14110223321146,0,0,0,0,0
X601288.CH.EQUITY,0.346481280915228,0.0458902757931385,0,0,0.402160724725555,0,0,-0.0315366014517452,0,0,0.0627096561393225,0,0,0,0,0.1144791902541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210879862236496,0,0,0,0,0,0,0,0,0,0,0.0134424033505041,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0874310108461304,0,0.289779093722655,0,0,0,0,0,0,0.249454338501029,0,5.55111512312578e-17,0.100292955638684,0,0,0,0,0,0.143462665151494,0,0.0691000611637534,0,0,0,0,0,-0.00853764464821813,0,0,0.0215151682651927,0,0,-1.38777878078145e-17,0,0,0,0,0,0.0445652217928001,0,0,0,0,0,0,0,0.0532786936040685,0,0,-0.00295345565464494,0
X600036.CH.EQUITY,0,0,0.021090221690153,0,0,0,0,0,0,0,0,0.411344444837843,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.126443798391761,0.0523347399657583,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0833242399998119,0.059642864826389,0.00130541562506508,0,0,0,0,0,0,0,0,0.264347201019873,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.09852649612587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998443896358728,0,0,0,0.0419307713851373,0,0.179236969856052,0,0,0.118133768477698,0,0.208422269975309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142167065698439,0,0,0,0
X5.HK.EQUITY,0,-0.188036006624717,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.0168897789823401,0,-3.46944695195361e-18,0,0,0,-0.331263358701378,0,0.188399701815518,1.15043611286577,0,-0.775561777561385,0,-0.0146401175849532,0.461220694137187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420969383401295,0,0,0,0,0,0,0,0,0.11828040332593,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0907286854354006,0,0,0,0,0,0,0,0,0.0284472893102072,0,0,0.246279722069842,0,0.345023762991334,0,0,0.060238811597134,0,0,0,0,0,0,0,0,0,0,0,0.0125581825083746,0,0,0,0,0,0,0,0,0,0.0721548864173187,0
X601658.CH.Equity,0,0,-0.117792960064104,0.303667531388158,0,0,0,0.0989878789675582,0,0,0,0,0,0,0,-0.274347864004871,0,0,0,0,0,0,0,0,0,0,0,-0.0803998929054127,0.798844074693422,-0.083754690990246,0,0,-0.091350976505112,0,0,0,0,0,0.0534395637948278,0,0,-0.188079102550332,0,0,0,0.841540248867341,0.00424276743820397,0,0,-0.102573170906524,0,0.16666657902718
