,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,macro_return_add
X601166.CH.EQUITY,0,0,0,0.239821008963004,0,0,0,0,0,0,0,0,0,0.537744478470726,0,0,0,0,-0.0668767743824527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17188571365174,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0412374927086003,0,0,0,0,0,0.507105101128753,0,0,0.0534195024924865,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.268036451670597,0,0,0.140339747293391,0,0,0.0283369358605688,0,0,0,-0.147593771981555,0,-2.16840434497101e-19,0,0,0,-0.329795805642984,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0.149265367945091,0,0,0,0,0,0,0,-0.111539073398443,0,0,0,0.275784489121578,0,0,0,0,0,0,0.0115741074737996,0,0.110962331088015,0,0,0,0,0.0170443628052964,0,0,-0.0902869238650851,-0.07244585803993,0,0,0,0,0.386650056848617,0,0,0,0,-0.0272015199010505,0.122635202815333,0,0,0,-0.159476978580059,0,0,0
X601601.CH.EQUITY,0,0.223974529607226,0,-0.0663068892147824,0,-0.232713733783139,0.105426359648321,0,0.388560964597579,0,0,0,0,0,0,0.141592982723701,0,0.0323641939469906,0,0,0,-0.101772679096138,-2.16840434497101e-19,0,0,0.114218551908475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161647909825553,0.0632086228703042,0,0
X16.HK.EQUITY,0,0,0,0.0160092070231906,0,0,0,0.166277860305116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288734868074081,0,0,0,0.126175873698974,0,0,0.0866059916862247,0,0,0.164974867702768,0,0.0481678712003812,0,0,0,0,0,0,0.201230932398163,0,0,0,0,3.46944695195361e-18,0,0,0,0
X000002.CH.EQUITY,0,0,0,0.0357466316965811,0.0877510129510215,0,0,0,0,0,0,0,0,0.347134817886654,0,0,0,0,0,0,0,-0.134847274297363,0,0,0.0536573062306253,0,0.354542461268929,0,0,-0.330955314696917,0,0.292692877089105,0,0,0,0,0,0,0,0,0,0.177113028874954,0,0,0,0,0,0,0,0.341815340176909
X11.HK.EQUITY,0.329143483713978,0,0,0,0,0,0,0,0,0,0,0,0,0.0839308504014672,0,0,0,0,0.351299772206462,0,0,0,0,0,0,0,0,0,0,0.029255733280834,0,0.151356262497859,0,0,0,0,0.0677423906825321,-0.0643038616766261,0,0,0,0,0,0,0,0,0,0,0,-0.107190708369308
X388.HK.EQUITY,0,0,0,0,0.0299613183080067,0,0.0654470945657076,0,0,0,0,0,0,0.243051847997162,0,0,0,0,0.551761100943135,0,0,0,0.0387839076069657,0,0.0758341892744163,0.0407037468415182,0,0,0,0,0,0,0,0,0,0,0,-0.250492754043108,0,0,0.0693421273806726,0,0,0,0,0,0,6.93889390390723e-18,-0.0618051645932388,0
X2388.HK.EQUITY,-0.14565870286021,0,0,0,0,0,0.0359070060813672,0,0.0342198950849202,0,0,0,0,0.0178220775880037,0,0,0.301979357331188,0.182394739315528,0,0,0.0905435927601005,0.271507029136089,0,0,0,0,0.100714292495012,0,0,0.0935410733787847,0.101389605269584,0.163445079143957,-0.0428635408181684,0,0,0,0.119140653337821,0,0,0,-0.0740157467748694,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0.0520962683808987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020971497978778,0,0,0,0,0,0,0,0,0,0.100176599931728,0.393132928895145,0,0,0,0,0,0,0,0,0,0,0,0.404781609164488,0,0
