,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.245134060232232,0,0.253461299733702,0,0,0,0,0,0,0,0.0467527193330882,0.247380404226261,0,0,0,0,0.0614453887368321,0,0,-0.13973521427152,0,0,0,0,0,-0.0994086063793995,0,0,0,0,0,0,0,0.0180148232444001,0,0,0,0,0.0596348571427989,0,0,0,0,0,0,0,0.0885536442904026,0,0,0
X601318.CH.EQUITY,0,0,-0.0572614186420843,0,0,0.0645134046231656,0,0,0.220664382609205,0,0,0,0.132814800645743,0,0,0,0.215607029503597,0,0,0,0,0,-0.0158839849743072,0,0,0,-0.11548348665408,0,0,0,-0.148491693361093,0,0,0,0,0.222511978797307,0,0,0,0.13630878163253,0.288422631683739,0,-0.245142459636447,0.250081373926999,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.611453901294017,0,0,0,0.0243944398122385,0,0,0,0,0,0.136989169572318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350216098643115,0.00594880167548062,0,0,0,0,0.0435012278431138,0,0,0.258559465274787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.341180762002164,0,0,0,0,0.392430991236476,0,0,0,0,0.0296521918510706,0,0,0,0,0,0.0499569363552992,0.12577348742299,0,0,0,-0.0694065994694101,0,0,0,0,-0.0125315359866744,0,0,0,0,0,0,0,0,-0.0645465670418188,0,0,0,0,0,0,0.166839051945747,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.156072168763685,0.066790466988579,0.153713014406984,0,0.0980753031913497,0,-0.0926550132051153,0,0,0,0,0.178338358810426,0,0,0,0,0,0.496841006056785,0,0.0122221430063724,0,0,0,0,0,0,0,0,0,0.307551173250516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159167763633613,-0.0093559865064424,0,0.095943470347017
X601988.CH.EQUITY,0.105838895658936,0.147288498143909,0.299451222961398,0,0,0,0,0,0.103975598561745,0,0,0,0,-0.0549323988047527,0,0,0,0,0.120501026856399,0,-0.041647580095466,0,0,0,0,0,0,0,0,0,0,0,0,0.164856312895435,0.118132558402814,0,0,0,0,0,0,0,0,0.035466015817003,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.1597832235308,0,0,0.0290421741315076,0,0.135598397673854,0,0.356033478844901,0,0.0420155068270859,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0737079023515565,0,0,0.11388891289979,0,0,-0.0205514841836203,0.0741290458894098,0,0.0271292360156665,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0940859435012527,0,0.17938347580298,0,0.0331199844799504,0,0,0,0,0.05819215474967,0,0.369729987787551,0.025217524531152,0,0.0575251537510448,0,0,0.0168043945018837,0,0.162630112855714,0,0.0645710473661513,0,0,0,0.00363592239509969,0,0,0,0.021117083312625,0,0,0,0,0.00485423059633517,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.340468173260443,0.153603253896167,0,0,0,0,0,0.113248778094794,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,-0.199779405466761,0,0.115886074952247,0,0,0,0,0.0289010693722536,0,0.00758670388711263,0,0,-0.0247986004358859,0,0.116553638770636,0,-0.130699552756846,0,0,0,0,0,0.0971997831347412,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.0853064424747569,-0.532391179283521,0,0,0,0,0,-0.0654862759586198,0,0,0,0,0,0.804078175992525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.544466162080455,0,1.73472347597681e-18,0.203651932582449,0,0,0.0650366525137547,0.273100349221681,-0.0939898780250546,0,-0.0191088063549357,0
