,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.445552782665588,0,0,0.012422362513393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232418570012587,0,0,0,0,0,0,0,0,0,0,0.183689740713393,0,0.045630409853914,-0.0135062393664105
X601318.CH.EQUITY,0,0,0,0,0.10758168742018,0.0173575159564527,0,0.166723233027045,0.0280644824166067,0,0.0319445482686257,0,0,0.0525452073220271,0,0,0,0,0.101709263687767,0,0.346592257945827,0,0.0546961156780322,0,-0.0248072283070948,0,0.0425973701153026,0.161249997003382,0,0,0,0,0,0,0,0,0,0.0775776037222321,0,0,0,0,0,0.10000345450588,0,0,0,0,0.0404556212274435,0,0
X601939.CH.EQUITY,0,0,0,0.207443758780486,0,0,0,0,0,-0.0252764681149175,0.0498297985687758,0,0,0,0,0,0,0,0,0.0340312230598616,0,0.768609190192167,-0.269670573471715,0.0471850349037593,0.0588755476746644,0,0,0.101143966496434,-0.187868553076089,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0953946095666627,0,-0.0246556150828127,0,0,0,0,0,0
X601288.CH.EQUITY,0.113413845874344,0,0.0753278658874521,0,0,0.0875938066493446,0.407007359204219,0,0,0,0,0,0,0,0,0.0488500041980258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212330790193331,0,0,0,0,0,0,0.118608994003103
X600036.CH.EQUITY,0,0.180588265148609,0,0,0,0.0689130319094508,0.0920761832883099,0,0,0,0,0,0,0.208103963284765,0,0,0,0,0,0,0,0,0,0,0.0285823609913286,0.316870358492944,0,0,0,0,0,0.0880262501001948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0690598363399632,0,0,0,0,0,0,0,0,0.00476070099857706,0,0,0,0,0,0,0,0.152968925038809,0,0,0,0,0.155579828669339,0,0,-0.099788591014599,0,0,-0.0292558227758538,0,0,0,0.181508866056311,0,0.0548132002918787,0,0.563541751022333,0,0,0,-0.0762922297989791,0,0.0995731056356396,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0984164129195512,0,0,0.192942755555415,0.29474657257799,0,0,0,0,0,0,0,0,0.0142294003141674,0,0,0,0,0,0.0163749771547521,0,0,0,0,0,0,0,0.141592935100212,0.111352258770823,0,0,0.0288943748032284,0,0,0,0,0,0.126099179685554,0,0,1.0842021724855e-19,-0.19411856243384,0,0,0,0,0,0,0,0.264709442282049,0
X1299.HK.EQUITY,0,0,0,-0.0455044395499138,0,0,0,0,0,0.139295651871727,0,0,0,-0.169784235158028,0,0,0,0,0,0,0,0,0,0,0,0,0.239665644432598,0,0.0187660710131631,0,0,0,0,0,0,0,0,0,0,0.0979732013068823,0.128377555819976,0.0625055604679308,0,0.0745568263437165,0,0.0265183657028574,0.171552741573283,0,0.139059807480688,0,0
X5.HK.EQUITY,0,0.0170493732686666,0,0,0,0,0,0,0,0,0,0,0,0,0.0967176596234684,0,0,0,0,0,0,0,0.0557049019311176,0,0,0,0.122710054756436,0,0.618147329207087,0,0.0336778919117188,0.135977945021,0,0,0,0,0,0,0,0,-0.111751157897973,0.0919862912549606,0.189386961610814,0,0,0,0.106747230421389,0,0.182344473287129,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0566125264116353,0,0,0,0,0,0.00810802210602614,0,0,0,0,0,-0.160551070208719,0,0,0.446506754449053,0,0.130239050599616,0,0,0,0.247837973442852,0,0,0.181222972038731,0.197139510958351,0,0,0,0,0.230924313098992,-1.0842021724855e-19,0,0,0,0.0144327978297696,0,-0.379822567741996,0,3.46944695195361e-18,0,0,0,0.0530985680493252
