,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.534372782606512,0,0.0436985932484741,0.0373948710371215,0,0.0437956350681044,0,0,0,0,0,0,0,0.0386027112875738,0,0,0.0203352072383081,0.0690349638448346,0,0,0,0,0,0.114216072952448,0,0,0,0,0,0,0.00903037547217751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.344799828106325,0,0,0.146354608656396,0,0.187369190833969,0,0,0,0.0490183605274607,0.0958677674112127,0,0,0,0,0,0,0,0,0,0,0.00105369165619203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603602007673584,0,0,0,0.0109972626209476,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,1.38777878078145e-17,0,0,0,0,0.0792567398794577,0,0,0.0386845026513128,0,0,0,0,0,0,0,0.202450364208862,0.0288185367654904,0,0,0,0,0,0,0.057547831849947,0.0992626311507618,0,0,0,0,0,0,0,0,0,0.129089712661208,0,0,0.315120707869314,0,0,0,0.0328740022966978,0,0.0210267370195107,0,0,0,0
X601288.CH.EQUITY,0.439545562690797,0,0,0,0,0,0,0,0,0.175070088503547,0,0,0,0,0,0,0,0.127403194416841,0,0,0,0,0,0,0.0563558288508376,0.0425274879331681,0,0,0.0866090849889657,0.117693570621274,0,0,0,0,0,0,0,0,-0.0461294375013027,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.192284493859407,0,0.134439585381557,0,0,0,0,0,0,0,0,0,-0.166953407819906,0,0,0,0,0,0,0,0.295034747157093,0,0,0,0.119371207794489,-0.469562468201863,0,0,0,0,0,0.404788544257912,0,0,0,0,0,0,0,0,-0.380232760726393,0,0,0,0.304291653764653
X601988.CH.EQUITY,0,0.28978813656441,0,0,0,0,0,0,0.0256537564136558,0,0,0,0,0,0.0734368251033294,0,0,0.0485600782905704,0,0,0,0,0.460872528380732,0,0,0,0,0,0,0,0,0,0,0,0.100804199938012,0,0,0,0,0.0282683175261356,0,2.77555756156289e-17,0.0376364732207864,0,0,0,0,0,0,0.0463701075270814
X600036.CH.EQUITY,0,0,0.100415421917069,0,0,0,0,0,0,0,0.10068170494865,0,0.290792154790866,0,0,0,-0.0546057476812408,0.00587347015339842,0.0966641846173867,0,0,0,0,0,0.35249438440575,0,0,0,0,0.0365141605361123,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0347244287366002,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.165021646197011,0,0,-0.209690988627688,0,0,0,0,0.0185004574199499,0,0.0946718675444742,0,-0.0861337279624864,0,0,0.217814184141745,0,0,0.135008820261019,0.0932993283482349,0,0,0,0,0.0986909280029413,0,0,0,0.0252568261830633,0,0,0,0,0,0,0,0,0,0,0.0869495956322604,0.171548658337285,0,0,0
X601628.CH.EQUITY,0,0,0,0.00610711813604023,0,-4.33680868994202e-19,0,0,0,0,0.0250133557175428,0.0143719438962655,0.17663107839261,0,0,0.0257121689979762,0.00454607593451309,0,0,0,0,0,0,0,0,0,0.216186236553623,0,0,0,0,0,0,0,0.242297511630781,0,0,0,0,0,3.46944695195361e-18,0.153507949680925,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0457713585442504,0,0,0,0.0982752553959576,0,0,0,0,0,0.111545126511064,0,0.00519381544654548,0,0,0,0,0,0.179334719734348,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0555621567910364,0,0,0,0,0.0260267312707739,0,0,0.192554482745959,0.251782339624252,0,0,0,0,0,0,0,0,0
