,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,macro_return_add
X601601.CH.EQUITY,0,0,0,0,-0.0717883800247166,-0.151590924260028,0.0386100827627107,0,0.642188424276525,0,0,0,0.0154255887508561,0,0,0,0.056421860965532,0,0,0,0.0479511159724007,0,0,-0.0530468912741243,0,0,0,0.14069800093535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626165482096533,0,0,0,0,0.0284018105408434,0,0,0
X000002.CH.EQUITY,0,0,0,0,-0.0412005505935337,-0.0790343473158738,0,0,0,0,0,0,-0.100258277882175,0.283763061272085,0,0,0.0577517045300299,-0.0768069011138737,0.272018533750452,0,0,0,0,0,0,0,0,0.255661420973974,0,0,0.234009984804961,0,0,0.463996107385021,0,-0.0783490895567256,0,0,0,0,0,0.073823379970225,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0.17417659212169,0,0,0.0612444342797747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243279925644274,0,0,0,0,0,0,0.191015057159647,0.359170269486735,1.38777878078145e-17,0,0,0,0,0,0.136620846295836,0,0.12148655276981,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,-6.93889390390723e-18,0,0,0.0342645650379944,0,0,0,0,0,-0.00374400858505778,0,0,0,0,-0.154829089376398,0,0,0,0,0,0,0.247459132338774,0,0,0.00629836608354911,0.0373532112095566,0.254319606283374,0,0.279460851549132,0,0,-0.0665316458790115,0,0,0,0.436322672055506,0,0.0564851177465144,0,0,0,0.0391675995044503,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.443789221939834,0,0,0,0,-0.0946388640161785,0,0,0,0.0344729525639959,0,0,0,0,0.115505311324433,0,0.0580927878423424,0,0.098879658491089,0.171928992389301,0,0,0,0,0.0894197230955496,-0.00759468738787881,0,0,0,0,0,0.0746524616427566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0.145767789106687,0,0,0,0.122072864173105,0,0,0.0833824023779653,0,0,0,0,0,0.0619702348216124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18151939398947,0,0,0,0,0,0,0,0.0124077023024627,0,0,0.0385514402239196,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.115996337495264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139579346218856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495990722583997,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.108488729893505,0.168167773166645,0,-0.169440442063242,0,0.134764025534804,0.0774936228068028,0,0,0,0,0.0349348566979682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156820264497353,0,0,0,0,0,0,0.188310656890331,0,0,0,0,0.333626020974756,0
X2388.HK.EQUITY,0,0.152636207115272,0,-0.0735126876036617,0.578796995720871,-0.373573444085908,0,0,0,0,0,0,0,0,0,0,0.0132973109116825,0.233196307656652,0,0,0,0,0.347530230116114,0,0,0,0,0.023321239309598,0,-0.300615742644564,-6.93889390390723e-18,0,0,-0.164621730309486,0,0,0,0,0,0,0,-0.152699767334751,0,0,0,-0.0562223648476217,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143114731539524,0,0,0,0.0372834420892114,0,0.206917822883666,0,0,0,0,0.0568898513625944,0,0,0.222678314450657,0,0,0,0,0,0,0.152501014855539,0,0,0,0,0,-0.164413119622605,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0.0442342629409369,0,0,0,0,0,0.0396477100886963,0,0,0,0.0345838537427507,0,0,0,0,0,0,0,-0.153413738079677,0,0,0.259028827585628,0,0,0.0667701287391582,0,0,0.0904135747365436,0.0816784069675407,0,0,0,0,0,0,0,0,0,-0.211326966491486,0,0.0793584531899628,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0.0309306548278726,0,0,0,0,0,0,0,0,0,0,0,0.0330740555470485,0,0,0,0,0.0113677271378642,0.0748229364547717,0,0,0,0,0.0482502569464024,0,0,0,0,0,0,0,0,0,0,0.0822663824730766,0,0,0.480498556174851,0,0,0,0,0,0,0,0,0,0.410761556770863,0,0
X1109.HK.EQUITY,0,0,0,0,0,-0.0649647746138277,0,0,0,0,0.0273282950296975,0,0,0,0.0772282360333935,0,0,0,0,0,0,0,0.296439918641449,0,0,0,0,0.0150213086261174,0,-0.0266365440068561,0,0,0,0.214983393119169,0,0,0,0,0,0,0,-0.0100287908551958,0,0,0,0.294839847486691,0,0,0,-0.171448617879647
X601818.CH.EQUITY,0,0,0,0.462757397017363,0,0,0.000147008896003345,0,0,0,0,0,0,0,0,0,0.0808408451445486,0,0,0,0,0,0,0,0,0.215986006363973,0,0,0.0941424671072373,-0.212390062421131,0,0,0,0,0,0,0,0.354676729173556,0,0,0.0769797599464657,0,0,0,0,0,0,-0.167329190885688,0,0
X2007.HK.EQUITY,0,0,0,-0.0820727756821938,0,0,0,0,0,0,0.00432894847504816,0,0.147542057767757,0,0.00187105353880674,0,0,0,0,0,0,0.0816060112383966,0,0.0139951439603877,0,0.181818149925346,0,0,0.259428459422064,0,0.284785326194971,0,0,0.0580371598479922,0,0,0,0,0,0,0,-0.0829091942945503,0,0,0.0281834360531973,0,0,0,0,0
X1113.HK.EQUITY,0,0,0.0168599425839599,0,0,0,0,0,0,0,0.00457121705603665,0,0,0,0,0.215891321946235,0.188366947234884,0,0,0,0,0,0.166460624056306,0,0,0.294053436068649,0,0,0,0.049316208564355,0.113461111663171,-0.0152239244308369,0,0.121593686284242,0,0,0.0222864091183623,0,0,0.0681579146971966,0,-0.135721782213894,0,0,0,0,0.0223554845580353,0,-0.0513758541715056,0
X823.HK.EQUITY,-0.0486742292959121,0,0,0.101988058365337,0,-0.0349098052672016,0,0,0,0,0,-0.148155378616136,0,0,0,0.218939456221967,0,0,0,0,0,0.226128052035627,0,0,0,0,0,0,0.0999975034344949,0,0,0,0.146713088544366,0,0,0,0,0,-0.230101048087195,0.236105157802874,0,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.10376835022362,0,0,0,0,0,0.0924386749993784,0,-0.0517744788254177,0.143017493222747,0,0.285279317074392,-0.0557595847346146,0,0,0,0,0,0,0.215219462675203,0,0,0,0,0,0,0,0,0,0,0,0,0.229411482072535,0,0,0,0,0,0,-0.0465058423510902,0.178945756249658
X601688.CH.EQUITY,0,0,0,-0.257084292335627,0,0,0,0,0,0,0,0,0,0,0,0.109989054829519,0,0,0,0,0,0,0,0,0,0,-0.0792962857124259,0,0,0.101080374454645,0,0,0,0.16020556219932,0,0,0,0.468158747501161,0,0.048177899996966,0,0,0,0,0.427403436854965,0,-0.122236648281502,0,0.0238448646948782,0
X12.HK.EQUITY,0,0,0,0,0,-0.369619471881298,0,0.478446208526083,0,0,0,0,0,0,0,0,0.00909126724160906,0.136969358240034,0.0873200979390179,0,-0.0936386760767574,0,0,-0.297146907144318,0,0,0,0,0,0,0,0,0,0,0.309582992606699,0.404678259250517,0,0,0,0,0,0,0,0,0,0,-0.0698266117040923,0,0,4.33680868994202e-19
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433851106881515,0,0,0,0,-0.105877070900494,0,-0.121702582459163,0,0,0,0,0,0.126361416215701,0,-0.0449883226436642,0.156284288858896,0,0,0,0,0,0,0,0,0,0.277443597519094,0,0,0.44841663174156,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0.031855511712548,0,0,0,0,0,0,0,0.0760727504020993,0,0,0,0,0,0,0,0,0,0,0.0418510179702269,0.310874293881987,0,0.078069036051583,0,0,0,0,0,0.00947746442725562,0,0,-6.93889390390723e-18,0,0,0,0,0.0558100897471521,0,0,0,0.138566743276777,0,0,0.291073098907622,0,0.0292281322435225
X601336.CH.EQUITY,0,0,-0.00490259538138129,0,0,-0.00314184449057137,0,0,0,0,0,0,0.152471393981745,0,0,0,0,0.0784234741500848,0,0,0,0,0,0,0.0601944834329646,0,0,0,0,0,0,0,0.137509731321337,0,0.209360925078842,0,8.67361737988404e-19,0,0.382243458422708,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0.442397859937019,0.0658364619741031,0,0,-0.0151796202090949,0,0,0,0,0,0,0,0,0,0.0248494426816154,0,-0.114502854654869,0,0,0,0.0757634150964048,0,0,0,0,0,0,0,0,-0.0552806016287017,0,0,-0.0020646077678338,0,0,0,0,0,0.140528703305741,0,0,0,0,0,0,0,0.145455723828069,0.367482821286382,0,0
X600837.CH.EQUITY,0.0304137119958186,0,0,0,0,0,0,0,0.221098038278412,0,0,0,0,0,0,0,0,-0.0314323408849496,0,0,0,0,0,0,0.151613928463681,0,1.73472347597681e-18,0,0,0,0,0.0335225529094105,0,0,0,0,0,0,0,0,0.174640858915304,0,0,0,0.0875010295109018,0.0773151989782495,0,0,0.184655127341924,0
X002142.CH.EQUITY,0,0.500773967665308,0.237693852316594,0,0,0,0,0,0,0,0,0,0,0.0216316182808202,0,0,0,0,0.270736836663398,0,0,0,0,-0.0209028985540138,0,-0.211502985534658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00181695885881613,-0.140995261654926,0,0,0,0,0.00495180231858951,0,0,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,6.93889390390723e-18,0,-0.0176921220849421,0,0,-0.00879972051042164,0,0,0.130103863399034,0.169227708307547,0.0745282484653896,0,0,0,0,0,0,0,0.0480315506951953,-0.0321509162597185,0,0.239500807337606,0.402580477030706,0,0,0.255939115837965,0,0,0,0,0,0,0,0,-0.0302269550368357,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,-0.153138485927327,0,-0.270763061708524,0,0,0,-0.0986277219615855,0,0,0.0170833478492858,0,0,0,0,-0.186853126741521,0,0,0,-0.0117407427690512,0,0,0,0.46941856578108,0,0,0.0817692790369575,0,0.176350540026818,0,0,0,-4.33680868994202e-19,0,0,-0.240062806160194,0,0,0,0,0,0,0.146946269357139,-0.114899061883013,0.219077386023406,0,0
X2882.TT.EQUITY,0,0,0,0,0.128788016952943,-0.12445742256515,0,0,0,0,0,0,0.0757815120639998,0,-0.0240650450123271,0,0,0,0,0,0,0,-0.0259870679685713,0,0,0,0,0,-0.151192533395491,0,0.103211604959335,0,0,-1.73472347597681e-18,0,0,0,-5.42101086242752e-20,-0.0424605828155097,-0.0138123159605869,0,0,0,0,0,0,0.523579136520232,0,0.174535407811185,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.134419584173093,0,0,0.0823230462386457,0,0,0,0,0.069905746544357,0.0899495713312311,0,0,0,0.199378600194643,0,0,0,0,0,0,0,0,0,0,0,0.0205707101695772,0,0,0,0,0,0,0.431238521754106,-2.16840434497101e-19,0,0,0.0828177554328561,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,-0.120513965596907,0,-0.0156228265965153,0,0,0,0,-0.0735066788057898,0,0,0.0429881147516332,0,-0.0655920921150744,0,0.0259497895167108,0,0,0,0,0,0,0,0,0.048198532879701,0,0,0,0.594460676061076,0,0,0,0,0,0,0,0,0.800033050314177,0,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0.0288203931766511,0,0,0.0312702052847327,0,0,0,0,0,0,0.127960653687417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090362532004241,0,0,0,0.228004979358045,0,0,0.00586304658698415,0,0,0,0,0,0,0,0,0,0.265190411395143,0.370013375647366,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317637627257225,0,0,0,0,0,0,0,0.0640102855744254,0,0,0,0,0,0.0958826115658836,0.0524194421529414,0,0,0,0,0,0,0.139103755739502,0,0,0,0,0,0.00959423396469218,0,0,0,0.251041416202034,0
X2881.TT.EQUITY,0,0,0,0,0,-0.211953230894807,0,0.288061982150277,0,0,0,0,-0.227450696345318,0.112599728953123,0,0,-0.0613958021879984,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0629051459676388,0,0,-0.41690597022457,0,0,-0.147004470953028,0,0,0.442200596555141,0,0.391260077963861,0,0,0.497119750929157,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14065002662042,0,0,0.0121105795114199,0.0474382875162539,0.0774770324112043,0,0,0,0,0,0,0,0.42190044501458,0,0.0899422438950293,0,0,0,0.11113254268388,0.0351542089801034,0,0,0.0891945411598652,0.0682653911204916,0,0,0.271753010754545,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.161655849683922,0,0,0,0,0,0,0,0.097117981384097,0,0,0,0,-0.130041666017854,0,0,-0.012101716236475,0,0,0,0.0194732484393574,0.0944537405450463,0,0,0,0.334049752305295,0,0.084669582448048,0,0,0,0,0.00285205759210512,0.217600030334771,0,0.0935085267542093,0,-0.0936146465045582
macro_return_add,0,0,0,0,0.0211470260178147,0.0332941089007652,0,0,0,0,0,0,0,0,-0.0491547983047429,0,0,0,0,0.649641941784398,0,0,-0.180944093423879,0,0,0,0,0,0,-0.0370381519180959,0.280543049579125,0,0,-0.207070664300577,0,0,0,0,-0.145225562607483,0,0,0,0,0,0,0,0,0,0,0
