,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X12.HK.EQUITY,0,0,0.227344531203563,0,0,0,0,0.157776049124686,0,0,0,0,0,0,0,0,0,0.346089734992494,0,0,0.0942596736584555,0.0820857327996844,0,0,0,0.0732125299667365,0,0,0,0,0,0,0.049846081687913,0,0,0,0,0.0987766515283583,0.222457263242159,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0.169581755393525,0,0,0,0,0.460383172625093,0,0,0,0,0,0,0,0.137281216289369,0,0,0,0,0,0,0,0,-0.0951543511074877,0,-3.46944695195361e-18,0,0,0,0,0,0.116164888761235,0,0,0,0,-0.0611917850419615,0,0,0.0917500998373895,0,-0.188225128642528,0,0,0,0,-0.0826877440379972,0,0.109258641523405,0,-0.0780420914774555
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.13023273976195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221154648633732,0,0,0,0,0.0397766898218994,0,0,0.0280379390060055,0,0,0,0,0,0.254529790282744,0,0.17393617811698,0.211992296786895,0
X001979.CH.EQUITY,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0.274408629482659,0.034607100528555,0,0,0,0.0568978271102372,0,0,0,0,0.171068201842886,-0.2201558884014,0,0.0902953778181481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598803091925283,0,0,0,0.188632883992961,0.304314103744582,0,0,0.0232429259460267,0.0509878081481748
X600837.CH.EQUITY,0,0,0.124389665236266,0,-0.0895787967652706,0.0444992816939462,0,0,0,-0.0393670820101205,0,0,0,-0.0307345840204038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744052223989017,0.0163891239315435,0.0283751419651552,0.793430033892208,0,0,0,0,0,0,0,0,0.106863841729616,0,0,0,0,0,-0.00895388684520428
X823.HK.EQUITY,0.305259821422104,0,0,0,0,0,0,0,0,0,0,0,0.0549700876288836,0,0,0,0,1.73472347597681e-18,0,0,-0.00941180915255416,0.148492571409183,0,-0.134178255948836,0,0,0,0,0,0,0,0.0773968771305536,0,0.239664867104347,0,0,-0.034189878009757,0,0,0,0,0,0.204217805556623,0,0,0,0,0,0,0,0
X601336.CH.EQUITY,0,0.0315066761553063,0,0,-0.0220771420598543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167398788124511,0,0.148652987383736,0,0,0,0,0,0,-0.0759282434342058,0.0807925418797573,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174798843694381,0,0,0.433875382019725,0,0.191380782306089,0.25970117097407,0,0
X601229.CH.EQUITY,0,-0.23754330393215,0.267893423651943,0.089431869268671,0.119512643991269,0,0,0,0.0387131153333708,0.133041786496635,0,0,0,0,-0.0459407564547594,0.0205598965312596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125065144573295,0,0,0,0,0,-0.223005017750283,0,0,0,0.0351073211457146,0,0,0.548742286676813,0,0
X2882.TT.EQUITY,0,0,0,0,0,-0.0360729848912131,0,0,0,0,0,0,0,0,0,0.0961802697887312,0,0,0,0,0.0592355935608304,0,0,0,0,0,0,0,0,0,0,0.12669146631267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349029586484709,0,0,0
X1997.HK.EQUITY,0,0.0672476934828337,0.0633027112262445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.105293031839589,0,0,0,0,0,0.19803270631493,0,0.601692144155363,0,-0.178013188599849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0.0834073021250233,-0.0601093842079828,0,0,0.186436822347771,0,0,0.0208691938710637,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154444696877567,0.00292400038442936,0,0,0,0,0.289995763535494,0,0,0,0,0,0,0,0,0.142429789381026,0,0.060117783885711,0,0,0.169572410336298,0
X601169.CH.EQUITY,0,0,0,0,0,0.0248672470555222,0,0,0,0,0.0643503276972458,0.130141231008346,0.35413422766468,0,0,0.152267204488285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231936469414439,0,0,0,0,0,0.417705628970122,0,0,0,0,-0.0253207054987649
X600015.CH.EQUITY,0,0,0,0,0,0,-0.0222385763679673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193775937546339,0,0,0,0,-0.00172427862909902,0.266227694265352,0.0757066665443612,0,0,0,0,-0.0759200921557478,0,0,0,0,0.231995805398637,0.0390587204356995,0,0,0,0.177978668391252,0,0,0.0322298659477854,0.0145898904553437,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.105527903984913,0,0,0,0,0,0,0,0,0,-0.0590948846581801,0,0.274875546926209,-0.0807527493302081,0,0,0,0.121417455763274,-0.145847495871964,0.0527517437954589,0,0,0,0,-0.00826057126717708,0.457589368386208,0.0694103773160464,0,0,0,0,0,0,0.223909758735124,0,0,0,0,0,0.102299040770177,0
X2881.TT.EQUITY,0.359129398931043,0,0,0,0,0,0,0,0,0,0,0,0,-0.0714409096072109,0,0,-0.114533618101422,0,0,0,0,0,0,0,0,0,0,-0.0244584462477945,-8.67361737988404e-19,-0.0475232411401187,0,0,-0.0200860843960132,-0.00745059853364738,0,0,0,0,0.181622743277614,0.278016693513495,0,0.449520990590266,0,0,0,0,0,0,0,3.46944695195361e-18,0
X300059.CH.EQUITY,0,0,0,0,0.159893616150869,0,0,0,0,0,0,0,0,0,-0.0762676658484476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120106445575184,0,0,0.0327894787006597,0,0.0287912304179185,0,-0.023624009483679,0.503388386953172,0,0.217779636201654,0.0718399780483982,-0.00636917589752087,0,0,0,0,0,-0.221185487344453,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0.150081717204071,0,0,-0.0677274608545756,0,0,0,-0.0481482732330094,0,0,0,0,0,0,-0.00638878829735942,0,0,0.0160050655966119,0,-1.73472347597681e-18,0,0,0,0.108263299873368,0,0.0111384350751256,0.0834421060638317,0,0,0.167374320981343,0,0,0,0,0,0,0,0.475756309416097,0,0,0,0,0,0,0
macro_return_add,0,0,0,0,0,0,0,0.143442424130218,0.113612895648137,0,0,0,0.121367561829544,0,0.13081138820291,0,0.327644955443733,0,0,0,0,0,0,0,0,0.159885870197833,0.316891667917137,0,0,-0.778307992727799,-0.459806054511255,0.074614996142346,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0.0904391640080556,0,0,0
