,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.398723358475224,-0.00680093804920605,0.153289155563423,0.0236002039766945,0,0,-0.0296457253880206,0,0,0,0,0,0,0,0.0453964760547529,0,0,-0.0586938476740397,0,0,0,0,0,0,0,0.0463866348937128,0,0,0,0,0,0,0,0.0287059521490528,0,0,0,0,0,0,0.0142998622399684,0.31912313264579,-0.0267770498591912,0,0,0,0,-0.0115088206186874
X601318.CH.EQUITY,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.0307040809057479,0,0,0,0,0,0,0.0775433748428752,0,0,0.212525867404636,0,0,0,0,0.0486129402445456,0,0,0,0,0,0.118099596741788,0,0,0.0602582134011794,0,0.347769868307518,0,0.0682171073259776,0,0,0,0,0,0,0,0,0,0,0,0.0627177797915163,0
X601939.CH.EQUITY,0,0.000125822648591156,0,0.755655401156485,0,0,0,0,0,0,0.0739530553054894,0,0,-0.0325997418517655,0,0,0.138598735214924,0,0,0.0885334935812227,0,0.00922812967206292,0,0,0,0,0,0,0.0457855753723421,0,0,0,0,0,0,0.0132322008944249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.105614846620717,0,0.894537196730265,0,0,0.0415245257565116,0,-0.0468624366643505,0,0.0436159330318979,0,0,0,-0.00104211207270654,0,0.0263855749566259,0,0,0,0,0.0302250766118851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00259917391940814,-0.0432304054972798,0,0,-0.126752540209688,0,0,0,0.00475685564604037,0,0,0,0,-0.11192703462259
X601628.CH.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.223831050286642,0,0.225148713317473,0,0,0,0,0,0,0.162195922517268,0,0,0.0461110668164376,0,0,-1.38777878078145e-17,0,0,0,-0.031309825225492,-0.154648571981464,0,0,0,0,0.164053181784631,0.354098937594314,0,0,0,0,0,0,0,0,0,0,0,0.101282783216775,0,0,0
X600036.CH.EQUITY,0.0734815723307661,0,0.0325518537879683,0.309078639144365,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,6.93889390390723e-18,0.164406037194165,3.08487255565385e-05,0,0,0,0,0,0,0.200438994598531,0,0,0,0,0,0,0,0,0,0,0,0.0710833571342228,0,0,0,0,0,0,0.0618680966800325,0,0,0,0,0.00489799672620555,0
X601988.CH.EQUITY,1.73472347597681e-18,0,0,0,0,0.0886790029235134,0,0,0,-0.113881822538549,0,0,0.0142331001732182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282140481418697,0,0,0,0,0,0,0,-0.036612929212783,0,0,0,0,-0.0467089714024151,0,0.981116574557872,0,0
X1299.HK.EQUITY,0,0.0443703851562568,0,0,0,0,0,0,0,0.158849897075276,0,0,0,0.177740323300901,0,0,0,0,0,0,0,0,0.324950144156597,0,0,0.0615787949343247,0,0,0,-0.0791597617875875,0.0537737403118385,0,0,0,0,0,0.0575322274240466,0.034315826505006,0,0,0,0,0.170632589985311,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.233560444079648,0,0,0,0,0,-0.139540370366841,0,0.0276408563297855,0,0,0,0,0,0.349588392907013,0,0.0394043053327806,0.00682200282382004,0,0,0,0,-0.0230019663003689,0,0,0.259702828539233,0,0,0.100097905745235,0,0,0.111896257112926,0.230799994266766,0.0277644318341043,0,0,0,0.311803268046314,0
X388.HK.EQUITY,0,0,0,0,0.396366419319238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00788349400912602,0,-1.73472347597681e-18,0,0.156934752548004,0,0,0,0,0,0,0,0,0,0,0,0,0.341056721785127,0,-0.231671160365174,0,-0.11445144539483,0,0,0,0.284044330063315,0,0,0,-0.024335464232318,0
X601658.CH.Equity,0,0.0516079972165416,0.0415204845601081,0.224104823246413,0,0,0,0,0,0,0,0,0,0,0,0,0.138637534783315,0.00928486289075169,0,0.0250357239431086,0,0,0,0,0,0,0,0.032469698960072,0,0,0,0.199627223915674,0,0,0,0,0.017395034004366,0,0,0.0858490100218302,-0.0275140997422045,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0101643892683031,0.115468927536051,0,0,0,0.320786040450915,0,0.0145116537147453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780320634873476,0,0,0,0,0,0.178423559662158,0,0,0,-0.059389240514613,0.133490657321745,0,0,0,0.28366579256402,0,0,-0.0123542573453266
X601166.CH.EQUITY,0,0,0.0342799540856633,0,0,0.0284845341792672,0.191010337965652,0,0,0,0,0,0,0,0,0,0.0550049211850463,0,0,0,0,0.0589787130634715,0.0662208497999972,0.365157204186867,0,0,0,0,0,0,0,0.0365183656736032,0,0,0,0,0.0551497104447659,0,0,0,0,0,0,0,0,0,0,0,0.183530903197295,0,0.0102182264163012
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.693407035129318,0,0,0.0657205213774066,0,0,0,-0.0253761546895839,-0.0841178151976577,0,0,0.0452113536927579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163963468866095,0,0,0,0,0.00100184809255302,0,0,0,0,0,0,-0.0550682293758112
X000002.CH.EQUITY,0,0,0,0.137860790389199,-0.199335287512083,0,0,0,0.322213259460388,0,0,0,0.225382013542613,0.35403681463035,0,0,0.00462967254128053,0,0,0,0,0,0,0,0,0,0,0,0,-0.173945478994735,0.154805669012146,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.00774873197220591,0,0,0,0.0266607188798471,0,0,0.011050734582011
X601328.CH.EQUITY,0.311299411990884,0,0,0.0158694307336087,0,0.0153792514678616,0,0,0,0.0019842488368736,0,0.00678777629217968,0,0,0,0,0,0.112220714410473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159929862471005,0,0,0,0,0,0,0.0545703516309035,0,0,0,0,0,0.142872517464532,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0.173682426787323,0,0,0,0,0,0,0,0,0,0,0,0.0797706090299841,0,0.164435694459651,0,0,0,0,0,0.340535336403391,0,0,0,0,-0.212420294603482,0,0,0,0,0,0,0,0.213166498726308,0,0,0.031884261921566,0,0.061652397932397,0,0,0,0,0,0,0.0104926682424342
X600000.CH.EQUITY,0,0,0,0.106718526151547,0,0.424613930880932,0,0,0,-0.0528852594645356,0,0,0,0,0,0,0,0,0,0,0.0230721725395426,0,0,0,0,0,0,0,0.0723142824680424,0,0,0.0020481995545695,0,0,0,0,0,0,0,0,0,0.625649298918385,0,0,0,0,0,0,0,0.212131958537286,0
X601601.CH.EQUITY,0,0.380426431503796,0,0,0.225107503996958,0,0,-0.0360340931423301,0,0,0,0,0,0,0,0,0.0465989548545944,0,0,0.178586711081568,0,0,0,0,0,0.0839107112132698,0,0,0,0,0,0,0,0,0.0652398870615985,0.104847000420172,0,0.0926760729687015,0,0,0,0.0567388606246114,0,0,0,0,0,0,0,0,-0.0391996648439615
X601319.CH.EQUITY,0,0,0,0.0892909009986945,0,0,0,-0.00973653961226074,0,0,0,0,0,0,0.0654628580528322,0,0.468430193189345,0,0.0735680933275739,0,0,0,0,0,1.73472347597681e-18,-0.0325951493072687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0431361372739159,-0.0197915593781182,0,0,0,0.273068687631985,0,0,0,-0.0549344354249784
