,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601066.CH.EQUITY,-0.101992163815261,0,0,0,0,0,0,-0.14057228693179,0,0,0.0310110138112419,0,0,0,0,0,0,0,-0.0240652306514423,0,0,0,0,0,-0.176309883099496,0,0,0.375517362431092,0,0.119858400646035,0,0,0,0.141038355867928,0,0,0,-0.184712598505354,0,0,-8.67361737988404e-19,0,0.108164119300096,0,0,0.0867675698564186,-0.0349279854797561,0.114183826891393,0,0
X601688.CH.EQUITY,0.00463258066365576,0,0,-0.133400860872245,0,0,0,0,0,0,0,0,0,0,0,-0.245260075633298,0.176141992067055,0,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0.164407420983206,0,0.0230422042812382,0,0.0868252299083707,0,0.416431826669704,0,0,0,0,0.071214582888604,0.16224594583909,0,0,0,-0.0097457958320247,0.429418389984493,0,0
X001979.CH.EQUITY,-0.14712073977137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370318762540523,0.123723155006505,0,0,0.1030098306855,0,0,0,0,0,0,-0.175163619690301,0,0,0.0599944522738739,0.259115557861669,0,0,0,0,0,0,0,0,0,0,0.230339655994013,0,0,0,0.484257549053,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.0598100136172947,0,0,0,0,0.164571659627638,0,0,0,0,0,-0.0858148386810912,0,0.283568092229429,0.0213894404785929,0.000794293996838016,0,0,0,0,0.0977660889983828,0,0,0,0,0,0,0,0,0.0263757367983196,0,0,0,0.0361398622060612,0,0.147890971524118,0,0,0.141908469176028,0,0,0,0.0651638966811501
X600837.CH.EQUITY,0,0,0,0.0362670278956176,0,0,0,0,0,0,0,0,0.035825703180894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312722513406907,0,0,0,0,0.311477920140642,0.104542244722124,0
X601336.CH.EQUITY,0.0485071476247756,0,0,0,0,0,0.0595300253239486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239379086535041,0,0,0,0,0.0401328065293318,0.108547127624298,0,0,0,0,0.200127094629433,0,0.196230160058299,0,0,0,0.166402050165646,0,0,0
X002142.CH.EQUITY,0,0,0.31902189201684,0,0,0,0,0,0,0,0.126663430903016,0,0,0,0.1216119746086,0,0,-0.0153032970976564,0.305439301255675,0,0,-0.0189680540662249,0,0,0,-0.155631412303854,0,0,0,0,0,0,0,0,0.0520903403735296,0,0,0.0554969713520052,0,0.045264175617362,0,0,0,0,0,0,0.162270729832614,0,0,0
X601229.CH.EQUITY,0.471058793260074,0,0,0,0,0,0,0,0,0,0.079608695518216,1.35525271560688e-20,0,0.249232634795624,0,0,0,0,0.144775608039628,0,0,0,0,0.129783582915121,0,-0.23212153636489,0,-0.137557000858895,0,-0.00699775938191689,-0.0148517674663115,0,0.125940750857658,0,0,0,0,0,0.0149978096676792,0,0,0,0,0,0,0,0.20182436047081,0.00401233013780922,0,0
X2882.TT.EQUITY,0,-0.0075669738874112,0,0,0.161290850422965,0,0.0343861738681274,0,0,-0.0458276278860766,0,0,0,0,0,-0.0586990137637074,0,0,0,0,0,0,0,0,0,0,0,-0.0196114646684568,0,6.60535579662917e-05,0,0,0,0,0,0.27265585247654,0,0,0,0,0,0,0,0,0,0,0.545981268109909,0,0,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0928460723415996,0.0924219821339938,0,0,0.0838649283517872,0.166930316868327,0,0,0.0897568648833226,0,0,0.0239948067384896,0,0,0,0.0952575160497256,0,0.362174696747426,0.138725436351676,0,0.125658022009666,-0.294416048144115,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0768869112347631,0
X000166.CH.EQUITY,0.0222579121290845,0,0,0,0,0,0,0,0,0,0,0,0.241780962924424,0,0,0,0,0,0,0,0,0,0.00269219845172923,0,0,0,0,0,0,0.0476722780762056,0,0,0,3.46944695195361e-18,0,0.0605616769285402,0,0.0104078109998975,0,0,-0.0885135140750102,0,0,0,0,0.179315695836243,0,0.377380048528623,0.0494353323495166,-0.0559987375375596
X600015.CH.EQUITY,0,0,0,0.10203693862236,0,0.0347389556050577,0,0,0,0,0,0.250606790271497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634054410762976,0.117465919119827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469841876479163,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,-0.359885334345469,0,0,0,0,-0.0331184556475116,-0.131911623239446,0,0,0.0708679859433893,-0.0611256485961954,0,0,0.0952718197459727,0,0,0,0,0,0,0,-0.0267911564874185,0,0,0.0899647439259283,0,0.385536845479292,0,0,0,0,0,0,0,0,0.877210678183752,0,0,0,0,-0.156215280485838,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434018636603889,0,0,0,0,0,0.207323669901385,0.178620593561037,0.0222695554944643,0,0,0,0.108267882115421,0,0.013540611505918,0,0,-0.120984749532978,0,0.0590041512705096,0,0,0.122078199433143,0,0,0,0,0,0,0,0.0502401327816833,0,0,0,0,0.210069110054373,-0.03490540742774
X2881.TT.EQUITY,0,0,0,0,0,0,0,0.182284211034682,0,0,0,0,-0.328267598391363,0,0,0,0,0.0211122269685268,0,0,0,0,0,-0.379455998856286,0,0,0,0,0,-0.194815546982209,0,0,0.209538839555806,0,-0.170899771257463,0,0.348054166301979,0.507305124249426,0.120279557105129,0.367330872185002,0,0,0,0,0,0,0,0,0,0.131543068650909
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.18354703327115,0,0.0156719345146562,0.18529240097231,0,0,0,0,0,0,0,0.0921840333717757,0,-0.0169258274775898,0,0,0,0,0,0,0,0,0,0,0.102757163767036,0,0,0.0028425647034596,0,0,0.125663769444479,0,0,0,0,0,0,-0.0521229977323679
X002736.CH.EQUITY,0,0,0.00199543434642183,0,0,0,0,0,0,0,0.146769499482242,0.117786582980901,0,0,-0.0644960448546237,0,0,0,0,0,0,-0.0191096812024264,0,0.0618086390368669,0,0.123123529973111,0,0,0,0,0,0,0,0,0.216218044894289,0,0,0,0.102132342304624,0,-0.0565380976811492,0,0.286401864782063,0,0,0.124074061145783,0,0,0,0
macro_return_add,0,-0.0352572327785365,0,0,0.0136117064280665,-0.0447297751706945,0,0,0,0,0.032090984828827,0,0,0,0.0900001059247646,0,0,0,0,0,0,0.098682173154119,0.743034311867292,0,0,0,0,0.050878909567778,0,0.0462135281833107,-0.110328239457263,0,0,0,0,0,0,-0.246830368527194,-0.0418677517162159,0,0.155297073197958,0,0,0,0,0,0.0598724807728088,0,0,0
