,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.0231531100226163,0,0.188276251780873,0.0409686257753602,0.000956832091203577,0,0,0,0,0,0,0,0,0,0,0.165025428287378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503471324092377,0,0,0,0,0,0.0934012842541825,0,0,0,0,0.0321042122654263,0,0.132809268555739,-0.034770361395745
X601318.CH.EQUITY,0,0,0,0.125540624167397,0,0,0,0,0.110742963526687,0,0.014811182021187,0,0.093388276157745,0,0,0.081409642801805,0,0,0,0.299773851229866,0,0.092172202288852,0,0,0,0,0,0,0,0,0.142128607467826,0,0,0,0,0,0.0428808966988111,0,0,0,0,0,0,0,0,0,0,0,0.109091645208591,0,0
X601939.CH.EQUITY,0,0,0,0,0.126092205852102,0,0,0,0,0,0.0955913029545827,0,0,0.101427267570184,0,0,0,0,0,0,0.00131639846788825,-0.0303319505325955,0.535925323824989,0,0,0,0.167153618853881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.201327588985516,0,0,0,0,0.135926099216085,0.108131032708548,0,0,0,0,0.18334958093906,0.0943933064744904,0,0,0,0,0,0,0,0,0,0,0.26192774764017,0,0,0,1.73472347597681e-18,0.0714054383523905,0,0,0,0,0,0,0,0,0,0.0251562978977446,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0933853450122204,0.28260805228465,0,0,0.104571597497265,0,0.254547816379508,0,0,0,0,0,-0.0690358061420263,0,0.095133037547668,0,0,0,0,0,0,0,0,0,0.0453346214049928,0,0.0297895349560612,0,0,0,0,0,0,0,0,-0.0811086087246092,0,0,0,0,0,0,0,0,0,0.155715124016445,0,0.1220900937559,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.00910968861894969,0,0,0,-0.089663656401239,0,0,0,0,0,0,0,0.209710717881148,0,0,-0.122092121225464,0,0,0,0,0.0312950871147527,1.73472347597681e-18,0,0,2.77555756156289e-17,0.711761688454209,-0.0617487996258606,0,0,0,0,0,0,0.115079390112168,-0.0934486141197435,0,0,0.105270614540667,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0474273019062455,0,0,0,0.208029259319291,0,0,0,0.0135796142607286,0,0,0,0,0,0,0,0,0,0.142683721868291,0,-0.0950331936110489,0,0,0,0.0828468443812602,0,0,0,0,0.0101251670480685,0,-1.38777878078145e-17,0.124051944555531,0,0,0.137652990687548,0.273838826106308,0.048567527314111,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0300163156639184,0.207825039993686,0.216489780552794,0,0,0,0,0,0,0,0.0210593417899025,0,0,0,0,0.240229180526681,0,0,0.0159543937858177,0,0.0187936064706562,0,0.122913577919331,0.163667294675558,0,0,-0.00837211003080708,0,0.163336844969024,0,0,0,0,0,0.0440165805687738,0,0,-0.028357738132233,0,0,0,0,0,0,0,0.0368371511709241,0,0,0
X5.HK.EQUITY,0,0.052307763428287,0,0,0,0.0461735843582564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123957141861495,0,0,0,0.10509219529122,0,0.121665630987103,0,0,0.00766896891497041,0,0,0,0,0,0,0,0.0447219232430948,0,0.27373120274545,0,-0.0583783963975954,0,0,0.158558715262307,0,0,0,0,0.0959331947754313,0,0
X601166.CH.EQUITY,0,0,0.0447659786386753,0.0234893521149788,0,0.00837116482595555,0,0,0,0,0.0274583405876399,0,0.125525121529835,0.0835916412983562,0,0,0,0,0,0,0,0,0,0,0.165127539015658,0,0,0.400650210205928,0,0,0,0,0,0,0.0344756143431442,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0
