,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,-0.155198039799009,0,0,0,0,0,0,0,0,0.521120392909891,0,0,0.0191709911016965,0,0.0191437510086506,0,0,0,0,0,-0.189528540469721,0,0,0,0,0,0,0,0,0,0,-0.30813130859511,0,0,0,1.73472347597681e-18,0.700491785466613,0,-0.154896169893763,0.0589467886103342,0,0,0,-0.0527202623997989,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.189908417097204,0,0.025821171165003,0.0299465781485741,0,0,0,0,0,0,0.0276655521069854,0.124961719801644,0,0,0,0,0,0,0.0493371761009614,0,0,0,0,0.0991884336765052,0,0,0,0,0,0,0,0.038187949899891,0.530595557085185,0,0,-0.111002240791635,0,0,0,-0.0331843177473033,0,0,0,0
X601939.CH.EQUITY,0.330602792739213,0,0,0,0,0,0,0,0.0285022287021617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181784082948017,0,0,0,0,0.16078392576285,0,0.0594401200621207,0,0,0,-0.181574515906761,0,0,0.360479444472558,0,0,0,0,0,0,0,0,0,0,0.0414425543644897,0
X601288.CH.EQUITY,0,0,0,0,0,0.230451186641879,0,0,0,0.0124570760010944,0,0,0.0527473662056068,0,0,0,0,0,0.0589630512080876,0,0,0,0,0,0,0,0.129414684083708,0,0,0,0,0,0,0,0,0,0,0,0.311933737325148,0,0,0,0,0.167021007073928,0,0,0,0,0,0
X5.HK.EQUITY,-0.0576406046185288,-0.136257341882337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350237843467262,0,0,0.205891259734136,0,0.17516267487912,0,0.309207849167066,0,0,0,0,0,-0.108735861781525,0,0,0,0,0,0,0,0,0,0,0.197295970072052,-0.0768233849429784,0,0,0,0,-0.0859868881294936,0,0,0
X601988.CH.EQUITY,0.250196687274896,0,0,0.57310911677044,0,0,0,0,0,0,0.101976337072334,0,0.103060609589421,0,0,0,-0.0540221805824994,0,0,0,0,0,0.00634905188605307,0.060549941438195,0,0,0,0.0465552920196557,0,0.00377932673750729,0,0,0,0,0,0,0,0.0217765015349459,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.58130825227922,0,0,0,0,0,0,-0.00487712560958334,0,0,0,-0.0882588628588551,-0.141445349016202,0,0,0,0,0,0,0,0,0,0,0,0.255165595607375,0,-0.125898083144026,0,0,0.0201944509903124,0,0,0,0,0,0,0,0,0,0.172371926721065,0,0,0,0,0.132206094876789,0,0,0,0
X1299.HK.EQUITY,0,0.180359749622798,0,0,0,0,0,0,0,0,-0.0922099223029522,0,0,0,0,0.260818346413798,0,-0.154039766786195,0.0711484743826398,0,0,0.0608633814500985,-0.0253368384480236,0,0.548948261251912,0,0,-0.0957841129027011,0,0,0,0,0,0,0,0,0,0,0,-0.0873426886384377,0,0,0,-0.0119775360729241,-0.134073249768747,0,0,0,0,0
X601628.CH.EQUITY,0,0.110985038358333,0,0.0421686647548719,0,0,0,0,0,0,0.0284239777735808,0,0.0164056977072731,0.227067088793322,0,0,0,0,0,0,0,0,0,0,0.14694932954029,0,0,0,0,-0.0179142437012417,0,0,0,0,0,0,0.118948503813072,0,0.171461118187909,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19
X601328.CH.EQUITY,0,0.224940634137441,0.167824085551839,0.312143727898481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236791603186685,0,0,0.111583764423482,0,0,0.258144761900677,0,-0.0340209516797885,-0.0745272671596901,0,0,0,0,0,0,0,0,0,0,0,0,0.0736374166336301,0,0,-0.029677070651794,0,-0.286282846666191,0
X601166.CH.EQUITY,0,0,0,0,0,0.313369800618225,0,0,0,0,0,0,0,0.542887906553892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160234097189417,0,0,0.332460816098889,-0.118476250971612,0,0,0.36491357865804,0,0,-0.0771317262897887,0,0,-0.135614756278689,0,0,0,-0.0580903288804541,0,0
