,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0801273003841549,0,0,0,0.0463395065081439,0,0,0,0,0,0,0,0,0,0,-0.358531582794519,0,0,0,0,0,0,0,0,-0.119013419331139,0,0,0,-0.353398892792024,0,0.0890472042418124,0,0.773898211751837,-0.09329716584165,0.400628465677292,0,0,0,0,0,0,-0.041470107587305,0
X601318.CH.EQUITY,0,0,0,0,-0.0573562264250111,0,0.144496899211078,0,0,0.020298935995343,0,0,0,0.0653346681497421,0,0,0,0,0,0,0,0,0,0.00582025648624822,0.176200062120609,0,0,0,0,0,0,0,0.0674888214049478,0,0,0,0,0.470198792357929,0,0,-0.0271228269188076,0,0.0761069770816673,0,0,0,-0.00949176692861874,0,0.0937990876822394,0
X601939.CH.EQUITY,0.406915242859776,-0.119923833697657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287096574059323,0,0,0,0,0.00994749020791972,0,0,0,0,0,0,0,0,0.107650359487102,0,0,-0.090426573881687,-0.245461496272063,0,0,0.543032191744098,0,0,0,-0.0234833169205574,0.101566643241548,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.0244024072639551,0,-0.176567491959398,0.061443137617721,0,0.474774493343779,0.217828169872119,0,0,0,0.173481356790033,-0.0639455296278365,0,0,0,-0.00849308514890708,0,0,0,0,0,-0.0457482390288071,0,0,0,-0.592561473545807,0,0,0,0,0,0,0,0,0,0,0.289135001596807,0,0,0.0209691198487098,0,0,0,0,0
X5.HK.EQUITY,-0.225887064176365,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.297188654823176,0,0.0701422022486236,0,0,0.259135929623962,0.0113341213304086,0,0.434644343608251,-0.0365591832193046,0,0,0.0710588648307975,0,0,0,0,0,-0.168595919223274,0,0,-0.0044558677794873,0,0,0,0,-0.118157735395151,0,0.268450893684298,0,0,0,-0.116529666013926,0,-0.110462866789012,0
X601988.CH.EQUITY,0.22388529642592,0,0,0.63196851312365,0.0950224870983052,0,0,0,0,0,0.125040243469826,0,0.0267944669483261,0,0,0,0.117602573265568,0,0,0,0,0.0162465660310525,0,0,0,0,0,0,0,-0.0380765281987481,0,0,0,0,0,0,0,0,0.12157547362939,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.569980591588424,0,0,0,0,0,0,-0.0574552309332622,0.514893310330314,0,0,0,0,0,0,0,0,0,0,0.0845612468686461,0,0,0,0,0,0,0.0337480905204555,0,0,0,0,0.254870599244554,0,0,-0.181719088723241,0,0,-0.176982369379716,0,0,0,0.0804138745212523,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.111368251573913,0,0,0.0624394198205347,0,0,0,0.142031454414486,0,-0.0375910020356853,0,0,0.0642124060903769,0,0.254571229285573,0,0,0,0,0,0,0,0,0,0,-0.00256193854403824,0,0,0,0,0.0252144701717761,0,0.254547110115438,0,0,0,0,0,-0.0919665961721511,0,0,0,0,0,0.0288447124167603,0,0.0469647773119702,0,0
X601628.CH.EQUITY,0,0.0375821748120223,0.00746685119745852,0.0539612641798042,0,0,0,0,0,0,0,0,0,0.331412799265796,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0905181493685142,0,0,0,0,0,0,0,0,-0.0433178189002063,0,0,0,0.0588115819130139,0.216322211681432,0,0,0,0,0,0,0,0.127806668474976,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.62730396296626,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319855076390933,0,0,0,0,0.0750416859678061,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.0522418505287885,0,0,0,0,0.0325754639104151,-0.0632195895624477,0,0,0,0
