,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.0328608538236078,0.477131238365238,0.0149283084810404,0,0,0.0906761523910382,0,0,0.082896587268686,0.067531430769384,0,0,0.174551013548397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292901434915924,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.10205704016725,0.276404900783637,0,0,0,0,0,0,8.67361737988404e-19,0,0.333943584899782,0.0887338639383231,0,0.0795387155511229,0,0,0,0.0632030771340519,0,0,0,0,-0.035360546808835,0,0,0,0,0,0,0.0206449342964838,0,0,0.0499411941366387,0,0.000427957758132997,0,0,0,0,0,0.000936048617028537,0,0
X601939.CH.EQUITY,0.162809090371641,0,0,0.486795617149571,0.0638529610645225,0.0934872070408995,0,0,0,0.0575053186573344,0,0,0,-0.0318884029113721,0,0,0,-0.0203481706124338,0,0,0,0,0,0,0,0,0,0.181134756715579,0,-0.00464511322494119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271142708918106,0
X601288.CH.EQUITY,0,0,0.212341995030925,0,0,0,0,0,0.0119777059527455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273342126252857,0,0.195483436125761,0,0,0,0.0476229543662376,0,0,0,0,0,0,0,0,0,0,0.0983273930004164,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0307338801496482,0,0,0.19720674089011,0,0.223564422286486,0,0,0,0,0.165104063800269,0,0,0,0,0,0.171247449186127,0,-0.238180552802339,0,0,0,0.0463524996773306,0,0,0,-0.0874714067568113,0,0,0,0,0,0.183421830663871,0,0,0,0,0.152274347534631,0,0,0,0,0,0,0,0,0.146121161902898,0
X601988.CH.EQUITY,0,0,0,0,0.258384037304823,0,0,0,0.106854532214647,0,0,0,0,0,0,0.0349315444230633,0.110383612593402,0,0,0,0,0,0,0,0,0.0877082024403847,0,0,0,-0.190577053340789,0,0.0603421616133093,0,0,0,0,0,0,0,0,0,0.0795634040515715,0,0,0,0,0,0,0,0.150415558739627
X600036.CH.EQUITY,0,0,0,0,-0.0228458295788462,0,0,0,0,0,0,0.157550582011404,0,-0.0670037851580206,-0.0147985739412437,-0.0191756400137033,0.0907617551487327,0.014680560366521,-0.0959409922606459,0,0,0,0,0,-0.0332806732409724,0.598140518605054,0,0.0703984197831311,0,0,0.116686751838489,0,0,0,0,0,0,0,0,0,0,0,0.214151464773421,0,0.0350557695750812,0,0,0,0.0777517831447835,0
X1299.HK.EQUITY,0,0,0,0,0.274204564880638,0,0,0,0,0,0,0,0,0.0498250719830846,0,0,0.0874552055378627,0,0,0,0,0,0,0,0,0,0.0745782220634933,0,0.229166378654748,0,0.000352492986585971,0.260145426179872,0,0,0.0111594107350599,0,0,0,0,0,0,0,0,0,-0.0723033362424841,0.0191177217893145,0,0,0,0
X601628.CH.EQUITY,0,0.1678292131144,0,0.016502347232843,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110761218793556,0,0,0,0,0,0,0,0.139741890588689,0,0,0,0,0,0,0,0,0,0,0,0.394343474511028,0,0,0.173377097802028,0,0.0210250417497442,0,0.0394853907633868,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.362847603193754,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.410733391121974,0,0,0,0,0,0,0,0.0240481169392412,0.0717814354119223,0.132096304331846,0,0,0,0,0,0,0,-0.00763830628338771,0,0,0.0110098364120219,0,0,0,0,0,0.089894580754301,0,-0.0516908267809627,0.217895548410905,0,0,0,0,0,0.0796192544421233,0
X601166.CH.EQUITY,0.0373560601615666,0,0.164259524414264,1.38777878078145e-17,0,0,0,0,0,0.264903757109185,0,-0.0219052246141435,0.295252496456366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112072760498352,0.048654471315825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385543866607053
