,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.109359073750779,0,0,0,0,0,0,0,0,0,0,0,0.606563399848969,0.462365530257206,-0.0834544304006155,0,0.0976627370357579,0,0,-0.0014438583951416,0,-0.113852506013447,0,0,-0.246663482111136,0,0,0,-0.434921508845023,0,0,0,0,0,0.0590556271211379,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0320721509978218,0,0.00696351285785099,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0.337467734514108,0,0.0698522088677811,0,0,0,0,0,0,0,0,0.0847766900065039,0,0,0,0,0,0,0,0,0.320591609336581,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0429809173519209,0,0,0.223006857385609,0.0642222419390018,0,0,0,0,0,0,0,0,0.294611408545378,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0465979718150385,0,0,0,0,0,0,0,0,0,0,0,0.417279632588245,0
X601288.CH.EQUITY,0,0,0.255917190045347,0,0.353359413717071,0.110992399312937,0,0.0368945420426312,-8.67361737988404e-19,0,0.00838744397960602,-0.0190034835305178,-2.71050543121376e-20,0.163835409684592,0,0,-0.0188360118435872,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0696690075672903,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.239081831255167,0,0,0,0,0,0.455934424027457,0,0,0,0,0.172294163854168,0,0,0,0,0,0,0,0.224673060740877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.438866897026725,0,0,0.0644700275844309,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.230940888848748,0.10125365521216,0,0,0,0.102959584139318,0.0985922608775421,0,-0.04452980421962,0,0,0,0,0,0,0,0,0.00368587777432231,0,0,0,0,0.0328583345917922,0,0,0,0,0,0,-0.0178077844644414,0,0.255389191669454,0,0,0,0.0279523231798716,0,0,0,-0.0857604028458034,0,0,0,0,0,0.120425744707869,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.350403055233152,0,0,0,0,-0.0770297403677875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14617578615068,0,0,0.0941303839672674,0.0558940921874136,0.0890299297472405,0.0401460791436518,0,-0.0306992469404959,0.0814795302462975,0,0.131883418332743,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0778269325147717,0,0,0,0,0,0,0,0,0,0.0334264534076967,0,0,0,0,0.185365139801081,-0.0589929320438029,0,0,0,0,0,0,0.161082301895924,0,0,0,0,0,0,0.0219188674564092,0.0386117301170747,0,0,0,0.173029378576084,0.117236918360893,0,0,0,0,0.444536642095449,0,0,0.0890943137237374
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0619825068382,0,0,0,0,-0.163617751752951,0,0,-0.324564659122405,0.776445162329143,0,0,0,0,0.680852640448056,-6.93889390390723e-18,0,0,0,0,0,-0.156091208729363,0,0,0,0,0,0.218211299422231,0.177167860838712,0,0,0,0,0,0.106218495437422
X601658.CH.Equity,0,0,0,0,0.00989729063534853,0,0,0,0,0,0,0,0,0,0,0,0,0.212177487254473,0.0385691380289483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25002568754828,0,0,0,0,-0.0132440536340278,0,0,0
X388.HK.EQUITY,0,0.350300018384527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309546218266789,0,0,-0.374946502167907,0,0.117629230921873,0.0874338098850951,0,0.36171785999541,2.77555756156289e-17,0,0,0,-0.0857298256594721,0,0,0,0,0.109368579704557,0,0,0,0.439552807966588,0,0,0,0,-0.29145595710889,-0.0383393849323825,-4.33680868994202e-19,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.00317667341163241,0,0,0,0,0,0,0.232867937220046,0,0,0,0.0127188787449573,0,0,0,0,0,0.0224251022186172,0,0,0,0,0,0,0.0395639696553449,0.362944655536235,0,0,0.0968384469666827,0,-6.93889390390723e-18,0,0.0480494375895421,0,0,0,0,0,0.00140328259707045,0,0,0,0,0.0478485532257928
