,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.102258762392342,0,0.388133539888037,0.0970078535098653,0.0999384997451466,0,0,0,0,0,0,0,0,0,0,0.264453247487625,0,0,0,-0.00896916791632406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400736896601843,0,0.0502786259051999,0,0.0591824187304332,0,0,0,0.0573640465676191,-0.0973213989023869
X601318.CH.EQUITY,0,0,0,0.142669433226843,0,0,0,0,0.134630731589735,0,0,0.0230056797509275,0.0895475816749337,0,0,0.0270013710470747,1.73472347597681e-18,0.082584834776099,0,0.260755680225029,0,0,0.012099331856481,0,0,0,0,0,0,0,0.211511297268948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841400213000717,0,0
X601939.CH.EQUITY,0,0,0,0,0.228631326490147,0,-0.046404940374897,0,0,0,-0.0294352183222182,0.143890590893279,0,0.0637682291205363,0,0,0,0,0.178402586411596,0,0.0245136051821947,0,-0.144750139727905,0,0.450904017717024,0,0.151237748159631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.194009043742133,0,0,0,0,0.137157887815871,0.0921935422666757,0,0,0,0,0.192130666744351,0.0969470370194535,0,0,0,0,0,0,0,0,0,0,0,0.259590872052428,0,0,0,0.0608054780344217,0,0,0,0,0,0,0,0,0,0.0295138267134189,0.00512732000052659,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.169098564972176,0.15414669988754,0.17487346814912,0,0,0.0859062707791487,0,0.169528730053261,0,0,0,0,0,-0.037618853090127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132927137206004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105380520182408,0,0,0,0,0.0899881708004526,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135974631236036,0,0,-0.0395964281945397,0,0.0565032309223182,0,0,0,0.129753762710054,0,0,-0.108940823858554,0,0,0,0.0112373626254539,-0.0200310881836744,0,0,0,0.735943895201775,-0.0720748303097283,0,0,0,0,0,0.0949876967112084,0,0,0,0,0.155243438495401,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0792167345231308,0,0,0,0,-0.0453487995758251,0,0,0.14058484347513,0,0,0,0,0,0,0,0,0,0,0,0.0500137052770963,0.108490574816878,0,0,0,-0.243819069391247,0,0,0,0.0189977464594927,0,0,0,0,0,0,0,0.265605130378259,0,0.236707838831395,0.116457955816266,0.225240561208792,0.0273052353495938,0,0,0,0,0,0
X601988.CH.EQUITY,0.0855167864659674,0,0,0.452600320298229,0.134640830825178,0,0,0,0,0,0,0,0,0,0,0,0,0.146188874498324,0,0,0,0,0,0.144072161052869,0.146931727423496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0321518782332699,0,0,0.0103045863700432,0.0188958655207187,0,0,0,0,0,0,0,0.207621944862171,0,0.0996110923672811,0,0.128282909816677,0,0,0,0,0.0296138636103282,0,0,0,0,0,0,0,0.0128376908882709,0,0.243971667132623,0,-0.0669310625050412,0,0,0.191382296694854,0,0,0,0,0.0830321584974946,0,0
X601166.CH.EQUITY,0,0,0.0502888291291311,0.0572489548318944,0,0.0276195615370062,0,0,0,0,0,0.0193904373213528,0.106099510882125,0.0682134946996621,0,0,0,0,0,0,0,0,0,0,0,0.163805279922306,0,0.368978421296446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0049074698144434,0,0,0
