,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.0871571120422647,0,0.394138361047465,0,0,0.101927757660697,0,0.109113461101004,0,0,0,0,0,0,0.189465976136416,0,0,0,-0.0718626794147691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872362885885247,0,0,0,0,0,0,0,0,0,0,0,0.0662229400838589,0,0
X601939.CH.EQUITY,0.223603812877509,0,0,0.0349746641488749,0.0743420551030713,0,0,0,0,0,0,0.0695320542210622,0,0.334365232519042,0,0.206702824116083,0,0,0,0,0,0,0,-0.051480767408308,0,-0.0868117234284234,0,0,0,0,0,0.0636836897754011,0,0.0262564558161284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.0849702756140689,0,0,0,0,0,0.151772540397751,0,0,0,0,0,0,0,0,0.0136597233838794,0,0,0,0,0,0,0.13107999228909,0,0,0,0,0,0,0,0,0,0.158775790327014,0.00134039533898777,0,0,0,0.0289345739207083,0,0.326713643974751,0,0,0.0543514561879101,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.388547222313172,0.0308475085811897,0,0,0.354756529630886,0,0,0,0,0,0.0991292881885811,0,0,0,0,0,0,0.0515428770256388,0,0,0,0,0,0,0,0,0,0,0,0.0195424218765849,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.0322668605943561,0
X601988.CH.EQUITY,0,0,0,0.271862623830366,0,0,0,0,0,0,0,0,0,0.088338754968089,0,0.100851292220621,0,0,0,0,0.268020169052128,0,0,0,0.00324392903781914,0,0,0,0,0,0.0383694678358498,0.050950520539271,0,0,0.122849686854475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.151575215288246,0,0,0,0,0.2654926409503,0,0,0,0,0,0,0.243150753262008,0.00700647282273453,0,-0.15519302035244,0,0,0,0.142836051412495,0,0,0,0,0,0,0,0,0,0.206191569350168,0,0,0,0,0,0,0,0,0.14199649654444
X600036.CH.EQUITY,0,0,-1.38777878078145e-17,0,0,0.0491845843954216,0,0,0,0,0,0.438411796314129,0,0,0,0,0,0,0,0,0,0,0,0.0294789592308597,0,0.0912239158714053,0,0,0,0,0,0,0,0.121533568626268,0,0,0,0,0,0,0.0375606599541747,0,8.67361737988404e-19,0,0,0,0,0,0,0.224540453267655,0
X1299.HK.EQUITY,0,0,0,0,0,0.184957158428717,0,0,0,0,0,0,0,0,0,0,0,0.207062396777528,0,0.130959491734484,0,0,0,0.0961383261967034,0,0,0,0.0762401990106918,0,0,0,0,0.147013427765822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0
X601628.CH.EQUITY,0,0,0,0,0.31172823352626,0,0,0,0,0,0,0,0,0,0,0,0.00916015724767739,0,0,3.46944695195361e-18,0.13656705579421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461992647331485,0,0,0.117962055830624,0,0,0,0.164595163431385,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.00525118929072599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.558810750117316,0,0,0,0.330732254045849,0,-0.0586244988866778,0,1.24453001924761,0,0,0,0,0,0,0
