,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.130895144801026,0,0.0682010106180774,0,0,0,0,0,0,0,0.369810125661655,0.077188063140825,0,0,-0.113536411480494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012625826259948,0,0,0,0,0,0,0.185986607039437,0,0,0,0,0,0.125970304952103,0,4.33680868994202e-19,0,0.0492907786975609,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.112384657048505,0,0,0,0.00140128761979491,-0.176399245516877,0,0.0931261730853916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230403605174746,0,0,0,0,0,0,-0.254203247682005,0,0.448081286209129,0.0493989003328802,0.130399206241509,0,0,0,0,0.187094491479391,0,0,0
X601939.CH.EQUITY,0.221139024223644,0,0,0.2559705044343,0,0.148199112907978,0,-0.0489846499835027,-0.028955469529482,0,0,0,0,0,0.0320295135560398,0,0,0,0,0,-0.00975718070815134,0.0635252373302512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487388266625446,-0.0956224184951151,0,0,0.0178330156980946,0,-0.0385467967165206,0,0,0.0344984886626438,0,0,0
X601288.CH.EQUITY,0.41325738356883,0,0.194830459795941,0,0,0.154086089272364,0,0,0.0263485885671443,0,0,0,0,0.0413710821527072,0,-0.118194010759851,0.04825383428674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0202908816688621,0,0,0.0386655330221254,0,0,0,0.156313096653802,0,0,0,0,0,0,0,0,0,0.17863890676544,0,0
X5.HK.EQUITY,0,-0.053876271247035,0,0.222487640187181,0,0.0452366471492333,0,-0.214157285649611,0,0,0,0.0675992602288663,0.0412903929849636,0,0,0,0,0,0,0.679325471543504,0,0,0,0,0.169352825952698,0,0,-0.06041774254284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217537480157691,0,0,-0.0832770133222702,0,0
X601988.CH.EQUITY,0.140627913624056,0,0.125669310783826,0.149427823875844,0,0,0,0,0.100390227001846,0,0.102040741195435,0,0,-0.241968808298688,0,0,0,0,0,0,0,0,0.0697108929754292,0.250668425480873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11319855372229,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0098547127499316,0,0,0,0,0,0.113340631637528,-0.00292778469331963,0,0,0,0,0,0.274411363660014,0.181171924103459,0,1.73472347597681e-18,0,0.0890088638717612,0,0,0,0,0,0,0,0,0,0,0,0,0.116923078877493,0,0,-0.00245740859720709,0,0,0,0,0,0,0.0946625847020439,0,0,0,0,0.126475287248203,0,0,0.0197543315013152,0
X1299.HK.EQUITY,0,0,0,0,0,-0.00308080334196565,0.0103272043267147,0,0,0,0.209832214041152,0,0,0,-0.141525211787043,0,0,0,0.335582246294028,0.239007425312488,0,0,0.020195317054298,0,0,0,0,0.153077796191192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607880064268645,0,0.121177200239022,0,0,0,0,0
X601628.CH.EQUITY,0.372490401894552,0.283196506496905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0414582773617619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600768791464613,-0.189268909649173,0,0,0,0,0,0,0,0,-0.108302871457358,0.176351161065986,0,-0.173624846471676,0,0.0302363511531989,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
