,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601818.CH.EQUITY,0,0,0,0.256024247999157,0,0.0372042023756329,0,0,0,0,0,0,0,0,0.0116206792750927,0,0.0941310767163547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0983281884876979,0,0.0490317568755536,0,0,0,0,0,0,0,0.10756341744542,0,0
X601688.CH.EQUITY,0.00698224372772975,0,0,0,0,0,0,0,0,0,0,0.176113647427262,0,0,0,0,0,0,0,0,0,-0.0484628332607935,0.0565091139835185,0,0,0,0,0,0,0,0,0,0,0,-0.0327088837905624,0.129472265203119,0,0.410701896061112,0,0,0,0.0147512347236006,0,0,0.091600745027111,0,0.0864648776849953,0.164589298890818,0,0,0,-0.0206393599298717
X002142.CH.EQUITY,0,0,0,0,0,0,0.392800234621927,0,0,0,0,0,0,0,0,0,0,0,0.0876396390912429,0,0,0.154396168624897,0,0,0,0,0,0,0,0.233620551313312,-0.217690625064907,0,1.38777878078145e-17,0,0.0277567295806872,0,0,0,0.133865700491512,0,0,0,0,0,0,0,0,0,0.351688531457119,0,0,0.0913197158089505
X600999.CH.EQUITY,0,0,0,0,-0.244163605159789,0,0,0,0,-0.0469588766006155,0,0,0,0.257951074297519,0,0,0.687465672763468,0,0,-0.142442725985633,0,0,0,0,0,0,-0.0705927937689989,0,0,0.255505948472209,0.177970645425599,0,0,0,0,0,0,0,0,0,-0.811013535106748,0,0,0,0,0,0.0366202536269004,0,0,0.103805252402218,-0.0728983348380222,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.0458581314758203,0,0,0,0,0.0724184544444071,0,0,0.0736370926421889,0,0.0180176671592064,0,0,0,0,0.00583179813558253,0,0,0,0,0,0,0,0,0,0.476994939993718,0,0,0,0,0,0.0386013682837495,0,0,0.0321426904053252,0,0,0,0,0.0242855130004207,0.0724853452816866,0,6.93889390390723e-18,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.000648744749283012,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.29415022126299,0,0.354511392641826,0,0,0,0,0,0,0,0,0,0.0207206882393447,0,0,0,0.0698098798528404,0,0,0,0.280879874166264,0.0513658807494671,0,0,0,-0.171254220674035,0
X600837.CH.EQUITY,0,0,0,0,0.0805064691872337,0,0,0,0,-0.0179476011512104,0,0.0480843349493139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332842607441125,0,0,0,0,0,0.487156919051777,0,0,0,0.0897072821534335,0,0,0,0,0.00900941760743618,0,0,0,0,0,0.0242331162426956,0,0.205614510989256,0,0
X601336.CH.EQUITY,0,0,0,0,0.0487224186613172,0,0,0,0,0,0,0,0,0,0,0,0,0.185015885178696,0,0.0627779395986863,0,0,0,0,0,0.0455150464526524,0.0219364749650902,0,0,0,0,0,0,0,0,0,0.0386406902201889,0,0,0.048551389005939,0,0.0933533923587114,0,0,0,0,0,0.251029660947118,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,8.67361737988404e-19,0,0,0,-0.0214626354349293,0,0,0,0,0,0,0,0,0.116334796550072,0,0,0,0,0,0,0,0,0,0.115140081782044,0,0,0,0,0.247991604356702,-0.0637330268225815,0,0.107567779537673,0,0.228445724509758,2.71050543121376e-20,0,0,0.0411376365328082,0,0,0,1.73472347597681e-18,0,0.0582835869760411,0,0.122364357115071,0,0
X001979.CH.EQUITY,0,0,0,0,0,0.0873803484014092,0,0,0,0,0,0,0,0,0.0302995238653729,0.0952095273798862,0.749165729524771,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,-0.0256712197841759,-0.0695379950158733,0,0,0,0,0,0,0,0,-0.0513457905596796,0.00571457153882756,0.0689830951048828,0.0321975342699484,4.33680868994202e-19,0,0,-0.020316421584143,-0.00903185322794709
