,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.31799681695477,0,0.00253145101623457,0,0,0.34321195623662,0,0,0,0,0,0,0,0.0185792785704099,0,0,0,0,0,0,0,0.17542038404654,0,0,0.0201704111439226,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.107028096721784,0,0,0,0,0,0,0,0,0,0,-0.0316103340499479,0,0,0
X601318.CH.EQUITY,0,0,0.336152329054944,0,0,0.182592612015908,0,0,0.00320599066739615,0,0,0,-8.67361737988404e-19,0,0.139441189813612,0,0,0,0,0.0163088596890538,0,0,0,0,0,0,0,0,0,0,0.15792762138565,0,0,0,0,0.0929795187172102,0,0,0,0,0,0,0,0,0,0,0.0318644139293742,0,0,0,0,0
X601939.CH.EQUITY,0.381417076122342,0.209562447266204,0,0,0,0,0,0.34063723846755,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122263811445207,0,0,0.0794172042134754,0,0,-0.0270224307815376,0,0,0.14232576243619,0,0.14906492673046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985276204216608,0
X600036.CH.EQUITY,0,0.0807316704986338,0,0,0,0.0421993481346355,0,0,0.02577976785862,0,0,-0.044332287583358,0.0581869823465057,0,0,0.0811925504836384,0,0.194290153758464,0,0,0,0,0,0,0.333272051999813,0.0894634132211497,0.0130757862516113,0,0,0,0.0727499417199923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.233349405607259,0
X601288.CH.EQUITY,0,0,0,0,0,0,-2.16840434497101e-19,0.533049284807714,0,-0.0820660704606477,0,0.057431115774999,0,0,0,0,0,0,0,0,0,0,0.0658393012662444,0.153374728952613,0,0,0,0,0,0,0.100701358365619,0,0.0501574331088225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437459218735392,0,0.0131149212182203,0,0.0095556729379016,0
X1299.HK.EQUITY,0,0,1.73472347597681e-18,0.0369649413511325,2.16840434497101e-19,0,0,-0.165131633494877,0,0.152584949933785,0,-0.015159930466396,0,0,0.011656613885176,0,0,0,0,0,0,0,0.138050216162389,0,0,0,0,0,0,0,0,0,0.0983142122914829,0,0,0,0,0.14362420228798,0,0.0915180023401893,0.166249976360983,0.0351849648003368,0.0968963240397452,0,0,0,0,0,0.294568062331407,0,0,0
X601628.CH.EQUITY,0.167347250470442,0,0,0,0,0.0118336570589349,0,0,0,0,0,0,0,0,0,-0.23818562673127,0,0,0,-0.075253602256391,0,0.192402987002015,0,0,0,0,-0.154620685043852,0,0,0,0,0,0,0.609351118322773,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,-0.00300532180295263
X601988.CH.EQUITY,0.125282552197006,0,0.0537609279683764,0,0.540283417100539,0,0,0,0,0.0940816034090827,0,0,0.154043156510002,0,0,0,0,0,0.00672799935019699,0,0,0,0.129401549973756,0,0,0,0.0144028983490131,0.0826444974458985,0,0,0,0,0,0,0,0,0.068205295870117,0,0.00249145606182269,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.195144556710885,0.105979986760974,0,0,0,0,0,0,0,0,0,-0.0931377687269459,-0.0551673498007582,0,0,0,0,0,0,0,-0.345929561496795,0.199798953526391,0,0,0.137203276915725,0.139623254879193,0,0,0,0,0,0.0509938702269588,0,0,0,0,0,0,0,0.141881536396796,0.0804153829009724,0.0181209400335799,0,0,0,0,0,0,0,0.138586910235447,0
X388.HK.EQUITY,0,0,0,-0.130687263133089,0,0.230894749028502,0,0,0,0,0,0,0.0427278061403293,0,-0.052392430048888,0,0,0,0,0,-0.112541704702388,0.470006368192153,0,0,0,0,0,0,0.0783926474544727,0,0,0,0,0,0,0,0,0,0.156247003795076,0.0751312680847589,0,-0.0400810352974874,0,0.155609729042905,0,-0.302974469001924,0,0,0,-0.0366698222266338,0.154138797483841,0
