,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.391724913427287,0.0682524890708832,0.106042463167227,0,0,0,0,0,0,0.218041593000052,0,0,0,0,0,0,0,0,0,0,0,-0.000789675573202928,-0.026537930529269,0,0.019939632983769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642869195168456,0,0,0,0.11416759286816,-0.0552635646222067
X601939.CH.EQUITY,0.437084262148756,0,0,0.134192489318327,0,0,-0.16789305053698,0,-0.0135271760203354,0,0,0,0,0.231662803931779,-0.0509663696253482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257690745500387,0,-0.0800656103679077,0
X601318.CH.EQUITY,0,0,0,0,0.215558522192822,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0306499683367965,0,0,1.38777878078145e-17,0,0,0,0.185192199338877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258381118738053,0,0,0,0,0,0.221481482649538,0,0,0,0,0,0,0.104651704409532,0,0
X601288.CH.EQUITY,0.335098581667567,0,0,0,0.260359777291366,0,0,0,0,0,0.0230664467465696,0,0,0.112617694269613,0,0,0,0,0,0.100620750551866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120878829204464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,6.93889390390723e-18,0.500268708664782,0,0,0,0,0,0.216496495251959,0,0,0,0,0,0.327094660048131,0,0.0762537539172318,0,0,0.0173850658469866,0,0,0,0,0,0.0214756802651246,0,0,0,0,0,0,0,0,0,0,-0.551275232940438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.314144897767244,0,0,0,0,0,0.0789596038623143,0,0,0,0,0,0.00868123068557518,0,0,0,0,0,0.174834503741006,0.0471673178729792,0,0.0759370147223367,0,0,0,0,0,0,0,0,0.172068141137178,0,0,0,0,0.0988142320013821,0.0263198379546231,0,0,-0.00230794729667438,0
X1299.HK.EQUITY,0.0777751596076077,0,0,0,0,0,0,0,0.136039427236825,0,0,-3.46944695195361e-18,-1.73472347597681e-18,0.0977225299405694,0,0,0,0,0,0,0,0,0.00816820858735032,0,0,0,0,0,0.226912690525652,0,0,0,0,0,0,0.175057236330988,0,0,0,0,0,0,0.0667910187548449,0.00223419251578012,0,0,0.107230943797306,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415096775753096,0,0,0,0,0,0,0,0,0.13639031855257,0,0,0,0.515166720862635,0,0,0,0,0,0,0,0,0,0,0.211219987373244,0,0,0,0,0,0,0,0,0.0490744585283691,0,0,0,0
X601628.CH.EQUITY,0.0686471259940879,0,0.0269486841679397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183623312360479,0,0,0,0.142658136635714,0,0,0,0,0,0,0.138156006458352,0,0,0,0,0,0,0,0,0,0,0,0,0.0916573135861854,0.1022040107868,0,0,0,0,0.0266160750487864,0,0,0.0847299254361041,0
X601658.CH.Equity,0,0,0,0,0.213810145368106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288663390388958,0,0,0,0,0,0.0361889987147933,0,0.376013231230503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270366929914421,0,0,0
