,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,-2.77555756156289e-17,0.443892733573152,0.0634622869964884,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.130825464357242,0,0.0899562160364628,0,0,0,-0.120392396039027,0,0.0104090812526415,0,0,0,0,0,0,0.0476152355274674,0,0,0,0,0,0,0,0.04138142716021,0,0,0,0,0,0,0,0,0,0.121311449130077,0.137850200493965,0,0,0
X601318.CH.EQUITY,0,0,0.178622692276241,0,0.0291935037481594,0,0,0,0,0,0,0,0,0,0.3011765508814,0,0.0366720403695196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154899665767474,0,0,0,0,0,0.170416501377183,0,0,0,0,0,0,0,0.0833827043803876,0,0,0
X601939.CH.EQUITY,0.163260329101683,0,0,0,0,0,0,0,0,0,0.170600507297621,0,0,0.288587315868188,0,0,0,0,0.0431468080126737,0.177696806482963,0,0,-0.0326242458297983,0,0,0,0,0,0,0.0187541991440803,0,0,0,0,0,0.0878676843364134,0,0,0,0,0.0368248425130048,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.347027300231081,0,0.0192610459348707,0,0.502081479180728,0,0,0,0,0,0.0112986015815767,0,0,0,0,0,0.045315038416876,-0.0267753356813836,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893693049460401,0,0,0
X601988.CH.EQUITY,0,0,0,0.115310202694823,0,0,0,0,0,0,0,0.475511502987972,0,0.0154022647138076,0,0,0,0,0,0,0,0,0,0.0388159454058307,0,0,0,0,0,0,0,0,0,0.0895291471468812,0,0,0,0,0,0,0.0892713802289429,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.505557630506015,0,0,0,0.0761869827514283,0,0,0,0.403960342798572,0,0.130571477533373,0,0,0.681019977056584,-0.619145881876395,0,0,0,0,0,0,0,0,0,0,-0.130027978510213,0,0,0,0,0.0727621575688275,0,0,0,0,0,0,0,0,-0.259234725537228
X600036.CH.EQUITY,0,0,0,0.0519158458976606,0,0,0,0.101327061735412,0,0,0,0,0,0,0.145135332089283,0,0,0,0.088814744971552,0,0,0,0.0529389825803562,0,0,0,0,0,0,0,0.185372096113284,0,0.199241365452645,0,0,0.0555087797143407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0796940739658573,0,0,0,0,0.0947005024026633,0.168246031505643,0,0,0,0,0,0,0.0497278248203343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267167090518559,0,0,0
X601628.CH.EQUITY,0,0,0.264547846533386,0.0324273027911466,0.227216198411876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536338314682095,0,0,0,0.133126001553314,0,0,0,0,0,0,0.110722290909594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.224637616868239,0,0,0,0,0,0.0806911372893301,0,0,0,-0.111477440450232,0,0,0,0,0,0,0.450397046634049,0,0,0,0,0,0.146992912964144,0,0,-0.166232868472805,0,0,0.13959486493671,0,0,-0.02202819060842,0,0.575290241657294,-0.207909928146721,0,0,0,0,0.513033275512251,0,-0.230584591086748,0,0,0
X601166.CH.EQUITY,0,0,0,0.15108645764806,0,0,0.255415954801535,0,0,0,0,0,0,0.171957042330894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294499024013848,0,0,0,0.0323250600019775,0,0,0,0.114734816217592,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0976718279789179,0.183229558813955,0,0,0,0,0,0,0,0,0.197958098287601,0,0,0,0,0,0,0,0,0,0.400757125488205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593034066833398,0,0,0,0,0.0836516235527346,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0525262415490551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141772649182499,0.558811538199311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.428252916549456,0,0,0.199742705890184,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0578472633959281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484920976516115,0,0,0,0.0346099233127385,0,0,0,0,0.0839445141252328,0,0
X000001.CH.EQUITY,0,0,0.123262962880177,0,0,0,0.0370066431513694,0,0,0,0.133421266200577,0,0,0.120377359432313,0,0,0,0,0,0,0,0.0033334767073975,0,0,0,0,0,0,0.0311326526223984,0,0,0,0.0233235983725427,0.0214947988924775,0,0.0226449132392493,0,0,0,0,0.379038934824974,0.017360310721852,0,0,0,0,0,0,0,0,0,0
