,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.147201758946752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107204618725371,0.321446575453074,0.41675114263216,0.216117735918619,-0.231414033742189,0,0,-0.05022400713823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444894316105528
X601318.CH.EQUITY,0,0,0,0,0,0.246472040502054,0,0,0,-0.0836571026380113,0,0,0,0,0,0,0,0.0190124903201671,0,0,0,0,0,0,0,0,0,0,0,0.119247886609264,0.223321819712215,0.0219472236236087,0,0,0,0.218579964405337,0,0.0976465725974866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.799789566940187,0,0,0,0,0,0,0.00100368710016363,0,-0.03941131197318,0,0,0,0.0419138720197831,0.121117257907026,0.0503410529289435,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0361492519521157,0,0,0,0,0,0,0,0,0.0453857755936418,0,0,0,0,0,0,0,0,0.0049169966368398,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.961749466533832,0,-0.0497102722007216,0,0,0,0,0,0,0,0,0,0.00656483959200324,0.0427683347721955,0,0,0,0,0,0,0,0,0,0,0,0,0.0299357072857561,0,0,0,0,0,0,0,0,0,0,0.0366882549528556,0,0,-0.0987796151842735,0,0,0.0241539699750542,-0.00415334060988634,0,0,0,-0.0945171736912764,-0.0453382665542605
X601628.CH.EQUITY,0.00216558155040002,0,0,0,0,0,0,0,0,0.239556247027376,0,0.16995705522352,0,0,0,0,0,0,0,0.0896589027773591,0,0,0,0,0,0,0,0,-0.132351459017161,0,0,0,0,0.0594716355377921,0,0,0,0.458262381697243,0,0,0,0,0,0,0,0.0988531604409367,0.292731995627068,0,0,0,0,0.0289468842964188
X600036.CH.EQUITY,0,0,0.241583414855087,0.144748564419108,0,0,0,0,0.0966765941182738,-0.0201393149572131,0,0,0,0,0,0,0.121713582068542,0.0746236854477118,0,0,0,0,0,0,0,0.0949153947113989,0,0,0,0,0.107154970877655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122715996299455,0,0,0
X601988.CH.EQUITY,0,0,3.46944695195361e-18,4.33680868994202e-19,-0.13143725469114,0.0760017349919303,0,0.0529023923400875,0,0,0,-0.0146313030239211,0,0,0,0,0,0,0,0,-0.0273592030497352,0,-0.0147442830658323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111567423988414,0,0,0,0,0,0,1.05412114811428,0,0.0235853872540326
X1299.HK.EQUITY,0,0.0483067270085711,0,0,0,0,0,0,0,0,0,0,0,0,0.0124160855363428,0,0,0,0,0,0,0,0.375397452118261,-0.0486310388531417,0,0,0,0,0,0.00875073573135994,0,0.23979745054164,0,0.0620683220118559,0,0.00203881759265493,0,0,0,0,0,0.0845789235159314,0,0,0,0,0.141294217203994,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1517178682095,0,0,0,0,0,0,0,-0.0555133791825209,0.505197784852356,0.163896210731121,0,0,0,0,0,0,0,0,-0.0982417973856104,0,0.108763990225447,0,0,0,0.0310176000109659,0.0657017156856701,0,-0.141599500068539,0,0.0558152669757901,0,0.127351323074677,0
X388.HK.EQUITY,0,0,0,0,0.197592219671109,0,0,0.112697769203527,0.0746317817880823,0,0,0,0,0,0.028236257715913,0,0,-0.191870500416798,0,0,0.0284871190731044,0,0.474060052774242,0,0,0,0.237793355288491,0,0,0.0410415788267684,0,0,0,0,-0.0411799199230534,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235449203153771,0,0,0.105343915614522
