,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.390011720888656,0.0270833965096746,0.0349703224284921,0,0,0,0,0,0,0.199942564385972,0,0,0,0,0,0,0,0.088086087735842,0,0,0,0,-0.0137734706643592,0,0.0744995567397242,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.00313619224646322,0,0,0,0,0,0,0.0568316816507434,0.0207141792241287,-0.10816167786635
X601939.CH.EQUITY,0.469519059130672,0,0,0.152813037688882,0,0,0,0,0,0,0.124876510622476,0,0,0,-0.0948197803611463,0,0,0,-0.0151951290915276,0,0,0,0,0,-0.000526223234063487,0.178661068765839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823733133299968,0,-0.00711787289684613,0
X601318.CH.EQUITY,0,0,0,0,0.198156499375944,0.0621907706688688,0,0,0,0,0,0,0,0,0.128575101110016,0,0,0,0.298399979833065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128483813635319,0,0,0,0.137835043980967,0,0,0.0024695014786768,0,0,0,0,0,0
X601288.CH.EQUITY,0.297052273927627,0.0954178473069591,0,0,0.176934063956455,0,0,0,0,0,0.00183506698616024,0,0,0.190628006373585,0,0,0,0,0,0,0,0.0461915479553728,0,0,0,0,0,0,0,0,0,0,0,0.123631272557305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0209402479538153,0.440561963521467,0,0,0,0,0,0.232725723650205,0,0,0,0,0.0514699851344434,0.253975489889518,0,0.0565704191983103,0,0,0,0,0,0,0,0,0.0188520191017651,0,0,6.93889390390723e-18,0,0,0,0,0,0,-0.568538870359435,0,0,0,0,0,0,0,0,0.0962353751589648,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.070093497748162,0,0,0,0,0,0,0,0,0,0,0.183926919823361,0,0,0,0,0,0.283833423812103,0,0,0.00831156567949651,0,0,0,0,0,0,0,0,0,0.283086486279542,0,0,0,0,0,0.00524873002090183,0,0,0.0664304817037621,0.050913471899596,0,0.0209464798508099,0,0,0,0.094770657116308,0,0,0,0
X1299.HK.EQUITY,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0886131500631273,0,0,0.182195509932174,0,0,0.292118501785189,0,0,0,0,0,0,0.136809405439325,0,0,0,0,0.0906373082281115,0,0,0,0,0,0,0,0,0,0.150536458713782,0,0.0365261062105145,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255933440845894,0,0,-0.222294616554644,0,0,0,0,0.269289882469945,-0.150280726947219,0,0.226036449711313,0,0.799355476071714,0,0,0.0930466751433813,0,0,0,0,0,0,0,-0.0295136175365718,0,0,0,0,0,-0.158507003413962,0,0,0.271652909233044,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.079045192134233,0,-0.145748245624291,0,0,0,0,0.0935842200141875,0,0.336685287765949,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0128394680409712,0,0,0,0,0,0.0237048132619077,0,0.00939323565611639,0,0,0,0.291297727572501,0,0,0,0,0,0,0.0217397775679347,0,0,0.107795348274828,0
X601658.CH.Equity,0,0,0,0.141288194603702,0.14023918518377,0,0,0,0,0,0,0,0,0.107873090202588,0,0,0,0,0,0,0,0,0,0,0,0,0.0626269133289405,0,0.0988686637309377,0,0,0,0,0,0,0,0,0.259905333960988,0,0,0,0,0,0,0,0,0,0,0.373070885447008,0,0,0.0394912868465965
