,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.313806072987617,0,0.000434721762680893,0,0,0.354268206857678,0,0,0,0,0,0,0,0.0209680104926282,0,0,0,0,0,0,0,0,0.173993250637285,0,0.0226077589735084,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.10580193796676,0,0,0,0,0,0,0,0,0,0,0,-0.0308008857021794,0,0
X601318.CH.EQUITY,0,0,0.123529880293712,0,0.0219130301127684,0,0.162856226779848,0,0.177833280235505,0,0,-3.46944695195361e-18,0.0871981123636409,0,0.128816707989407,0,0,0.0381429524815191,0,0,0.218649467643349,0,0,0,0,0,0,0,0.104858246957872,0,0.104706564874155,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0423057835777265,-0.120891196577698,0,0,0,0,0.0572676885474709,0,-0.0273178535434119,0,0
X601939.CH.EQUITY,0.413344663204839,0.297504798054092,0,0,0,0,0,0.425292561866182,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0930878424787041,0,0,0,0,0,0,0.103054848325864,-0.00652492379376974,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.0297815653556776,0,0,0,0,0,0,0,0,0,0,0.151970193084976,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.532964450908465,0,0,-0.077149503738496,0.0508763901578124,0,0,0,0,0,0.00419602170669616,0,0,0,0,0.0652329906856984,0,0.158601981211742,0,0,0,0.100888494317308,0,0,0,0.051106107727519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406854994714544,0,0.0136633328263903,0.0137618043562656,0
X600036.CH.EQUITY,0,0.0476438057598097,0,0,0,0,0.0789405273900559,0,0,0,0,-0.0649316447526233,0.0579354307698342,0,0,0.149873318547671,0,0.270252406829208,0,0,0,0,0,0.216716572599043,0,0.157372518172276,0.0296939871581604,0,0.0779844343671658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0599107065868589,0,0,-0.229115555691393,0
X601628.CH.EQUITY,0.0497493967412484,0,0,0,-0.0134009271074776,0,0,0,0,0,0.00911181289607209,0,-0.0953649560068516,0,0,-0.224599182232649,0,0,0,0,0,0.190369699391398,0,0.13914864074886,0,0,-0.0658780141274308,0,0,0,0,0,0,0.0752683128412367,0.562906197238788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0519350243656281
X1299.HK.EQUITY,0,0,-0.0198512762626111,0,0,0,0,-0.115197371726873,0,0,0.122775807169995,-0.0356243075972964,0,0,0.0396512968331828,0,0,0,0,0,0,0,0.125538919805632,0,0,0,0,0,0,0,0,0,0.0903340457042918,0,0,0.0102972789688705,0,0.103845587811064,0,0.10571877381902,0.156362082122637,0.0595775223966757,0.120515171080731,0,0,0,0,0,0,0.294978599064037,0,0
X601988.CH.EQUITY,0.138755515240488,0,0.0945566414309134,0.373298581656981,0,0,0,0,0,0,0,0,0.22321695483501,0,0,0,0.110973229267333,0,0,0,0,0,0.0173562949663209,0,0,0,0,0,0,0,0.120501760822496,0,0,0,0,0,0.0108971327933947,0,0,0,0,0,0.00593600054929639,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.107828479522887,0,0,0,0,0,0,0,0,0,0,0,-0.122137658578747,0,0,0,0,0,0,0.228551247434121,0,0.183809950609015,0,0,0.134674033412508,0,0,0,0,-0.00979212835251296,0,0.0800607075996665,0,0,0,0,0,-0.0406138814713666,0.0733627836579221,0.221449022239797,0,0.251975387292992,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0391504012151429,0,0.0843673866364957,0,0,0,0,0,0,0.0161534843394051,0.223861169905907,0,0,0.128266176352056,0,0,0,0,0,0,0,0,0,0,0.0693229298724772,0,0.402793571980638,0.0741079563307525,0,0,0,0,0.087784579314816,0,0.036522445873109,0,0,0,0,0,0,0,0,0,-0.00408647966724082,0,-0.133084675061594,0,0,0.0237444422390857
