,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0448059229983503,0,0,0,0,0,0,0,0,0,0,0,0,0.504294558200712,-0.10698437151229,0.706377199322727,0.00151383079949239,0,0,0,0,-0.209586458537698,0,0.248821723565497,0,-0.316827522103296,0,0,0,0,-0.0480560436709693,-0.0630743271030399,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.287775200491467,0,0,0,0,0,0,0.0626514040425055,0,0,0,0,0,0.194447446003706,0.0450148350166511,0,0,0,0,0,0,0,0.0322740942425761,0.0295676124793558,0,0,0,0,0,0,0,0.327480243607569,0,0,0,0,0,0,0,0,0.0484493050511089,0,0,0,-0.0368532685849084,0
X601939.CH.EQUITY,0,0,0,0.800330398827285,0,0,0.0254965703593995,0,0,0,0,0,0.0104207607037656,0,0,0,0,0,0,0,0,0.00653258964693267,0,0,0,0,0,0,0,0,0,0.0898574680126318,0.0282981496292113,0,0,0,0,-1.73472347597681e-18,0,0.0470740901921847,0,0,0,0,0,0,0,0,0.0755733269755234,0,0,0
X601288.CH.EQUITY,0.0294075527635551,0,0.91650595358972,0,-0.0570606300461039,0,0,0,0,0,0,0,0,0,0.0100304190407148,0,0.0425779224059374,0.050582994404526,0,0,0,0,0,0,0,0,0.0514457231056907,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119351688038818,0,0,0,0,0,0,0,0,0,-0.0794840707168491,-0.0239272199598076
X601628.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.0334628167863011,0.851406613272996,0,0,0,0,0,0,0,0,0,0.062509119532102,-0.0206661577608447,0,0,0,0,0,0,0,-0.0431657356932425,0,0,0,0,0,0.0938175310288737,0.0353649361092754,0,0,0,0,-0.0213320779859021,0,0,0.012265150125978,0,0,0.0765222507081999,0,0.183779182645271,0.162739393239924
X601988.CH.EQUITY,0,0,0,0,-0.146689101657382,0,0.0683747284251378,0.0361551128235639,0,0,0,-1.73472347597681e-18,0.0727309256189354,0,0,0,0,0,0,0,-0.0729087319507332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103323304238357,0,0.00994458743818714,0.00379858071292129,0,0,0,0,0,0.988314975885065,0.0116544424938256,0.0391998672483754
X600036.CH.EQUITY,0,0,0.365962463057516,0,0,0,0,0,0.0310251969290411,-0.0230150808824407,0,0,0,0,0,0.139659571080939,0,0,0,0.0184741770472936,0,0,0,0,0,0,0.135083992808699,0,0.075491076876487,0,0,0,0.211608723288888,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.071790167026122,0
X1299.HK.EQUITY,0,0.026390090374208,0,0,0.0861140832757694,0,0,0,0,0.217469069342544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221603164851079,0,0.363690716309513,1.73472347597681e-18,0.191129793754341,0.139360888205031,0.189497693179785,0,0,0,0,0,0.108682522913247,0.108457910718939,0,0,0,0,0,0,-0.104489642836022,0,0,0,0,0,0.109954135154766,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245162052488788,0,-0.218874841827019,0,0,0,0.177148480482999,0,0,0.0776486335200669,0,0.505245013845298,0,0,0,0,0,0,0,0,0.153826440955572,0,-0.237133879164741,0,0,0,0.049335363422784,-0.087524659527214,0,0,0,0,0,0,0.176659811467933,0
X388.HK.EQUITY,0,0,0,0,0.283126604470765,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239225549779841,0,0,0,0,0,0,0.47320819956464,0,0,0,0,0,0,0,0,-0.0404636500977202,0,0,0,0,-0.0603024328526426,0,0,-0.11360988574448,0.253909871907012,0,0.0252696674091124,0,0,0.00220069249372331,0,-0.115979131202144,0
