,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.121404772833637,0,0,0,-0.175783976708721,0.255618087300525,0,0,0.091021661808769,0,0,0,0.277089652838297,0,0,-0.127038334207949,0,0,0,0,-0.136282857752257,0,-0.194180025719461,0,0,0,-0.224258617299876,0,0,0.814966589323909,-0.0516702551129838,0,0,-0.0823614275101504,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0542426522997912,0,0.160008504212681,0,0,0,0,0.0968905290010748,0,0,0,0,0.108242150656281,0.0206605794675059,0.112213813153317,0,0,0,0,0,0,0,0,0,0,0.0413382351439115,0,0.0323924752911166,0.13704736681489,0,0.237365636984205,0,0,0,0,0.00607451943763004,0,0,0,0,0,0,-0.0174500726431763,0,0
X601939.CH.EQUITY,0.372859420257169,-0.00297853035391499,0,0,0,0,0,0,0,0.0706308255665022,0,0,0,0,0,0,0,0.0367735678188109,0,0,0,0,0,0,0,0,-0.108636011188054,0,0,0,0,0,-0.237628520489799,-0.26238594967668,0,-0.0497481039822341,0.143918743154914,0,0,0.578313623406687,0,-0.0467692152492796,0,0,0,0.26600838957679,0,0,1.73472347597681e-18,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.360805827048062,0.195415424767686,0,0.351160075429902,0,0,0,0.0630091931000977,-0.121784492385396,0.339414717599694,0,0,-0.143161217291293,0,0,0,0,0,0,0,0,0,0,0,0,-0.394036060678695,0,0,0,0,0,0,0,0,0,0,0,0.113340187879263,0,0.257843419939931,0,0,0,-0.0982016914436489
X5.HK.EQUITY,0,0,0,0,0,0.145938620573488,0,0.129087546306999,0,0,0.0717271498256171,0,0,0,0.172566518883873,0,0,0.119786732261592,0.00362507120998761,0,0,0.0507885504752014,0,0,0,0,0,0,0,-0.0150034792610244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924243444815038,0,0,0,0.197152540898128,0,0,0
X601988.CH.EQUITY,0,0,0,-0.0217142815350495,0.475296753253395,0,0,0,0,0,0,0,0,0,0.0860935286212745,0,0,0,0,-0.186036042564578,-0.0390806565444966,0,0,0.273492695530831,0,0,0,0,0,-0.407752146788459,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.146041590898622,0,0,0.0443017590972865,0,0
X600036.CH.EQUITY,0,0.217767393044206,-0.0273555345037135,0,0,0,0,-0.132238063843693,-6.93889390390723e-18,0.396223444474511,0,0.19153619788915,0,0,0,0.145902754354425,0,0,0,0.389151731600704,0,0,0,0,0,0,0,0.118854337903695,-0.115944229081526,0,0,0,0,-0.0147114117279525,0,0,0,0,0,0,0,0,0,0,0,-0.0449513828825452,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.273714476136227,0,0,0,0,0,-0.0440472751715815,-0.0897694680860311,0,0,0,0,0.0121371677637381,0,0,0,0,0,0,0,0,0.073244654443441,0.164685030648376,0,0.08407937870299,0,0.108733857010215,0,0,0.0407080295037241,0,0,-0.00432780537717119,0,0,0,0,-0.11139660221163,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.123085454112455,0,0.0758108472079074,0,0,0,0,0,0,0.0145923803982681,0,0,0.254848140020876,0,0,0,0,0,0,0,0,0,0.147259171749633,0,0,0,0,0,0,0,0,0,0,0,0.119299061078994,0,0,0.0356172957972766,0,0,0.16544038862965,0.241894363584785,0,8.67361737988404e-19,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.198983595726855,0.0416328621483698,0,0,0.609009919274306,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.237313987021786,0,0,0,0,0,0,0.258652853724281,0,0,0,0,0,0,0,0,0,-0.0605325205165639,0,0,0,0,0,0,0,0,-0.452597929774307,0,0,-0.0664148953636624,0,0
