,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601601.CH.EQUITY,0,0.355251981042644,0,0,0,-0.22391254688158,0,0,0.292600672824504,0,0.0152600974828349,0,0,0,0,0,0.174088945142131,0.108435745111275,-0.0812885609811125,0,0,0,0,0,0,0.0336061748288977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249671308936858,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.0183923921207745,0,0,-0.0233347753586225,0,0,0,0,0,0,0,0.0294802032928415,0,0,0,0,0,0,0.217686273695236,0,0,0,0.133164977209845,0.10973614607735,0.188359766741827,0,0,0.157057138950163,0,0,0,0,0,0,0.344435374711083,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.158021330713169,0,0,0.283865117317983,0,0,0,0,0,0,0,0,0.0973445903611866,0,0,0,0,0,0,0,0.0323488556384836,0,0,0,0,0.169901381127437,0,0,0,0,0,0,0,0,0,0,-0.0433122235055597,0,0,0,0,-0.00917430505093322,0,0,0,0,0
X000002.CH.EQUITY,0,0,-0.0990438225136913,0,0.106256656017137,0,0,0,0,0,0,0,0,0.331911258654726,0,0,0,0.140484620763683,0,0,0,0,0,0,0,0,0.270104183733025,0,0,0.330045413917729,-0.306286998647721,-0.0995991725759466,0,0,0,0,0,0,0,0,0.11547968540242,0,0,0,0,0,0,0,0,0.347033932819376,0
X000001.CH.EQUITY,0,0.0967140046583275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959576275600413,0,0,0,-0.0900617684512396,-0.0455675930668054,0,0,0,0,0.154386610274362,0,0,0.0741200440618294,0,0,0.283563352425316,0,0.109636077130606,0.049032112242585,0,0,0,0,0,0,0,0,0,-0.013692429976253
X267.HK.EQUITY,0,0,0,0,0.0750437991907214,0,0.37885681630229,0,-0.0949645429369511,0.0168154370740299,0,0,0,0,0.0919985313666315,0,0,0,0,0,0.240748738170519,0,0,0,0.0946940822671384,0,0.0587498830431723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190085705418125,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-8.67361737988404e-19,-0.00175171794465449,0.16854799036643,0.279588425159675,0,0,0,0,0,0.0777626183501664,0,0,-0.0966108281277552,0.0917747446727543,0,0,0.154018679665718,0,0,0.000431081255670909,0,0,0,0,0,0,0,0,-0.0437567545259077,0,0,0,-0.504233377261276,0,0.0690868741634986,0.00627864751185561,0,0.311720382525213,0,0,0,0,0.498846530480868,-0.0682410700617309,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.626032840111896,0,0,0,0,0,0,0,0,0,0.162848929092205,0,0,-0.0614018304681717,-0.113911081531328,0,0,0,0,0,0.376820550151359,0,0,0,0,0,0.0661024942159755,0,0,0,0,0,0,0,0,0.0595673410831293,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0.0389779213758763,0,0,0,0,0.174836273185106,0,0,0.0726505819270984,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.031443467240134,0.0582959541261845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490642223739145,0,0,0,0.0973794467373185,0,0,0,0,0,0,0.0481496800864015,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.0350078871675348,0,0.300780393845365,0,0,0,0,0,0.0612224469741904,0,0.0938897115650858,0,0,0,0.0190403051291358,0,0,0,0,0,0,0,0,0,0.0305658767100383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207370005351895,0.111990713822619,0,0,0,0,0,0.108487082427752,0
X601998.CH.EQUITY,0,0,0,0,0.231005479708691,0,0,0,0,0,0,0.301074487073394,0,0,0,0,0,0,0,0.149647793878438,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,-0.10164874222045,0,0,0,0,0,-0.351523264095881,0.00937392922729703,0,0,0.105109507276921,0,0,0.30075803273691,0,0,-0.0112061676604958
X688.HK.EQUITY,0,0.156825362982311,0,0,0,0,0,0.14098910749559,0,0,0,0,0,0,0,0,0,0.0927539813155944,0,0,0.229491980696311,0,0,0,0,0.0100338843860754,0.316075328621351,0,0,0,0,0.212312612164994,0,0,0,0,0,0,0,0,0,0,0,0.0806843341120695,0,-0.0513174351525877,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,-0.0700310897868559,0,0.0233347405154901,0,0,0,0,0,0,0.326663048010618,0.292666510760968,0,0,0.039305692101181,0,0,0,0,0,0,0.111456803004599,0,0.0687533052309144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987984096192376,0,0,0,0,0,0,0,0.12052462241627,-0.0382157078365373,0.00826371770208138
X2007.HK.EQUITY,0,-0.0398630214137226,0,0,0,0,-0.0474075734379604,0,0,0,0.0541489250917383,0,0,0,0,0,0.164533810754587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499165167143169,0,0,0,0,0,0,0,0,0,-0.02442039889821,0.416103628453579,0,0.10114997091798,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0.619950711730537,0,-0.397214966033908,0,0,0.623316641265545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458263163870919,0.194806558531373,0,0,0,0,0,0,-0.266689131500556,0,0,0,0,0,-0.380361328540573,0,-0.0170335183215093,0.0168001131614219,0
X1113.HK.EQUITY,0,0,0,0,0,0.0428182457230996,0,0,0,0,0.254783540819418,0,0,0,0.13708634108237,0.292729245028091,0,0,0.145741723197157,0,0,0,0,0,0,0.0576450886337935,0.0256881372898985,-0.0665401413935487,0,0.0746720414007766,0,0.0198070023734308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0.0148125159710484,0,0,0,0,0,0,0,0,-0.145675616302725,0.0665242129053223,0,0,0,0,0,0,0,0,0,0,0,0,0.284797200439363,0,0,0,-0.0539039792983841,0,0.449773426190019,0,0,0,0.196723568516924,-0.199539502127013,0.0699746028461117,0,0,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0.0755063391935493,-0.0819101901597115,0.0206133227901395,0.129990084452381,0,0,0,0,0,0,0,0,0,0,0.0891892605063384,0,0.089842485348261,0,0,0,0,0.0877374713399061,-0.0501360460273884,0,0.219341227765351,0,0,0.176461662803827,0.0958542257737449,0,0,0,-0.00835488041599552,-0.2106408801236,0,0,0,0.273867692800744,0,0,0,0,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0.17620073141345,0,0,0,-0.0229897735299911,0,0,-0.00308821041890235,0,0.345207589097527,0,0,0,0,0,0,0,-0.00502842816091193,0.0332785950421849,0,0,0,0.224762983593187,0,0.124014937397147,0,0,0,0,0,0,0,-0.174603250619715,0,0,0.301094218707898,0,0,0,0,0,0,0,-0.0256984635530125,0
X601066.CH.EQUITY,-0.0905508204386954,0,0,0,1.38777878078145e-17,0,0,-0.115981709719024,0,0,0.0168048962887309,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173306921064377,0,0,0.379588449386241,0,0.114249595303991,0,0,0,0.134104163007708,0,0,0,0,-0.162306437029828,0,-0.0619427679456258,0,0,0.126002545331577,0,0,0.0661301235476016,0,0,0,0
X601688.CH.EQUITY,0.15830639826035,0,0,-0.0366803381625678,0,0,0,0,0,0,0,0,0,0,0,0.0674129921953037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394160367330932,0,0.114944542354664,0,0.155357142329891,0.112474678656677,0.252863008245021,0,0,0,0,0,0,0,0,0,0,0.269920018733949,0,0,0
X001979.CH.EQUITY,-0.284764135358607,0,-0.0634345625457205,0,0,0,0,0,0,0,0,0,0,0,0.121381780021352,0,0.0453026512503947,0.166382562417721,0,-0.161583943382961,0,0,0,0,0,-0.114484274075809,0,-0.0651901142627363,0.151219254936617,0.24848664392777,0,0,0,0,0,0.104462518395586,0,0,0,0,0.0978795219599043,0,0,0,0.496360577308881,0,0,0,0,0,0.152724616283514
